bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	13.129	13.339	CONTINUER	예.	[2]	[3]	[4]
2	AH0001	19.734	19.904	CONTINUER	네.	[2]	[4]	[1]
3	AH0002	64.126	64.351	CONTINUER	예.	[3]	[8]	[11]
4	AH0001	87.01	87.515	CONTINUER	네.	[4]	[11]	[6]
5	AH0001	103.725	104.32	CONTINUER	네.	[4]	[12]	[22]
6	AH0001	157.117	157.847	CONTINUER	네.	[4]	[18]	[15]
7	AH0002	194.272	194.572	CONTINUER	네.	[5]	[23]	[7]
8	AH0002	198.037	198.177	CONTINUER	음.	[5]	[23]	[16]
9	AH0001	221.631	222.771	CONTINUER	네.	[6]	[25]	[21]
10	AH0001	262.966	263.871	UNDERSTANDING	네.	[6]	[30]	[6]
11	AH0001	278.934	279.629	CONTINUER	네.	[6]	[32]	[7]
12	AH0001	329.729	330.529	CONTINUER	네.	[6]	[38]	[18]
13	AH0002	332.742	332.952	CONTINUER	예.	[7]	[39]	[4]
14	AH0002	337.117	337.342	CONTINUER	네.	[7]	[39]	[14]
15	AH0002	338.277	338.572	CONTINUER	예.	[7]	[39]	[17]
16	AH0001	412.347	412.617	CONTINUER	네.	[8]	[49]	[1]
17	AH0002	420.687	420.957	CONTINUER	네.	[9]	[50]	[15]
18	AH0002	422.062	422.352	CONTINUER	네.	[9]	[50]	[17]
19	AH0002	424.177	424.437	CONTINUER	네.	[9]	[51]	[6]
20	AH0002	425.897	426.057	CONTINUER	네.	[9]	[51]	[9]
