uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.968	테이퍼링	[]
1	1	2	AH0001	2.109	2.491	이야기를	[]
1	1	3	AH0001	2.572	2.873	노래	[]
1	1	4	AH0001	3.095	3.296	듣기	[]
1	1	5	AH0001	3.336	3.497	전에	[]
1	1	6	AH0001	3.557	3.758	했단	[]
1	1	7	AH0001	3.819	4.422	말이죠.	[]
1	2	1	AH0001	4.422	5.323	우리	[]
1	2	2	AH0001	5.924	6.344	미국에서	[]
1	2	3	AH0001	6.404	6.905	테이퍼링을	[]
1	2	4	AH0001	6.985	7.465	시작하면	[]
1	2	5	AH0001	7.626	7.766	우리	[]
1	2	6	AH0001	7.846	8.326	경제에는	[]
1	2	7	AH0001	8.406	8.707	어떤	[]
1	2	8	AH0001	8.787	9.147	영향을	[]
1	2	9	AH0001	9.207	9.568	미치기	[]
1	2	10	AH0001	9.708	10.048	때문에	[]
1	2	11	AH0001	10.128	10.329	우리가	[]
1	2	12	AH0001	10.349	10.549	이렇게	[]
1	2	13	AH0001	10.609	11.029	걱정하는	[]
1	2	14	AH0001	11.109	11.67	거예요?	[]
2	3	1	AH0002	11.67	12.351	예	[]
2	3	2	AH0002	13.151	13.291	바로	[]
2	3	3	AH0002	13.391	13.512	그것	[]
2	3	4	AH0002	13.652	14.012	때문에	[]
2	3	5	AH0002	14.492	15.013	테이퍼링이	[]
2	3	6	AH0002	15.173	15.333	미국	[]
2	3	7	AH0002	15.413	15.794	사람들이	[]
2	3	8	AH0002	15.814	16.054	자기가	[]
2	3	9	AH0002	16.174	16.514	테이퍼링	[]
2	3	10	AH0002	16.574	16.714	하고	[]
2	3	11	AH0002	16.814	17.475	자기들끼리	[]
2	3	12	AH0002	17.895	18.036	그걸	[]
2	3	13	AH0002	18.096	18.416	가지고	[]
2	3	14	AH0002	18.436	18.456	뭐	[]
2	3	15	AH0002	18.776	19.277	놀건	[]
2	3	16	AH0002	19.877	20.077	그걸로	[]
2	3	17	AH0002	20.237	20.878	먹어치우건	[]
2	3	18	AH0002	21.238	21.619	우리한테	[]
2	3	19	AH0002	21.659	22.059	영향만	[]
2	3	20	AH0002	22.119	22.399	없다면	[]
2	3	21	AH0002	22.439	22.579	우리가	[]
2	3	22	AH0002	22.66	22.96	관심을	[]
2	3	23	AH0002	23.02	23.18	가질	[]
2	3	24	AH0002	23.32	23.56	필요도	[]
2	3	25	AH0002	23.6	24.381	없는데요.	[]
2	4	1	AH0002	24.381	25.462	세계경제가	[]
2	4	2	AH0002	26.003	26.223	워낙	[]
2	4	3	AH0002	26.543	26.623	그	[]
2	4	4	AH0002	26.764	27.104	하나의	[]
2	4	5	AH0002	27.284	27.564	끈으로	[]
2	4	6	AH0002	27.624	27.825	지금	[]
2	4	7	AH0002	28.265	28.706	연결이	[]
2	4	8	AH0002	28.846	28.946	돼	[]
2	4	9	AH0002	28.986	29.206	있는	[]
2	4	10	AH0002	29.306	30.307	글로벌라이제이션의	[]
2	4	11	AH0002	30.447	31.448	시대인데다가	[]
2	4	12	AH0002	32.109	32.189	또	[]
2	4	13	AH0002	32.229	32.369	지금	[]
2	4	14	AH0002	32.51	33.551	코로나상황에서의	[]
2	4	15	AH0002	33.671	33.831	돈	[]
2	4	16	AH0002	34.011	34.191	푸는	[]
2	4	17	AH0002	34.251	34.412	것은	[]
2	4	18	AH0002	34.492	34.592	거의	[]
2	4	19	AH0002	34.712	34.992	세계가	[]
2	4	20	AH0002	35.052	35.533	연대해서	[]
2	4	21	AH0002	35.593	35.853	같이	[]
2	4	22	AH0002	35.873	36.013	했기	[]
2	4	23	AH0002	36.093	36.294	때문에.	[]
2	5	1	AH0002	36.754	37.236	미국의	[]
2	5	2	AH0002	37.357	37.618	코로나	[]
2	5	3	AH0002	37.739	38.341	팬데믹은	[]
2	5	4	AH0002	38.683	39.346	한국에서	[]
2	5	5	AH0002	39.547	39.909	미국보다	[]
2	5	6	AH0002	39.989	40.069	더	[]
2	5	7	AH0002	40.19	40.29	큰	[]
2	5	8	AH0002	40.411	40.712	쇼크가	[]
2	5	9	AH0002	40.833	40.913	올	[]
2	5	10	AH0002	41.034	41.174	수가	[]
2	5	11	AH0002	41.215	41.938	있어요.	[1]
2	6	1	AH0002	42.242	42.462	그러기	[]
2	6	2	AH0002	42.562	42.862	때문에	[]
2	6	3	AH0002	43.723	43.943	이	[]
2	6	4	AH0002	44.304	44.664	미국의	[]
2	6	5	AH0002	44.904	45.445	테이퍼링	[]
2	6	6	AH0002	45.705	46.105	타이밍을	[]
2	6	7	AH0002	46.185	46.666	놓치거나	[]
2	6	8	AH0002	46.886	47.006	그	[]
2	6	9	AH0002	47.106	47.566	메카니즘을	[]
2	6	10	AH0002	47.646	47.867	이해	[]
2	6	11	AH0002	47.927	47.947	못	[]
2	6	12	AH0002	48.087	48.747	하면	[2]
2	6	13	AH0002	49.348	49.828	한국에서	[]
2	6	14	AH0002	49.908	50.549	경제활동을	[]
2	6	15	AH0002	50.609	50.689	하는	[]
2	6	16	AH0002	50.749	50.809	데	[]
2	6	17	AH0002	50.989	51.069	큰	[]
2	6	18	AH0002	51.189	51.71	손실을	[]
2	6	19	AH0002	51.81	51.89	볼	[]
2	6	20	AH0002	52.01	52.17	수가	[]
2	6	21	AH0002	52.21	52.37	있죠.	[]
2	6	22	AH0002	52.45	52.71	앞을	[]
2	6	23	AH0002	52.75	53.151	예측하는	[]
2	6	24	AH0002	53.311	53.331	데.	[]
2	7	1	AH0002	53.5	53.982	자	[3]
2	7	2	AH0002	54.103	54.464	미국이	[]
2	7	3	AH0002	54.987	55.328	만약에	[]
2	7	4	AH0002	55.449	55.791	테이퍼링이	[]
2	7	5	AH0002	55.811	56.032	아닌데	[]
2	7	6	AH0002	56.072	56.614	현재로써는.	[]
2	8	1	AH0002	57.842	58.223	다음	[]
2	8	2	AH0002	58.364	58.645	달에	[]
2	8	3	AH0002	59.127	59.709	잭슨	[]
2	8	4	AH0002	60.191	60.251	어	[]
2	8	5	AH0002	60.392	60.834	빌이라는	[]
2	8	6	AH0002	61.376	61.677	별장.	[]
2	9	1	AH0002	61.998	62.94	별장에서	[]
2	9	2	AH0002	63.18	63.862	미국의	[]
2	9	3	AH0002	64.182	64.362	저	[]
2	9	4	AH0002	64.683	65.665	동아연방	[]
2	9	5	AH0002	65.765	65.945	금융	[]
2	9	6	AH0002	66.046	66.486	학자들	[]
2	9	7	AH0002	66.647	66.867	미국의	[]
2	9	8	AH0002	66.927	67.308	연방은행	[]
2	9	9	AH0002	67.368	67.729	사람들이	[]
2	9	10	AH0002	68.23	68.59	거기서	[]
2	9	11	AH0002	68.671	69.392	만납니다.	[]
2	10	1	AH0002	69.726	70.166	거기서	[]
2	10	2	AH0002	70.387	70.907	아마도	[]
2	10	3	AH0002	71.528	72.108	테이퍼링을	[]
2	10	4	AH0002	72.288	72.508	이제	[]
2	10	5	AH0002	72.629	72.809	해야	[]
2	10	6	AH0002	72.929	73.469	되겠다는	[]
2	10	7	AH0002	73.549	73.729	것을	[]
2	10	8	AH0002	73.83	74.39	결정할	[]
2	10	9	AH0002	74.49	74.75	것으로	[]
2	10	10	AH0002	74.85	75.491	보이고요.	[4]
2	11	1	AH0002	76.069	76.27	그러면	[]
2	11	2	AH0002	76.33	76.651	언제부터	[]
2	11	3	AH0002	76.811	76.992	하느냐	[]
