bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	3.1	3.48	CONTINUER	네.	[1]	[1]	[7]
2	AH0002	6.615	7.23	AFFIRMATIVE	그쵸.	[1]	[2]	[7]
3	AH0001	13.221	13.556	CONTINUER	음.	[2]	[3]	[9]
4	AH0001	17.878	18.358	CONTINUER	네.	[2]	[4]	[7]
5	AH0002	21.723	22.053	CONTINUER	네.	[3]	[5]	[5]
6	AH0001	31.364	31.934	CONTINUER	음.	[4]	[8]	[1]
7	AH0001	34.174	34.754	UNDERSTANDING	음. 네.	[4]	[8]	[4]
8	AH0001	41.724	42.264	CONTINUER	음.	[6]	[11]	[3]
9	AH0001	45.629	46.614	UNDERSTANDING	아.	[6]	[11]	[7]
10	AH0002	50.342	50.902	AFFIRMATIVE	그쵸.	[7]	[13]	[9]
11	AH0002	53.832	54.202	CONTINUER	음.	[7]	[13]	[16]
12	AH0002	56.964	57.554	AFFIRMATIVE	그쵸그쵸.	[7]	[14]	[1]
13	AH0001	62.272	62.867	ASSESSMENT	음.	[8]	[15]	[6]
14	AH0001	65.037	66.202	ASSESSMENT	아. 네.	[8]	[15]	[9]
15	AH0001	94.344	95.169	AFFIRMATIVE	맞습니다.	[10]	[22]	[8]
16	AH0001	100.401	100.661	CONTINUER	으흠.	[10]	[23]	[12]
17	AH0001	107.344	107.939	ASSESSMENT	아.	[12]	[26]	[7]
18	AH0001	116.38	116.555	CONTINUER	네.	[14]	[29]	[2]
19	AH0001	118.945	119.35	CONTINUER	음.	[14]	[29]	[8]
20	AH0001	121.025	121.28	CONTINUER	네.	[14]	[29]	[12]
21	AH0001	123.773	124.753	ASSESSMENT	아.	[14]	[30]	[4]
22	AH0002	152.726	152.906	CONTINUER	네.	[15]	[37]	[6]
23	AH0002	155.969	156.114	CONTINUER	네.	[15]	[38]	[1]
24	AH0001	161.84	162.065	CONTINUER	네.	[16]	[40]	[1]
25	AH0001	167.669	168.979	UNDERSTANDING	음. 네.	[16]	[41]	[5]
26	AH0001	172.608	172.908	CONTINUER	으흠.	[16]	[42]	[6]
27	AH0001	174.028	174.378	CONTINUER	으음.	[16]	[42]	[8]
28	AH0001	176.908	177.713	UNDERSTANDING	아.	[16]	[43]	[9]
29	AH0001	180.058	180.483	CONTINUER	네.	[16]	[43]	[14]
30	AH0001	181.453	182.163	UNDERSTANDING	음.	[16]	[43]	[18]
31	AH0001	183.389	183.619	CONTINUER	네.	[16]	[44]	[3]
32	AH0001	188.084	188.309	CONTINUER	으흠.	[16]	[44]	[9]
33	AH0001	190.224	191.414	UNDERSTANDING	아.	[16]	[44]	[12]
34	AH0001	192.214	192.634	CONTINUER	네.	[16]	[45]	[1]
35	AH0002	292.15	292.37	CONTINUER	네.	[23]	[66]	[2]
36	AH0001	294.53	294.765	CONTINUER	네.	[24]	[67]	[1]
37	AH0001	296.325	296.745	CONTINUER	음 네.	[24]	[67]	[5]
38	AH0001	302.159	302.319	CONTINUER	네.	[24]	[68]	[7]
39	AH0001	304.404	305.064	UNDERSTANDING	아. 네.	[24]	[68]	[10]
40	AH0001	306.068	306.463	CONTINUER	음.	[24]	[69]	[3]
41	AH0001	309.723	310.623	ASSESSMENT	오.	[24]	[69]	[11]
42	AH0001	313.005	313.305	CONTINUER	네.	[24]	[70]	[3]
43	AH0001	314.675	314.86	CONTINUER	네.	[24]	[70]	[5]
44	AH0001	317.665	319.225	ASSESSMENT	아. 네.	[24]	[70]	[9]
45	AH0001	322.668	322.983	CONTINUER	네.	[24]	[71]	[4]
46	AH0001	335.893	336.848	UNDERSTANDING	음. 네.	[26]	[74]	[6]
47	AH0001	338.632	339.607	AFFIRMATIVE	네. 맞습니다.	[26]	[74]	[10]
48	AH0001	340.907	341.802	UNDERSTANDING	아.	[26]	[75]	[5]
49	AH0001	343.127	343.372	CONTINUER	네.	[26]	[75]	[9]
50	AH0001	346.972	347.557	UNDERSTANDING	아.	[26]	[75]	[17]
51	AH0001	408.907	409.087	CONTINUER	네.	[32]	[92]	[1]
