uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	2.643	매주	[]
1	1	2	DG0001	2.703	3.023	토요일	[]
1	1	3	DG0001	3.103	3.404	영화	[]
1	1	4	DG0001	3.444	3.804	이야기로	[]
1	1	5	DG0001	3.884	4.365	풍성하게	[]
1	1	6	DG0001	4.445	4.926	채워주러	[]
1	1	7	DG0001	4.986	5.667	나오셨습니다	[]
1	1	8	DG0001	5.767	6.107	영화에	[]
1	1	9	DG0001	6.167	6.448	담긴	[]
1	1	10	DG0001	6.568	7.029	이야기를	[]
1	1	11	DG0001	7.169	7.609	음악으로	[]
1	1	12	DG0001	7.709	8.31	풀어주시는	[]
1	1	13	DG0001	8.45	8.851	@이름5	[]
1	1	14	DG0001	8.871	9.352	감독님과	[]
1	1	15	DG0001	9.372	9.892	함께합니다	[]
1	1	16	DG0001	10.333	10.633	어서	[]
1	1	17	DG0001	10.753	11.334	오세요	[]
1	1	18	DG0001	11.614	12.035	감독님	[]
1	1	19	DG0001	12.115	12.215	새해	[]
1	1	20	DG0001	12.295	12.496	처음	[]
1	1	21	DG0001	12.836	13.116	뵀습니다	[]
1	1	22	DG0001	13.197	13.397	새해	[]
1	1	23	DG0001	13.417	13.457	복	[]
1	1	24	DG0001	13.477	13.677	많이	[]
1	1	25	DG0001	13.737	14.158	받으세요.	[]
1	2	1	DG0001	15.079	15.299	네	[]
1	2	2	DG0001	15.42	16.021	이천이십일	[]
1	2	3	DG0001	16.081	16.602	년에는	[]
1	2	4	DG0001	16.843	17.304	정말	[]
1	2	5	DG0001	17.604	17.925	생각하고	[]
1	2	6	DG0001	17.965	18.186	계신	[]
1	2	7	DG0001	18.226	18.446	것들	[]
1	2	8	DG0001	18.546	18.627	다	[]
1	2	9	DG0001	18.667	19.248	이루어지시기를	[]
2	3	1	DG0002	19.749	20.471	네	[]
2	3	2	DG0002	20.511	20.932	감사합니다.	[]
3	4	1	DG0001	21.694	22.078	왜	[]
3	4	2	DG0001	22.159	22.26	왜	[]
3	4	3	DG0001	22.321	22.664	웃으세요?	[]
4	5	1	DG0002	23.574	24.116	그럴	[]
4	5	2	DG0002	24.196	24.296	것	[]
4	5	3	DG0002	24.356	24.918	같아요	[]
4	5	4	DG0002	24.938	24.958	왠지	[]
5	6	1	DG0001	25.239	25.524	뭐가	[]
5	6	2	DG0001	25.565	25.769	잘될	[]
5	6	3	DG0001	25.809	25.85	것	[]
5	6	4	DG0001	25.911	26.4	같아요?	[]
6	7	1	DG0002	26.4	26.601	아유	[]
6	7	2	DG0002	26.662	27.004	영화죠	[]
7	8	1	DG0001	28.555	29.519	좋습니다	[]
7	8	2	DG0001	29.861	29.941	자	[]
7	8	3	DG0001	30.022	30.564	오늘은	[]
7	8	4	DG0001	30.625	30.906	어떤	[]
7	8	5	DG0001	30.966	31.388	감독님을	[]
7	8	6	DG0001	31.448	31.69	모시고	[]
7	8	7	DG0001	31.71	32.875	오셨을까요?	[]
8	9	1	DG0002	33.034	33.095	예	[]
8	9	2	DG0002	33.237	33.521	오늘은	[1]
8	10	1	DG0002	34.624	34.945	아	[]
8	10	2	DG0002	35.286	35.667	화끈하신	[]
8	10	3	DG0002	35.767	36.028	분을	[]
8	10	4	DG0002	36.209	36.349	제가	[]
8	10	5	DG0002	36.409	36.67	모시고	[]
8	10	6	DG0002	36.77	37.151	왔습니다	[]
8	10	7	DG0002	37.171	37.191	네	[]
8	10	8	DG0002	37.914	39.438	@이름6입니다.	[]
9	11	1	DG0001	39.594	40.803	그분도	[]
9	11	2	DG0001	40.843	41.448	감독님이시죠?	[]
10	12	1	DG0002	41.79	42.758	감독을	[]
10	12	2	DG0002	42.859	43.303	겸하시죠	[]
10	12	3	DG0002	43.323	43.343	네.	[]
11	13	1	DG0001	44.453	45.097	저희에게는	[]
11	13	2	DG0001	45.157	45.701	로키로만	[]
11	13	3	DG0001	45.741	46.023	알려져	[]
11	13	4	DG0001	46.063	46.506	있었는데	[]
12	14	1	DG0002	46.969	47.109	록키	[]
12	14	2	DG0002	47.189	47.35	남	[]
12	14	3	DG0002	47.57	47.81	람보	[]
12	14	4	DG0002	47.89	48.351	시리즈로	[2]
12	14	5	DG0002	48.451	48.552	이제	[]
12	14	6	DG0002	48.592	48.692	한	[]
12	14	7	DG0002	48.732	48.912	시대를	[]
12	14	8	DG0002	48.992	49.393	풍미했던	[]
12	14	9	DG0002	49.453	49.974	배우인데	[3]
12	14	10	DG0002	50.615	50.895	아	[]
12	14	11	DG0002	51.056	51.697	이분이	[]
12	14	12	DG0002	52.338	52.558	그냥	[]
12	14	13	DG0002	52.658	52.758	뭐	[]
12	14	14	DG0002	52.818	53.359	마초적인	[]
12	14	15	DG0002	53.419	53.7	성향이	[]
12	14	16	DG0002	53.8	54.08	배우다.	[]
12	14	17	DG0002	54.541	54.701	라고	[]
12	14	18	DG0002	54.762	54.802	이제	[]
12	14	19	DG0002	54.902	55.362	오해하시는	[]
12	14	20	DG0002	55.423	55.663	분들이	[]
12	14	21	DG0002	55.723	55.843	많이	[]
12	14	22	DG0002	55.923	56.304	계세요.	[4]
12	15	1	DG0002	57.097	57.197	아	[]
12	15	2	DG0002	57.277	57.337	네	[]
12	15	3	DG0002	57.398	57.598	굉장히	[]
12	15	4	DG0002	57.638	57.958	섬세한	[]
12	15	5	DG0002	58.019	58.459	성격의	[]
12	15	6	DG0002	58.62	59.461	소유자이십니다.	[5]
12	15	7	DG0002	60.102	60.222	아	[]
12	15	8	DG0002	60.343	60.623	록키	[]
12	15	9	DG0002	60.703	60.743	일	[]
12	15	10	DG0002	60.883	61.084	편의	[]
