uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.525	레이디	[]
1	1	2	AH0001	1.726	2.168	에이의	[]
1	1	3	AH0001	2.67	2.972	라이크	[]
1	1	4	AH0001	3.112	3.273	레이디	[]
1	1	5	AH0001	3.393	3.936	입니다.	[]
1	2	1	AH0001	3.936	4.999	영화만큼	[]
1	2	2	AH0001	5.119	5.5	재밌게	[]
1	2	3	AH0001	5.941	6.663	법률만큼	[]
1	2	4	AH0001	6.804	7.185	명쾌하게.	[]
2	3	1	AH0002	7.364	8.474	@이름1의	[]
2	3	2	AH0002	8.636	9.019	영화로	[]
2	3	3	AH0002	9.14	9.443	토크.	[]
3	4	1	AH0001	9.685	10.489	영화로	[]
3	4	2	AH0001	10.509	10.871	토크	[]
3	4	3	AH0001	11.394	11.796	@이름1	[]
3	4	4	AH0001	11.896	12.258	평론가님과	[]
3	4	5	AH0001	12.298	12.378	함께	[]
3	4	6	AH0001	12.459	12.78	합니다	[]
3	4	7	AH0001	12.921	12.961	어서	[]
3	4	8	AH0001	13.042	13.484	오세요.	[]
4	5	1	AH0002	13.485	13.587	예	[]
4	5	2	AH0002	13.668	14.667	안녕하세요.	[]
5	6	1	AH0001	14.667	15.268	늘	[]
5	6	2	AH0001	15.388	15.648	이렇게	[]
5	6	3	AH0001	15.708	15.788	좀	[]
5	6	4	AH0001	15.909	16.429	신선하고	[]
5	6	5	AH0001	16.509	16.77	재미있는	[]
5	6	6	AH0001	16.85	17.19	주제를	[]
5	6	7	AH0001	17.21	17.25	가져	[]
5	6	8	AH0001	17.491	17.731	오셔서	[]
5	6	9	AH0001	17.791	18.011	기대가	[]
5	6	10	AH0001	18.052	18.412	되는데요.	[]
6	7	1	AH0002	18.412	19.38	감사합니다.	[]
7	8	1	AH0001	19.38	19.842	오늘은	[]
7	8	2	AH0001	19.942	20.183	어떤	[]
7	8	3	AH0001	20.283	20.785	주제로	[]
7	8	4	AH0001	20.865	21.026	얘기	[]
7	8	5	AH0001	21.046	21.608	나눌까요.	[]
8	9	1	AH0002	21.607	21.807	네	[]
8	9	2	AH0002	22.249	22.429	제가	[]
8	9	3	AH0002	22.509	22.77	얼마	[]
8	9	4	AH0002	22.83	23.111	전에	[]
8	9	5	AH0002	23.211	23.532	굉장히	[]
8	9	6	AH0002	23.592	24.013	흥미로운	[]
8	9	7	AH0002	24.153	24.534	기사를	[]
8	9	8	AH0002	24.594	24.795	하나	[]
8	9	9	AH0002	24.875	25.557	봤는데요	[]
8	9	10	AH0002	25.938	26.038	그	[]
8	9	11	AH0002	26.098	26.419	이야기를	[]
8	9	12	AH0002	26.479	26.579	좀	[]
8	9	13	AH0002	26.639	27.06	해볼까	[]
8	9	14	AH0002	27.1	27.742	싶습니다.	[1]
8	10	1	AH0002	28.138	28.298	어	[]
8	10	2	AH0002	28.398	28.599	기사	[]
8	10	3	AH0002	28.659	29.019	내용은	[]
8	10	4	AH0002	29.12	29.761	이천십육	[]
8	10	5	AH0002	29.861	29.961	년	[]
8	10	6	AH0002	30.101	30.181	칠	[]
8	10	7	AH0002	30.221	30.522	월에	[]
8	10	8	AH0002	30.642	31.183	일본에서	[]
8	10	9	AH0002	31.203	31.603	있었던	[]
8	10	10	AH0002	31.664	31.964	이야기를	[]
8	10	11	AH0002	32.044	32.405	다루고	[]
8	10	12	AH0002	32.445	33.206	있는데요.	[]
8	11	1	AH0002	33.206	33.75	일본	[]
8	11	2	AH0002	33.83	34.112	여성	[]
8	11	3	AH0002	34.233	34.374	에이	[]
8	11	4	AH0002	34.575	34.877	씨가	[]
8	11	5	AH0002	35.018	35.38	절도	[]
8	11	6	AH0002	35.441	35.763	혐의로	[]
8	11	7	AH0002	35.864	36.266	기소가	[]
8	11	8	AH0002	36.347	36.83	됩니다.	[]
8	12	1	AH0002	37.189	37.53	점포	[]
8	12	2	AH0002	37.59	37.67	세	[]
8	12	3	AH0002	37.75	38.151	곳에서	[]
8	12	4	AH0002	38.291	39.093	화장품이랑	[]
8	12	5	AH0002	39.233	39.293	옷	[]
8	12	6	AH0002	39.574	39.694	등	[]
8	12	7	AH0002	39.894	40.515	백삼십구	[]
8	12	8	AH0002	40.596	40.816	점	[]
8	12	9	AH0002	41.077	41.177	훔친	[]
8	12	10	AH0002	41.237	42.078	혐의였고요.	[2]
8	12	11	AH0002	42.72	43.301	겉보기에는	[]
8	12	12	AH0002	43.381	43.722	단순한	[]
8	12	13	AH0002	43.782	44.463	절도사건에	[]
8	12	14	AH0002	44.563	45.265	불과했는데.	[]
8	13	1	AH0002	45.93	46.03	이	[]
8	13	2	AH0002	46.09	46.472	사건의	[]
8	13	3	AH0002	46.532	47.013	재판이	[]
8	13	4	AH0002	47.174	47.274	사	[]
8	13	5	AH0002	47.354	47.675	년이	[]
8	13	6	AH0002	47.755	48.136	넘게	[]
8	13	7	AH0002	48.217	48.798	계속됐다고	[]
8	13	8	AH0002	48.859	49.681	하더라구요.	[3]
8	14	1	AH0002	50.319	50.419	이게	[]
8	14	2	AH0002	50.499	50.72	인제	[]
8	14	3	AH0002	50.76	50.84	에이	[]
8	14	4	AH0002	51.04	51.28	씨가	[]
8	14	5	AH0002	51.461	51.921	어떻게	[]
8	14	6	AH0002	52.041	52.422	보아도	[]
8	14	7	AH0002	52.522	52.883	본인이	[]
8	14	8	AH0002	52.943	53.283	저지른	[]
8	14	9	AH0002	53.343	53.664	절도	[]
8	14	10	AH0002	53.724	54.224	행위들이	[]
8	14	11	AH0002	54.325	54.725	자신이	[]
8	14	12	AH0002	54.765	54.885	한	[]
8	14	13	AH0002	54.905	55.066	일이	[]
8	14	14	AH0002	55.126	56.367	아니다라고	[]
8	14	15	AH0002	56.427	56.568	계속	[]
8	14	16	AH0002	56.628	56.888	주장을	[]
8	14	17	AH0002	56.928	57.108	했기	[]
8	14	18	AH0002	57.189	58.27	때문이었습니다.	[]
9	15	1	AH0001	58.856	59.219	자신이	[]
9	15	2	AH0001	59.259	59.36	한	[]
9	15	3	AH0001	59.4	59.481	일이	[]
9	15	4	AH0001	59.501	60.388	아니다라는	[]
9	15	5	AH0001	60.409	60.449	게	[]
9	15	6	AH0001	60.489	60.772	어떤	[]
9	15	7	AH0001	60.953	61.175	주장	[]
9	15	8	AH0001	61.215	61.437	내용인	[]
9	15	9	AH0001	61.497	61.82	거죠?	[]
10	16	1	AH0002	61.917	62.077	네	[]
10	16	2	AH0002	62.157	62.318	에이	[]
10	16	3	AH0002	62.478	62.799	씨는	[]
10	16	4	AH0002	62.979	63.42	자신이	[]
10	16	5	AH0002	63.52	64.021	해리성	[]
10	16	6	AH0002	64.141	64.682	정체감	[]
10	16	7	AH0002	64.843	65.284	장애를	[]
10	16	8	AH0002	65.404	65.745	앓고	[]
10	16	9	AH0002	65.785	66.185	있고	[]
10	16	10	AH0002	66.606	67.067	절도를	[]
10	16	11	AH0002	67.147	67.268	한	[]
10	16	12	AH0002	67.348	67.508	건	[]
10	16	13	AH0002	67.628	68.049	자신이	[]
10	16	14	AH0002	68.089	68.37	아니라	[]
10	16	15	AH0002	68.47	68.71	다른	[]
10	16	16	AH0002	68.771	69.592	인격이었다고	[]
10	16	17	AH0002	69.652	70.474	주장했습니다.	[4]
11	17	1	AH0001	71.879	72.521	해리성	[]
11	17	2	AH0001	72.642	73.003	정체감	[]
11	17	3	AH0001	73.123	73.585	장애라면	[]
11	17	4	AH0001	73.665	73.886	흔히	[]
11	17	5	AH0001	74.468	75.231	다중인격이라고	[]
11	17	6	AH0001	75.251	75.532	알려진	[]
11	17	7	AH0001	75.633	75.914	그런	[]
11	17	8	AH0001	76.415	76.636	내용인	[]
