bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	20.072	20.357	CONTINUER	네.	[4]	[6]	[5]
2	AH0001	24.268	24.728	CONTINUER	네.	[4]	[6]	[14]
3	AH0001	28.183	28.568	CONTINUER	네.	[4]	[6]	[21]
4	AH0002	52.936	53.866	CONTINUER	음. 네.	[9]	[13]	[9]
5	AH0001	79.216	79.836	ASSESSMENT	허.	[12]	[18]	[3]
6	AH0001	84.392	85.204	ASSESSMENT	우와.	[12]	[18]	[17]
7	AH0001	117.844	118.434	ASSESSMENT	우와.	[18]	[26]	[1]
8	AH0001	128.048	129.118	CONTINUER	으흠.	[20]	[29]	[10]
9	AH0001	176.01	176.28	CONTINUER	네.	[24]	[39]	[28]
10	AH0001	187.572	187.957	CONTINUER	네.	[28]	[43]	[8]
11	AH0001	189.607	190.452	ASSESSMENT	허!	[28]	[43]	[12]
12	AH0002	206.639	206.909	CONTINUER	네.	[29]	[46]	[14]
13	AH0001	214.877	215.172	CONTINUER	네.	[30]	[47]	[10]
14	AH0001	218.063	218.544	CONTINUER	네.	[30]	[47]	[16]
15	AH0001	224.432	225.246	UNDERSTANDING	어.	[30]	[48]	[11]
16	AH0001	232.776	233.256	CONTINUER	네.	[30]	[49]	[1]
17	AH0001	242.401	243.291	CONTINUER	어. 어.	[30]	[51]	[1]
18	AH0001	283.567	284.087	CONTINUER	네.	[34]	[59]	[20]
19	AH0001	291.11	291.56	CONTINUER	네.	[34]	[60]	[9]
20	AH0001	308.118	308.973	UNDERSTANDING	음.	[36]	[64]	[10]
21	AH0001	311.343	311.658	CONTINUER	네.	[36]	[64]	[14]
22	AH0001	317.704	318.903	ASSESSMENT	아하.	[36]	[64]	[27]
23	AH0001	329.2	329.465	CONTINUER	네.	[38]	[68]	[1]
24	AH0001	355.852	356.167	CONTINUER	네.	[40]	[71]	[10]
25	AH0001	366.796	367.356	CONTINUER	응.	[40]	[73]	[1]
26	AH0001	372.221	372.661	CONTINUER	네네.	[40]	[73]	[11]
27	AH0001	374.899	375.224	ASSESSMENT	이야.	[40]	[74]	[1]
28	AH0001	397.346	397.686	CONTINUER	네.	[42]	[79]	[8]
29	AH0001	401.671	402.001	CONTINUER	네.	[42]	[79]	[18]
30	AH0001	446.357	446.762	CONTINUER	음.	[46]	[87]	[1]
31	AH0001	557.418	557.758	CONTINUER	네.	[58]	[116]	[1]
32	AH0001	565.904	566.354	CONTINUER	네.	[58]	[117]	[6]
33	AH0001	611.367	611.832	NEGATIVE_SURPRISE	아휴.	[64]	[125]	[4]
34	AH0001	628.653	629.133	CONTINUER	네.	[64]	[127]	[1]
35	AH0002	647.281	647.591	CONTINUER	음.	[65]	[129]	[12]
36	AH0002	649.01	650.82	AFFIRMATIVE	그렇죠. 네.	[65]	[129]	[15]
37	AH0001	667.571	668.516	UNDERSTANDING	음.	[68]	[133]	[14]
38	AH0001	681.047	681.577	CONTINUER	네.	[68]	[134]	[16]
39	AH0002	727.583	727.913	CONTINUER	네네.	[73]	[144]	[5]
40	AH0001	756.235	756.48	CONTINUER	네.	[76]	[148]	[30]
41	AH0001	758.663	759.298	CONTINUER	음.	[76]	[149]	[7]
42	AH0001	771.528	771.803	CONTINUER	네.	[78]	[151]	[11]
43	AH0002	787.446	788.276	AFFIRMATIVE	그쵸 음.	[79]	[154]	[6]
44	AH0001	802.457	802.812	CONTINUER	네.	[82]	[158]	[12]
45	AH0002	811.011	811.196	CONTINUER	네.	[83]	[160]	[6]
46	AH0002	812.691	813.016	CONTINUER	네.	[83]	[160]	[11]
