bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	3.8	4.02	CONTINUER	음.	[1]	[1]	[9]
2	AH0002	9.97	10.21	CONTINUER	음.	[1]	[2]	[8]
3	AH0002	11.46	11.98	CONTINUER	음.	[1]	[2]	[12]
4	AH0001	15.78	16.345	CONTINUER	예.	[2]	[3]	[3]
5	AH0001	27.503	28.077	CONTINUER	네.	[2]	[4]	[23]
6	AH0001	35.539	35.789	CONTINUER	음.	[2]	[5]	[18]
7	AH0001	45.714	46.464	CONTINUER	음.	[2]	[6]	[22]
8	AH0001	51.509	52.714	ASSESSMENT	아우. 예.	[2]	[6]	[36]
9	AH0001	63.048	63.768	UNDERSTANDING	음.	[2]	[8]	[8]
10	AH0001	71.744	72.524	CONTINUER	음.	[2]	[8]	[31]
11	AH0001	81.732	82.672	UNDERSTANDING	음음음. 네.	[2]	[10]	[10]
12	AH0001	90.792	91.507	CONTINUER	음.	[2]	[11]	[13]
13	AH0001	98.841	99.661	CONTINUER	음.	[2]	[12]	[6]
14	AH0001	115.935	116.55	CONTINUER	음.	[2]	[13]	[23]
15	AH0001	118.876	119.651	UNDERSTANDING	아아.	[2]	[13]	[29]
16	AH0001	129.336	129.886	CONTINUER	음.	[2]	[15]	[1]
17	AH0001	137.366	138.286	CONTINUER	음.	[2]	[15]	[18]
18	AH0001	150.054	152.119	UNDERSTANDING	아아. 어어.	[2]	[17]	[3]
19	AH0001	152.954	153.394	CONTINUER	예.	[2]	[17]	[8]
20	AH0001	156.859	157.674	CONTINUER	음음음음.	[2]	[17]	[16]
21	AH0001	165.924	166.564	UNDERSTANDING	음음.	[2]	[18]	[22]
22	AH0001	176.131	176.546	CONTINUER	네.	[2]	[19]	[22]
23	AH0001	188.813	189.663	UNDERSTANDING	음음음음음.	[2]	[21]	[23]
24	AH0001	199.878	200.393	UNDERSTANDING	아아.	[2]	[22]	[19]
25	AH0001	205.658	206.263	UNDERSTANDING	음.	[2]	[23]	[14]
26	AH0001	217.248	218.113	UNDERSTANDING	음.	[2]	[24]	[30]
27	AH0001	222.444	223.209	CONTINUER	음.	[2]	[26]	[1]
28	AH0001	232.859	233.309	CONTINUER	네.	[2]	[26]	[25]
29	AH0001	236.198	236.833	CONTINUER	네.	[2]	[27]	[5]
30	AH0001	247.515	248.305	UNDERSTANDING	음음음음.	[2]	[28]	[18]
31	AH0002	250.677	250.817	CONTINUER	예.	[3]	[29]	[1]
32	AH0001	254.05	254.4	CONTINUER	음.	[4]	[30]	[3]
33	AH0001	259.098	259.823	CONTINUER	네.	[4]	[31]	[1]
34	AH0001	263.728	264.438	CONTINUER	아아. 아아.	[4]	[31]	[11]
35	AH0001	275.166	275.731	UNDERSTANDING	음.	[4]	[32]	[22]
36	AH0001	291.941	292.651	CONTINUER	음.	[4]	[34]	[11]
37	AH0001	299.417	299.812	CONTINUER	음.	[4]	[35]	[8]
38	AH0001	300.737	301.442	UNDERSTANDING	음. 음음.	[4]	[35]	[9]
39	AH0001	303.542	304.037	CONTINUER	음.	[4]	[35]	[16]
40	AH0001	313.933	314.543	CONTINUER	음.	[4]	[36]	[22]
41	AH0001	320.298	320.763	CONTINUER	음.	[4]	[37]	[8]
42	AH0001	327.474	327.994	CONTINUER	네.	[4]	[39]	[1]
43	AH0001	334.542	335.012	CONTINUER	음.	[4]	[39]	[16]
44	AH0001	341.093	341.778	CONTINUER	음.	[4]	[40]	[11]
45	AH0001	347.685	348.265	CONTINUER	음.	[4]	[41]	[8]
46	AH0001	352.318	352.963	CONTINUER	네.	[4]	[41]	[17]
47	AH0001	364.708	366.128	UNDERSTANDING	음. 음음. 음음.	[4]	[42]	[25]
48	AH0001	370.127	370.807	CONTINUER	네.	[4]	[43]	[6]
49	AH0001	375.892	376.497	CONTINUER	음.	[4]	[43]	[20]
50	AH0001	382.596	382.871	CONTINUER	네.	[4]	[44]	[6]
51	AH0001	394.407	394.972	CONTINUER	음.	[6]	[46]	[14]
52	AH0001	397.944	398.364	CONTINUER	음.	[6]	[46]	[23]
53	AH0001	405.641	406.016	CONTINUER	음.	[6]	[48]	[5]
54	AH0001	411.991	412.496	CONTINUER	음.	[6]	[49]	[5]
55	AH0001	415.105	415.48	CONTINUER	네.	[6]	[49]	[10]
