bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	43.458	44.923	CONTINUER	예. 예.	[6]	[9]	[8]
2	AH0001	52.865	53.055	CONTINUER	네.	[8]	[14]	[1]
3	AH0001	54.92	55.215	CONTINUER	음.	[8]	[14]	[6]
4	AH0001	64.793	65.248	UNDERSTANDING	아. 네.	[8]	[16]	[1]
5	AH0001	77.454	77.654	CONTINUER	어.	[12]	[22]	[5]
6	AH0002	95.976	96.379	CONTINUER	네.	[19]	[30]	[4]
7	AH0001	108.964	109.204	CONTINUER	네.	[20]	[35]	[4]
8	AH0001	112.529	112.794	CONTINUER	음.	[20]	[35]	[12]
9	AH0001	120.672	120.922	CONTINUER	으흠.	[22]	[38]	[7]
10	AH0001	122.045	122.205	CONTINUER	네.	[22]	[39]	[1]
11	AH0001	123.695	124.045	CONTINUER	음.	[22]	[39]	[5]
12	AH0001	126.097	126.508	CONTINUER	음.	[22]	[39]	[9]
13	AH0001	134.71	135.04	CONTINUER	네.	[24]	[43]	[4]
14	AH0001	138.89	139.22	CONTINUER	네.	[24]	[45]	[1]
15	AH0001	142.575	143.065	UNDERSTANDING	아.	[24]	[45]	[10]
16	AH0002	151.946	152.356	CONTINUER	예.	[27]	[50]	[3]
17	AH0001	156.355	157.345	ASSESSMENT	이야.	[28]	[52]	[2]
18	AH0001	159.69	160.055	CONTINUER	예.	[28]	[53]	[1]
19	AH0001	168.725	168.98	CONTINUER	음.	[28]	[53]	[19]
20	AH0001	171.872	172.492	CONTINUER	네.	[28]	[54]	[7]
21	AH0001	186.513	186.928	CONTINUER	예.	[28]	[57]	[5]
22	AH0001	191.904	192.264	CONTINUER	네.	[28]	[58]	[13]
23	AH0001	193.389	194.079	AFFIRMATIVE	그렇습니다.	[28]	[58]	[19]
24	AH0001	225.962	226.345	CONTINUER	아.	[40]	[71]	[4]
25	AH0001	229.519	230.034	AFFIRMATIVE	그렇지.	[40]	[72]	[10]
26	AH0001	235.351	235.666	CONTINUER	네.	[42]	[74]	[6]
27	AH0002	247.442	247.608	CONTINUER	음.	[45]	[78]	[3]
28	AH0001	260.301	261.086	ASSESSMENT	이야.	[48]	[83]	[7]
29	AH0001	263.876	264.036	CONTINUER	네.	[48]	[84]	[2]
30	AH0001	270.949	271.254	CONTINUER	네.	[50]	[87]	[9]
31	AH0001	273.734	274.094	CONTINUER	으흠.	[50]	[87]	[15]
32	AH0001	280.964	281.449	UNDERSTANDING	예.	[50]	[87]	[31]
33	AH0001	285.196	285.476	CONTINUER	네.	[50]	[88]	[10]
34	AH0001	294.084	294.634	CONTINUER	네.	[50]	[89]	[17]
35	AH0001	295.708	295.938	CONTINUER	음.	[50]	[90]	[4]
36	AH0001	298.803	300.578	UNDERSTANDING	음. 어.	[50]	[90]	[11]
37	AH0002	304.967	306.032	CONTINUER	음. 음. 네.	[51]	[92]	[2]
38	AH0002	307.147	307.397	CONTINUER	음.	[51]	[92]	[7]
39	AH0002	309.812	310.217	CONTINUER	네 네.	[51]	[92]	[12]
40	AH0002	313.992	314.222	CONTINUER	음.	[51]	[93]	[8]
41	AH0002	317.242	317.462	CONTINUER	음.	[51]	[93]	[16]
42	AH0001	326.391	326.961	UNDERSTANDING	음.	[56]	[99]	[2]
43	AH0001	330.38	330.625	CONTINUER	음	[56]	[101]	[1]
44	AH0002	334.945	335.328	CONTINUER	네.	[57]	[103]	[2]
45	AH0001	338.854	339.209	CONTINUER	네.	[58]	[105]	[3]
46	AH0001	341.329	341.599	CONTINUER	음.	[58]	[105]	[7]
47	AH0002	349.229	349.549	CONTINUER	네네.	[59]	[108]	[2]
48	AH0001	366.768	366.988	CONTINUER	네.	[66]	[115]	[6]
49	AH0002	370.909	371.349	CONTINUER	네네네.	[67]	[117]	[1]
50	AH0002	372.529	372.814	CONTINUER	음.	[67]	[117]	[3]
51	AH0002	374.029	374.174	CONTINUER	음.	[67]	[117]	[9]
52	AH0002	376.484	376.789	CONTINUER	네네.	[67]	[117]	[14]
53	AH0002	379.178	379.373	CONTINUER	음.	[67]	[118]	[6]
54	AH0001	384.147	384.447	CONTINUER	음.	[68]	[119]	[5]
55	AH0002	411.104	411.347	CONTINUER	네.	[75]	[129]	[2]
56	AH0001	415.87	416.11	CONTINUER	음.	[76]	[131]	[4]
57	AH0001	417.8	418.07	CONTINUER	네.	[76]	[131]	[9]
58	AH0001	421.071	421.501	CONTINUER	네.	[76]	[132]	[7]
59	AH0002	452.268	452.578	CONTINUER	네네.	[93]	[150]	[2]
60	AH0002	453.888	454.243	CONTINUER	음음.	[93]	[150]	[8]
61	AH0002	455.67	456.045	CONTINUER	네네.	[93]	[151]	[3]
62	AH0002	459.977	460.29	CONTINUER	네.	[93]	[151]	[9]
63	AH0002	461.35	461.6	CONTINUER	음.	[93]	[152]	[2]
64	AH0002	466.915	467.41	CONTINUER	어.	[97]	[156]	[2]
65	AH0002	469.101	469.952	CONTINUER	음.	[97]	[156]	[6]
66	AH0001	473.341	473.641	CONTINUER	음.	[98]	[158]	[3]
67	AH0002	476.777	477.482	CONTINUER	음음음.	[99]	[160]	[4]
68	AH0002	483.022	483.357	CONTINUER	네네.	[99]	[160]	[13]
