uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.76	네	[]
1	1	2	AH0001	0.881	1.241	@이름14	[]
1	1	3	AH0001	1.342	1.582	씨가	[]
1	1	4	AH0001	2.023	2.424	@이름302	[]
1	1	5	AH0001	2.504	3.466	@이름302라고	[]
1	1	6	AH0001	3.606	4.087	물음표를	[]
1	1	7	AH0001	4.147	4.868	붙여주셨는데	[1]
1	2	1	AH0001	6.023	6.588	음	[]
1	2	2	AH0001	6.688	6.87	어떻게	[]
1	2	3	AH0001	6.91	7.192	할까요	[]
1	2	4	AH0001	7.313	7.737	드릴까요	[]
1	2	5	AH0001	7.797	7.858	이	[]
1	2	6	AH0001	7.918	8.019	세	[]
1	2	7	AH0001	8.079	8.2	분	[]
1	2	8	AH0001	8.624	8.644	다?	[]
2	3	1	AH0002	9.109	9.23	세	[]
2	3	2	AH0002	9.31	9.451	분	[]
2	3	3	AH0002	9.552	9.673	다	[]
2	3	4	AH0002	9.794	10.056	드리는	[]
2	3	5	AH0002	10.136	10.338	걸로	[]
3	4	1	AH0001	10.623	11.124	알겠습니다	[2]
3	4	2	AH0001	11.304	11.565	그러면	[]
3	4	3	AH0001	11.605	11.805	우리	[]
3	4	4	AH0001	11.925	12.266	@이름14	[]
3	4	5	AH0001	12.346	12.666	씨까지	[]
3	4	6	AH0001	12.787	12.987	@이름5	[]
3	4	7	AH0001	13.328	13.508	씨	[]
3	4	8	AH0001	13.788	14.109	@이름13	[]
3	4	9	AH0001	14.309	14.409	씨	[]
3	4	10	AH0001	14.49	14.87	@이름14	[]
3	4	11	AH0001	14.99	15.031	씨	[]
3	4	12	AH0001	15.131	15.411	저희가	[]
3	4	13	AH0001	16.193	16.333	어	[]
3	4	14	AH0001	16.473	16.693	선물	[]
3	4	15	AH0001	16.773	17.655	드릴테니까요.	[]
3	5	1	AH0001	17.655	17.997	당첨	[]
3	5	2	AH0001	18.058	18.662	게시판에	[]
3	5	3	AH0001	18.843	19.024	이름과	[]
3	5	4	AH0001	19.065	19.407	주소	[]
3	5	5	AH0001	19.427	19.689	연락처	[]
3	5	6	AH0001	19.729	20.696	남겨주시구요.	[]
3	6	1	AH0001	21.175	21.396	어	[]
3	6	2	AH0001	21.537	21.638	또	[]
3	6	3	AH0001	22.181	22.664	혹시	[]
3	6	4	AH0001	22.905	23.166	아시	[]
3	6	5	AH0001	23.348	23.468	어	[]
3	6	6	AH0001	23.71	23.891	하지	[]
3	6	7	AH0001	23.931	24.031	않으	[]
3	6	8	AH0001	24.092	24.192	셔도	[]
3	6	9	AH0001	24.253	24.816	됩니다.	[]
3	7	1	AH0001	24.936	25.317	우리	[]
3	7	2	AH0001	25.657	25.937	@이름302	[]
3	7	3	AH0001	25.997	26.378	@이름302의	[]
3	7	4	AH0001	26.558	26.678	또	[]
3	7	5	AH0001	26.818	26.999	여러	[]
3	7	6	AH0001	27.079	27.479	주옥같은	[]
3	7	7	AH0001	27.559	27.8	곡들	[]
3	7	8	AH0001	27.88	28.14	중에	[]
3	7	9	AH0001	28.26	28.441	듣고	[]
3	7	10	AH0001	28.481	28.641	싶은	[]
3	7	11	AH0001	28.721	28.781	곡이	[]
3	7	12	AH0001	28.821	29.342	있다면은	[]
3	7	13	AH0001	30.003	30.083	또	[]
3	7	14	AH0001	30.223	30.724	보내주시면	[]
3	7	15	AH0001	30.804	31.304	신청곡으로	[]
3	7	16	AH0001	31.365	31.585	함께	[]
3	7	17	AH0001	31.645	31.905	들어볼	[]
3	7	18	AH0001	31.965	32.466	거거든요.	[]
3	8	1	AH0001	32.487	33.212	어디로	[]
3	8	2	AH0001	33.333	33.715	보내주시면	[]
3	8	3	AH0001	33.796	33.957	됩니까?	[]
4	9	1	AH0002	34.034	34.094	예.	[]
4	9	2	AH0002	34.274	34.655	@상호명91	[]
4	9	3	AH0002	34.675	34.996	인터넷	[]
4	9	4	AH0002	35.096	35.416	반디	[]
4	9	5	AH0002	35.516	35.957	스마트폰	[]
4	9	6	AH0002	35.997	36.318	어플	[]
4	9	7	AH0002	36.378	36.678	반디	[]
4	9	8	AH0002	36.798	37.239	@상호명92	[]
4	9	9	AH0002	37.339	37.54	짧은	[]
4	9	10	AH0002	37.58	37.78	문자	[]
4	9	11	AH0002	37.8	37.96	오십	[]
4	9	12	AH0002	38.04	38.121	원	[]
4	9	13	AH0002	38.321	38.381	긴	[]
4	9	14	AH0002	38.441	38.682	문자	[]
4	9	15	AH0002	38.742	38.802	백	[]
4	9	16	AH0002	38.862	39.002	원의	[]
4	9	17	AH0002	39.042	39.443	이용료가	[]
4	9	18	AH0002	39.523	39.783	드는	[]
4	9	19	AH0002	39.883	41.045	문자메세지샵	[]
4	9	20	AH0002	41.105	41.766	@전화번호1로	[]
4	9	21	AH0002	41.867	42.327	알려주시면	[]
4	9	22	AH0002	42.408	42.708	됩니다.	[]
5	10	1	AH0001	42.803	43.044	네	[]
5	10	2	AH0001	43.204	43.606	그러면	[]
5	10	3	AH0001	44.128	44.349	먼저	[]
5	10	4	AH0001	44.409	44.911	노래부터	[]
5	10	5	AH0001	44.931	45.011	한	[]
5	10	6	AH0001	45.112	45.212	번	[]
5	10	7	AH0001	45.292	46.055	들어봐야죠.	[3]
5	11	1	AH0001	46.115	46.359	어떤	[]
5	11	2	AH0001	46.42	46.502	곡	[]
5	11	3	AH0001	46.685	47.255	들어볼까요?	[]
6	12	1	AH0002	47.304	47.404	어	[]
6	12	2	AH0002	47.645	47.905	아마	[]
6	12	3	AH0002	48.005	48.306	@이름302	[]
6	12	4	AH0002	48.386	49.127	@이름302의	[]
6	12	5	AH0002	49.368	49.608	가장	[]
6	12	6	AH0002	49.709	50.39	대표곡이	[]
6	12	7	AH0002	50.41	50.731	아닐까	[]
6	12	8	AH0002	50.791	51.512	싶은데요.	[]
6	13	1	AH0002	51.512	51.995	영화	[]
6	13	2	AH0002	52.136	52.538	클로저에	[]
6	13	3	AH0002	52.598	53.061	삽입돼서	[]
6	13	4	AH0002	53.141	53.242	더	[]
6	13	5	AH0002	53.322	53.684	인기를	[4]
6	13	6	AH0002	53.725	54.288	얻었었던	[]
6	13	7	AH0002	54.469	55.012	곡입니다.	[]
6	14	1	AH0002	55.195	55.516	데뷔	[]
6	14	2	AH0002	55.536	55.837	앨범인	[]
6	14	3	AH0002	55.877	56.138	이제	[]
6	14	4	AH0002	56.579	56.66	오	[]
6	14	5	AH0002	56.76	57.121	타이틀	[]
6	14	6	AH0002	57.201	57.442	곡인	[]
6	14	7	AH0002	57.462	57.482	어	[]
6	14	8	AH0002	58.305	58.405	더	[]
6	14	9	AH0002	58.686	59.167	블로어스	[]
6	14	10	AH0002	59.187	59.709	도터라는	[]
6	14	11	AH0002	59.789	59.87	곡	[]
6	14	12	AH0002	59.99	60.672	들어보겠습니다.	[5]
7	15	1	AH0001	60.896	61.358	그러면	[]
7	15	2	AH0001	61.78	62.021	@이름302	[]
7	15	3	AH0001	62.081	62.322	@이름302	[]
7	15	4	AH0001	62.382	62.422	더	[]
7	15	5	AH0001	62.503	62.844	블로어스	[]
7	15	6	AH0001	62.924	63.185	도터	[]
7	15	7	AH0001	63.386	63.607	듣고	[]
7	15	8	AH0001	63.627	64.089	올게요.	[]
7	16	1	AH0001	64.089	64.129	네	[]
7	16	2	AH0001	64.269	64.59	@이름302	[]
7	16	3	AH0001	64.67	65.051	@이름302	[]
7	16	4	AH0001	65.151	65.311	더	[]
7	16	5	AH0001	65.411	65.772	블로어스	[]
7	16	6	AH0001	65.852	66.113	도러	[]
7	16	7	AH0001	66.233	66.553	듣고	[]
7	16	8	AH0001	66.774	67.515	왔습니다.	[]
7	17	1	AH0001	67.94	68.681	어	[]
7	17	2	AH0001	68.701	68.982	서울은	[]
7	17	3	AH0001	69.182	69.443	비가	[]
7	17	4	AH0001	69.563	69.683	좀	[]
7	17	5	AH0001	70.084	70.264	인제	[]
7	17	6	AH0001	70.364	70.985	그치긴	[]
7	17	7	AH0001	71.005	71.386	했지만	[]
7	17	8	AH0001	71.466	71.686	오늘	[6]
7	17	9	AH0001	71.707	71.727	또	[]
7	17	10	AH0001	71.787	72.147	전국적으로	[]
7	17	11	AH0001	72.227	72.408	비가	[]
7	17	12	AH0001	72.468	72.668	오는데	[]
7	17	13	AH0001	73.009	73.249	이렇게	[]
7	17	14	AH0001	73.91	73.93	비	[]
7	17	15	AH0001	74.031	74.191	오는	[]
7	17	16	AH0001	74.271	74.531	날도	[]
7	17	17	AH0001	74.531	75.112	쫌	[]
7	17	18	AH0001	75.112	75.553	조용하게	[]
7	17	19	AH0001	75.633	76.094	듣기에	[]
7	17	20	AH0001	76.114	76.134	이	[]
7	17	21	AH0001	76.214	76.455	시간에	[7]
7	18	1	AH0001	77.125	77.346	좋은	[]
7	18	2	AH0001	77.406	78.39	노래입니다.	[]
7	19	1	AH0001	78.609	78.729	이	[]
7	19	2	AH0001	78.79	78.93	노래	[]
7	19	3	AH0001	78.99	79.292	제목을	[]
7	19	4	AH0001	79.312	79.332	캔	[]
7	19	5	AH0001	80.115	80.336	테익	[]
7	19	6	AH0001	80.476	80.677	마이	[]
7	19	7	AH0001	80.838	81.159	아이스	[]
7	19	8	AH0001	81.179	81.36	오프	[]
7	19	9	AH0001	81.42	82.323	유라고	[8]
7	19	10	AH0001	82.604	82.845	알고	[]
7	19	11	AH0001	82.885	83.147	계시는	[]
7	19	12	AH0001	83.207	83.528	분들도	[]
7	19	13	AH0001	83.789	84.01	있을	[]
7	19	14	AH0001	84.09	84.311	거예요	[]
7	19	15	AH0001	84.351	84.492	아마.	[]
7	20	1	AH0001	84.688	85.05	이	[9]
7	20	2	AH0001	85.07	85.09	또	[]
7	20	3	AH0001	85.532	85.593	이	[]
7	20	4	AH0001	85.653	86.498	노래에서	[]
7	20	5	AH0001	86.518	86.538	그	[]
7	20	6	AH0001	86.739	86.98	가사가	[]
7	20	7	AH0001	87.061	87.262	주는	[]
7	20	8	AH0001	87.382	87.684	인상이	[]
7	20	9	AH0001	87.724	87.785	너무	[]
7	20	10	AH0001	87.885	88.247	강렬해	[]
7	20	11	AH0001	88.267	88.368	가지고	[]
8	21	1	AH0002	88.629	88.871	계속	[]
8	21	2	AH0002	88.931	89.032	이	[]
8	21	3	AH0002	89.052	89.354	가사가	[]
8	21	4	AH0002	89.535	89.837	굉장히	[]
8	21	5	AH0002	89.877	90.078	많이	[10]
8	21	6	AH0002	90.199	90.521	반복이	[]
8	21	7	AH0002	90.561	90.964	돼가지고	[]
9	22	1	AH0001	91.858	92.12	근데	[]
9	22	2	AH0001	92.322	92.402	이	[]
9	22	3	AH0001	92.463	92.826	제목에도	[]
9	22	4	AH0001	92.907	93.169	사연이	[]
9	22	5	AH0001	93.209	93.471	있다고	[]
9	22	6	AH0001	93.491	93.834	합니다	[]
9	22	7	AH0001	94.036	94.318	블로어스	[]
9	22	8	AH0001	94.379	94.419	도터	[]
10	23	1	AH0002	94.897	95.097	예	[]
10	23	2	AH0002	95.297	95.537	@이름302	[]
10	23	3	AH0002	95.577	96.018	@이름302가	[]
10	23	4	AH0002	96.118	96.218	이제	[]
10	23	5	AH0002	96.278	96.338	이	[]
10	23	6	AH0002	96.398	96.838	곡을	[]
10	23	7	AH0002	97.078	97.259	쓰게	[]
10	23	8	AH0002	97.319	97.439	된	[]
10	23	9	AH0002	97.579	98.079	배경이	[11]
10	23	10	AH0002	98.359	99.08	클라리넷을	[]
10	23	11	AH0002	99.18	99.34	배운	[]
10	23	12	AH0002	99.42	99.56	적이	[]
10	23	13	AH0002	99.58	100.0	있는데	[]
10	23	14	AH0002	100.18	100.381	그때	[]
10	23	15	AH0002	100.401	100.501	이제	[]
10	23	16	AH0002	100.581	100.941	클라리넷	[]
10	23	17	AH0002	100.981	101.381	선생님의	[]
10	23	18	AH0002	101.461	101.701	딸을	[]
10	23	19	AH0002	101.821	102.142	좋아하게	[]
10	23	20	AH0002	102.222	102.422	돼서	[]
10	24	1	AH0002	103.064	103.265	그래서	[]
10	24	2	AH0002	103.285	103.405	이제	[]
10	24	3	AH0002	103.466	103.727	만든	[]
10	24	4	AH0002	103.787	104.169	노래라고	[]
10	24	5	AH0002	104.269	104.571	직접	[]
10	24	6	AH0002	104.711	104.912	밝힌	[12]
10	24	7	AH0002	105.033	105.374	적이	[]
10	24	8	AH0002	105.836	106.519	있었는데요.	[]
10	25	1	AH0002	106.827	107.128	그래서	[]
10	25	2	AH0002	107.188	107.49	제목이	[]
10	25	3	AH0002	107.57	108.474	블로어스	[]
10	25	4	AH0002	108.494	109.257	도터라고	[13]
10	25	5	AH0002	109.357	109.719	지었던	[]
10	25	6	AH0002	109.779	109.86	것	[]
10	25	7	AH0002	109.88	110.462	같습니다.	[]
11	26	1	AH0001	111.025	111.731	야	[]
11	26	2	AH0001	111.912	112.073	이건	[]
11	26	3	AH0001	112.093	112.234	어떻게	[]
11	26	4	AH0001	112.295	112.678	알았어요	[]
11	26	5	AH0001	112.9	113.303	클라리넷.	[]
12	27	1	AH0002	114.327	114.627	이게	[]
12	27	2	AH0002	114.807	115.048	워낙	[]
12	27	3	AH0002	115.168	115.528	유명한	[]
12	27	4	AH0002	115.548	116.449	일화여가지구	[14]
12	27	5	AH0002	116.549	116.769	심지어	[]
12	27	6	AH0002	116.869	117.11	본인이	[]
12	27	7	AH0002	117.17	117.67	인터뷰로	[]
12	27	8	AH0002	117.73	118.05	직접	[]
12	27	9	AH0002	118.491	118.831	얘기를	[]
12	27	10	AH0002	118.911	118.991	한	[15]
12	27	11	AH0002	119.071	119.251	적이	[]
12	27	12	AH0002	119.271	119.872	있더라구요.	[]
13	28	1	AH0001	120.344	120.665	아니	[]
13	28	2	AH0001	120.685	120.826	근데	[]
13	28	3	AH0001	120.886	121.207	@이름195	[]
13	28	4	AH0001	121.267	121.528	씨는	[]
13	28	5	AH0001	122.07	122.391	보면	[]
13	28	6	AH0001	122.511	122.712	그런	[]
13	28	7	AH0001	122.792	123.895	뮤지션이나	[16]
13	28	8	AH0001	124.638	124.758	그	[]
13	28	9	AH0001	124.838	125.26	사람들의	[]
13	28	10	AH0001	125.34	125.681	인터뷰	[]
13	28	11	AH0001	125.721	125.942	같은	[]
13	28	12	AH0001	125.982	126.163	것도	[]
