uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	0.381	지난	[]
1	1	2	DG0001	0.501	0.681	해에	[]
1	1	3	DG0001	0.821	1.142	게임을	[]
1	1	4	DG0001	1.202	1.562	한다고	[]
1	1	5	DG0001	1.622	2.043	나무라는	[]
1	1	6	DG0001	2.183	2.644	어머니를	[]
1	1	7	DG0001	2.744	3.224	살해하고	[]
1	1	8	DG0001	3.885	4.045	자기	[]
1	1	9	DG0001	4.146	4.286	또한	[]
1	1	10	DG0001	4.386	4.746	자살한	[]
1	1	11	DG0001	4.846	5.007	어느	[]
1	1	12	DG0001	5.147	5.628	중학생의	[]
1	1	13	DG0001	5.688	6.128	이야기가	[]
1	1	14	DG0001	6.649	6.749	우리	[]
1	1	15	DG0001	6.849	7.029	사회에	[]
1	1	16	DG0001	7.17	7.29	큰	[]
1	1	17	DG0001	7.51	7.891	충격을	[]
1	1	18	DG0001	8.111	8.171	준	[]
1	1	19	DG0001	8.231	8.371	적이	[]
1	1	20	DG0001	8.391	9.693	있었습니다.	[]
1	2	1	DG0001	9.693	10.315	비단	[]
1	2	2	DG0001	10.595	11.197	패륜뿐만이	[]
1	2	3	DG0001	11.237	11.538	아니라	[]
1	2	4	DG0001	11.618	12.22	성범죄를	[]
1	2	5	DG0001	12.3	12.761	비롯해서	[]
1	2	6	DG0001	13.263	13.563	오늘날	[]
1	2	7	DG0001	13.664	14.205	청소년들의	[]
1	2	8	DG0001	14.265	14.927	문제가	[]
1	2	9	DG0001	15.308	15.468	날로	[]
1	2	10	DG0001	15.549	16.15	심각해지고	[]
1	2	11	DG0001	16.19	16.812	있죠?	[]
1	3	1	DG0001	16.812	17.494	예	[]
1	3	2	DG0001	17.674	18.155	먼저	[]
1	3	3	DG0001	18.356	18.777	본격적인	[]
1	3	4	DG0001	18.837	19.138	말씀을	[]
1	3	5	DG0001	19.198	19.579	여쭙기	[]
1	3	6	DG0001	19.659	19.94	전에	[]
1	3	7	DG0001	20.481	20.561	지금	[]
1	3	8	DG0001	20.621	20.982	몸담고	[]
1	3	9	DG0001	21.022	21.283	계신	[]
1	3	10	DG0001	21.403	22.987	한국청소년정책연구원이	[]
