uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	0.721	근데	[]
1	1	2	DG0001	0.841	1.022	저희	[]
1	1	3	DG0001	1.042	1.222	회사는	[]
1	1	4	DG0001	1.303	1.523	너무나	[]
1	1	5	DG0001	1.543	1.583	잘	[]
1	1	6	DG0001	1.744	1.844	돼	[]
1	1	7	DG0001	1.864	2.165	갖구	[]
1	1	8	DG0001	2.928	3.148	미국	[]
1	1	9	DG0001	3.429	3.489	어	[]
1	1	10	DG0001	3.57	4.232	쌘프란시스코에서	[]
1	1	11	DG0001	4.312	4.693	메이드	[]
1	1	12	DG0001	4.713	4.733	인	[]
1	1	13	DG0001	4.773	5.135	쌘프란시스코로	[]
1	1	14	DG0001	5.275	5.616	해서	[]
1	1	15	DG0001	6.258	6.439	그	[]
1	1	16	DG0001	6.68	7.121	유럽에	[]
1	1	17	DG0001	7.181	7.342	많이	[]
1	1	18	DG0001	7.402	7.823	수출을	[]
1	1	19	DG0001	7.923	8.064	하구	[]
2	2	1	DG0002	8.705	9.146	그래서	[]
2	2	2	DG0002	9.226	9.466	굉장히	[]
2	2	3	DG0002	9.546	9.907	성공한	[]
2	2	4	DG0002	9.927	10.087	회사가	[]
2	2	5	DG0002	10.247	10.448	되구	[]
2	2	6	DG0002	10.708	10.828	그런	[]
2	2	7	DG0002	10.928	11.048	거를	[]
2	2	8	DG0002	11.129	11.349	보고	[]
2	2	9	DG0002	11.509	11.629	야	[]
2	2	10	DG0002	12.07	12.631	이거구나	[]
2	2	11	DG0002	13.252	13.532	사람들이	[]
2	2	12	DG0002	13.572	14.193	칭찬하니까	[]
2	2	13	DG0002	14.213	14.313	거기	[]
2	2	14	DG0002	14.854	15.435	놀라운	[]
2	2	15	DG0002	15.575	15.996	결과가	[]
2	2	16	DG0002	16.136	16.957	나오드라구요.	[]
2	3	1	DG0002	16.957	17.458	그래서	[]
2	3	2	DG0002	17.599	17.699	그런	[]
2	3	3	DG0002	17.819	17.939	거를	[]
2	3	4	DG0002	18.02	18.1	하고	[]
2	3	5	DG0002	18.38	19.102	있는데	[]
2	3	6	DG0002	19.202	19.323	제가	[]
2	3	7	DG0002	19.403	19.724	@상호명9에	[]
2	3	8	DG0002	19.764	19.924	가게	[]
2	3	9	DG0002	19.964	20.365	됐습니다	[]
2	3	10	DG0002	20.485	20.666	@상호명9에	[]
2	3	11	DG0002	20.706	21.067	가서	[]
2	3	12	DG0002	21.287	22.47	인터뷰도	[]
2	3	13	DG0002	22.851	22.971	하고	[]
2	3	14	DG0002	22.992	23.573	@상호명9이나	[]
2	3	15	DG0002	23.653	24.615	@상호명10라든지	[]
2	3	16	DG0002	24.696	25.317	그	[]
2	3	17	DG0002	25.397	26.38	소개하기도	[]
2	3	18	DG0002	26.42	26.48	했는데	[]
2	4	1	DG0002	26.52	27.181	@상호명9에	[]
2	4	2	DG0002	27.201	27.662	가보니까	[]
2	4	3	DG0002	28.063	28.203	제가	[]
2	4	4	DG0002	28.283	28.363	그	[]
2	4	5	DG0002	28.423	28.604	얘기	[]
2	4	6	DG0002	28.624	28.764	했던	[]
2	4	7	DG0002	28.784	28.804	판	[]
2	4	8	DG0002	29.044	29.525	경영을	[]
2	4	9	DG0002	29.545	29.846	실제로	[]
2	4	10	DG0002	29.926	30.026	하고	[]
2	4	11	DG0002	30.086	30.527	있드라구요.	[2]
2	5	1	DG0002	31.802	32.202	그래서	[]
2	5	2	DG0002	32.262	32.343	깜짝	[]
2	5	3	DG0002	32.383	32.683	놀랬어요	[]
2	5	4	DG0002	32.743	32.963	그래서	[]
2	5	5	DG0002	33.043	33.243	@상호명9에	[]
2	5	6	DG0002	33.644	33.784	있는	[]
2	5	7	DG0002	33.964	34.525	분에게	[]
2	5	8	DG0002	34.945	35.446	판경영을	[]
2	5	9	DG0002	35.506	35.606	제가	[]
2	5	10	DG0002	35.666	35.826	만든	[]
2	5	11	DG0002	35.906	36.306	판경영을	[]
2	5	12	DG0002	36.386	37.107	소개해줬구	[]
2	5	13	DG0002	37.688	38.729	그분들하고	[]
2	5	14	DG0002	38.789	39.149	같이	[]
2	5	15	DG0002	39.269	39.47	얘기를	[]
2	5	16	DG0002	39.49	39.91	하면서	[]
2	5	17	DG0002	40.37	40.571	어떤	[]
2	5	18	DG0002	40.611	40.791	것을	[]
2	5	19	DG0002	40.851	41.111	잘하고	[]
2	5	20	DG0002	41.131	41.391	있는가	[]
2	5	21	DG0002	41.411	41.592	어떤	[]
2	5	22	DG0002	41.612	41.812	것을	[]
2	5	23	DG0002	41.852	42.192	못하고	[]
2	5	24	DG0002	42.232	42.853	있는가도	[]
2	5	25	DG0002	42.893	43.053	얘기를	[]
2	5	26	DG0002	43.093	43.253	하게	[]
2	5	27	DG0002	43.313	43.634	됐고	[]
2	6	1	DG0002	44.269	44.489	특히	[]
2	6	2	DG0002	44.569	45.63	@상호명10에	[]
2	6	3	DG0002	45.69	45.91	가서	[]
2	6	4	DG0002	45.971	46.251	얘기를	[]
2	6	5	DG0002	46.331	46.811	했더니	[]
2	6	6	DG0002	46.851	46.971	굉장히	[]
2	6	7	DG0002	47.031	47.432	판경영에	[]
2	6	8	DG0002	47.452	47.592	관심을	[]
2	6	9	DG0002	47.652	47.852	많이	[]
2	6	10	DG0002	47.892	48.112	보이고	[]
2	6	11	DG0002	48.132	48.793	있었고	[]
2	6	12	DG0002	49.434	49.654	그래서	[]
2	6	13	DG0002	49.754	50.074	그다음부터는	[]
2	6	14	DG0002	50.314	50.595	미국인에	[]
2	6	15	DG0002	50.635	50.835	있는	[]
2	6	16	DG0002	50.935	51.435	기업인들에게	[]
2	6	17	DG0002	51.515	51.616	이	[]
2	6	18	DG0002	51.696	51.916	판경영을	[]
2	6	19	DG0002	51.976	52.156	많이	[]
2	6	20	DG0002	53.017	53.197	얘기를	[]
2	6	21	DG0002	53.337	53.557	하게	[]
2	6	22	DG0002	53.577	53.878	되었고	[]
2	6	23	DG0002	53.978	54.158	지금은	[]
2	6	24	DG0002	54.218	54.518	세계적으로	[]
2	6	25	DG0002	54.598	54.918	얘기하게	[]
2	6	26	DG0002	55.039	55.559	되었습니다.	[3]
3	7	1	DG0001	55.821	56.661	근데	[]
3	7	2	DG0001	56.741	56.901	지금	[]
3	7	3	DG0001	56.962	57.682	말씀하신	[]
3	7	4	DG0001	57.822	58.022	내용을	[]
3	7	5	DG0001	58.142	58.442	보면	[]
3	7	6	DG0001	58.722	58.762	뭐	[]
3	7	7	DG0001	58.862	59.102	비단	[]
3	7	8	DG0001	59.203	59.243	그	[]
3	7	9	DG0001	59.363	59.703	기업에	[]
3	7	10	DG0001	59.823	60.143	관한	[]
3	7	11	DG0001	60.423	60.703	내용만	[]
3	7	12	DG0001	60.763	61.524	말씀하셨는데	[]
3	7	13	DG0001	62.184	62.444	하지만	[]
3	7	14	DG0001	62.504	62.984	그것이	[]
3	7	15	DG0001	63.084	63.344	기업을	[]
3	7	16	DG0001	63.384	63.845	넘어서	[]
3	7	17	DG0001	63.985	64.125	어떻게	[]
3	7	18	DG0001	64.185	64.265	보면	[]
3	7	19	DG0001	64.345	64.505	미국	[]
3	7	20	DG0001	64.605	64.685	사회	[]
3	7	21	DG0001	64.765	65.385	전반으로	[]
3	7	22	DG0001	65.625	65.725	커지고	[]
3	7	23	DG0001	65.765	65.966	있는	[]
3	7	24	DG0001	65.986	66.006	뭐	[]
3	7	25	DG0001	66.166	66.666	교감운동	[]
3	8	1	DG0001	66.956	67.438	또는	[4]
3	8	2	DG0001	67.558	67.679	그	[]
3	8	3	DG0001	67.819	68.321	사회운동	[]
3	8	4	DG0001	68.341	68.863	우려까지	[]
3	8	5	DG0001	68.983	69.244	커지고	[]
3	8	6	DG0001	69.265	69.666	있다라는	[]
3	8	7	DG0001	69.746	70.79	생각을	[]
3	8	8	DG0001	70.83	71.131	지울	[]
3	8	9	DG0001	71.232	71.312	수가	[]
3	8	10	DG0001	71.332	71.794	없거든요.	[]
3	8	11	DG0001	71.814	72.376	어떻습니까?	[5]
4	9	1	DG0002	72.749	73.53	아니	[]
4	9	2	DG0002	73.61	74.111	그렇습니다	[]
4	9	3	DG0002	74.131	74.491	왜냐면은	[]
4	9	4	DG0002	75.212	76.093	미국에	[]
4	9	5	DG0002	76.133	76.354	있는	[]
4	9	6	DG0002	76.594	76.674	분들은	[]
4	9	7	DG0002	76.694	77.075	지금	[]
4	9	8	DG0002	77.215	77.555	다문화가	[]
4	9	9	DG0002	77.575	78.156	들어와서	[]
4	9	10	DG0002	78.176	78.196	그	[]
