bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	1.83	2.195	CONTINUER	으흠.	[1]	[1]	[3]
2	DG0001	19.684	19.944	CONTINUER	예.	[3]	[3]	[2]
3	DG0001	30.292	31.027	UNDERSTANDING	아.	[3]	[4]	[6]
4	DG0001	31.068	31.937	AFFIRMATIVE	그렇군요.	[3]	[4]	[8]
5	DG0001	43.216	43.511	CONTINUER	응.	[5]	[6]	[5]
6	DG0001	57.697	60.212	ASSESSMENT	허! 아. 어.	[7]	[10]	[1]
7	DG0001	65.287	66.682	UNDERSTANDING	아.	[7]	[10]	[12]
8	DG0001	74.716	75.661	ASSESSMENT	아.	[7]	[11]	[15]
9	DG0001	77.964	78.424	CONTINUER	음.	[7]	[11]	[24]
10	DG0001	86.014	86.729	UNDERSTANDING	음.	[7]	[12]	[19]
11	DG0001	90.471	91.201	UNDERSTANDING	음.	[7]	[12]	[28]
12	DG0001	98.097	98.557	CONTINUER	어.	[9]	[15]	[4]
13	DG0001	98.592	99.339	AFFIRMATIVE	그렇구나.	[9]	[15]	[4]
14	DG0001	108.476	108.751	CONTINUER	어.	[11]	[17]	[5]
15	DG0001	112.632	113.187	UNDERSTANDING	아.	[11]	[18]	[3]
16	DG0001	114.427	115.172	UNDERSTANDING	아.	[11]	[18]	[7]
17	DG0002	117.663	117.818	CONTINUER	예.	[]	[]	[]
18	DG0001	132.229	133.149	UNDERSTANDING	아.	[17]	[26]	[8]
19	DG0002	134.448	134.843	CONTINUER	네.	[18]	[27]	[5]
20	DG0001	153.617	154.282	UNDERSTANDING	아.	[21]	[33]	[1]
21	DG0001	155.137	155.512	CONTINUER	어.	[21]	[33]	[1]
22	DG0001	159.527	159.737	CONTINUER	음.	[23]	[37]	[1]
23	DG0002	166.596	166.946	AFFIRMATIVE	그렇습니다.	[24]	[39]	[8]
24	DG0001	174.653	175.023	CONTINUER	음.	[25]	[40]	[14]
25	DG0001	180.799	181.254	CONTINUER	어.	[25]	[42]	[4]
26	DG0001	183.614	184.359	UNDERSTANDING	음.	[25]	[43]	[6]
27	DG0001	190.249	191.439	UNDERSTANDING	음. 으으음.	[25]	[44]	[20]
28	DG0001	194.25	194.97	UNDERSTANDING	아.	[27]	[47]	[5]
29	DG0002	195.568	195.788	CONTINUER	네.	[28]	[48]	[2]
30	DG0001	203.502	203.942	ASSESSMENT	어.	[29]	[50]	[1]
31	DG0001	206.911	207.076	CONTINUER	아.	[29]	[50]	[12]
32	DG0001	227.031	227.171	CONTINUER	네.	[35]	[57]	[1]
33	DG0001	238.05	240.68	UNDERSTANDING	아. 아아.	[35]	[58]	[6]
34	DG0001	246.298	247.065	CONTINUER	네.	[35]	[58]	[19]
35	DG0001	252.965	254.37	UNDERSTANDING	아. 어.	[35]	[59]	[7]
36	DG0001	256.899	257.704	CONTINUER	네.	[35]	[59]	[14]
37	DG0001	262.8	263.635	AFFIRMATIVE	그렇겠네요.	[35]	[61]	[3]
38	DG0001	275.868	276.168	CONTINUER	예.	[39]	[65]	[1]
39	DG0001	277.88	278.205	CONTINUER	어. 네.	[41]	[67]	[2]
40	DG0001	285.168	285.683	UNDERSTANDING	아.	[43]	[71]	[1]
41	DG0001	287.803	288.049	CONTINUER	네.	[43]	[71]	[7]
42	DG0001	289.239	289.589	CONTINUER	음.	[43]	[72]	[4]
43	DG0001	298.126	298.901	UNDERSTANDING	아.	[43]	[72]	[21]
44	DG0001	308.017	308.217	CONTINUER	음.	[45]	[75]	[1]
45	DG0001	312.147	313.002	UNDERSTANDING	아.	[45]	[75]	[12]
46	DG0001	314.548	315.388	CONTINUER	예.	[45]	[76]	[2]
47	DG0001	316.293	316.808	CONTINUER	어.	[45]	[76]	[5]
48	DG0001	320.078	320.713	CONTINUER	예.	[45]	[76]	[10]
49	DG0002	325.539	325.689	CONTINUER	네.	[48]	[79]	[1]
50	DG0002	342.093	342.258	CONTINUER	네.	[48]	[80]	[10]
51	DG0001	346.608	347.128	CONTINUER	네.	[49]	[83]	[6]
52	DG0001	382.564	384.504	UNDERSTANDING	음. 아.	[51]	[90]	[11]
53	DG0001	403.551	404.156	CONTINUER	어.	[51]	[93]	[5]
54	DG0001	407.436	408.111	CONTINUER	아. 네.	[51]	[93]	[13]
55	DG0001	412.588	413.058	UNDERSTANDING	아.	[51]	[94]	[4]
56	DG0001	426.159	426.864	UNDERSTANDING	아.	[51]	[95]	[16]
57	DG0001	432.17	433.312	AFFIRMATIVE	그렇습니다.	[51]	[96]	[13]
58	DG0001	444.441	444.716	CONTINUER	예.	[53]	[98]	[4]
59	DG0001	456.537	457.297	UNDERSTANDING	어.	[53]	[99]	[14]
60	DG0001	475.418	475.736	UNDERSTANDING	아.	[57]	[105]	[11]
61	DG0002	477.52	477.64	CONTINUER	네.	[58]	[106]	[4]
62	DG0001	477.646	478.331	AFFIRMATIVE	그렇습니다.	[59]	[107]	[1]
63	DG0001	496.672	498.222	AFFIRMATIVE	아. 그렇죠. 예.	[61]	[109]	[10]
64	DG0001	509.991	510.641	UNDERSTANDING	어.	[61]	[111]	[4]
65	DG0001	518.456	519.416	UNDERSTANDING	아.	[61]	[111]	[20]
66	DG0001	520.82	520.925	CONTINUER	어.	[61]	[112]	[3]
67	DG0002	533.994	534.224	CONTINUER	네.	[62]	[113]	[28]
68	DG0002	538.947	539.237	CONTINUER	아. 네.	[62]	[115]	[9]
69	DG0002	539.927	540.082	CONTINUER	응.	[62]	[115]	[10]
70	DG0002	542.612	543.047	CONTINUER	음.	[62]	[115]	[14]
71	DG0002	544.816	545.516	UNDERSTANDING	아.	[62]	[115]	[18]
72	DG0001	548.5	548.8	CONTINUER	어.	[63]	[117]	[1]
73	DG0001	549.895	551.01	UNDERSTANDING	아. 허.	[63]	[117]	[4]
74	DG0001	552.325	552.989	UNDERSTANDING	아	[63]	[117]	[8]
75	DG0001	558.789	559.609	CONTINUER	예.	[63]	[118]	[8]
76	DG0001	560.252	561.522	UNDERSTANDING	아.	[63]	[118]	[11]
77	DG0001	562.587	563.457	CONTINUER	네에.	[63]	[119]	[6]
78	DG0001	572.459	572.729	CONTINUER	네.	[63]	[120]	[15]
79	DG0001	587.812	588.312	CONTINUER	네. 응.	[65]	[123]	[11]
80	DG0001	596.0	596.325	CONTINUER	예.	[65]	[124]	[11]
81	DG0001	598.92	599.56	UNDERSTANDING	음.	[65]	[124]	[17]
82	DG0001	617.042	617.857	UNDERSTANDING	아.	[65]	[127]	[1]
83	DG0001	620.242	621.057	UNDERSTANDING	아.	[65]	[127]	[9]
84	DG0001	625.334	625.624	CONTINUER	어.	[65]	[128]	[3]
85	DG0001	639.631	641.016	UNDERSTANDING	아.	[65]	[130]	[11]
86	DG0002	649.047	649.277	AFFIRMATIVE	그쵸.	[66]	[132]	[4]
87	DG0001	650.218	651.378	CONTINUER	예. 예.	[67]	[133]	[1]
88	DG0001	656.375	656.595	CONTINUER	응.	[67]	[134]	[3]
89	DG0002	661.713	662.173	CONTINUER	네. 그.	[68]	[137]	[1]
90	DG0002	662.906	663.413	CONTINUER	네.	[68]	[137]	[4]
