bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	11.213	12.653	UNDERSTANDING	네. 네.	[3]	[4]	[9]
2	AH0002	22.461	22.771	CONTINUER	네.	[5]	[7]	[6]
3	AH0002	27.421	27.896	UNDERSTANDING	네.	[5]	[7]	[18]
4	AH0001	34.767	35.037	CONTINUER	으흠.	[6]	[8]	[8]
5	AH0001	44.088	45.323	UNDERSTANDING	음. 네.	[8]	[10]	[7]
6	AH0001	47.041	48.016	AFFIRMATIVE	맞아요.	[8]	[10]	[17]
7	AH0001	49.066	49.396	CONTINUER	음.	[8]	[11]	[2]
8	AH0002	55.89	56.43	UNDERSTANDING	아.	[9]	[13]	[4]
9	AH0002	62.409	62.844	AFFIRMATIVE	그쵸.	[11]	[15]	[3]
10	AH0002	70.638	71.648	UNDERSTANDING	네. 음.	[13]	[18]	[2]
11	AH0002	74.114	74.534	CONTINUER	네.	[13]	[19]	[7]
12	AH0002	80.624	82.152	AFFIRMATIVE	아. 네네. 맞아요.	[13]	[19]	[17]
13	AH0001	85.997	86.382	CONTINUER	음.	[14]	[21]	[4]
14	AH0001	89.057	89.385	CONTINUER	네.	[14]	[21]	[13]
15	AH0001	91.785	92.165	CONTINUER	네.	[14]	[22]	[7]
16	AH0002	111.642	112.531	AFFIRMATIVE	아. 그렇죠.	[15]	[23]	[22]
17	AH0001	119.544	119.779	CONTINUER	음.	[16]	[25]	[9]
18	AH0001	121.544	122.485	AFFIRMATIVE	아. 맞습니다.	[16]	[25]	[15]
19	AH0001	123.566	123.931	CONTINUER	네.	[16]	[26]	[4]
20	AH0001	126.194	126.793	UNDERSTANDING	예.	[16]	[26]	[10]
21	AH0001	130.13	130.858	AFFIRMATIVE	맞습니다.	[16]	[27]	[7]
22	AH0001	134.318	134.693	CONTINUER	네.	[16]	[28]	[7]
23	AH0002	158.794	159.287	CONTINUER	네네.	[21]	[35]	[17]
24	AH0002	167.498	167.927	UNDERSTANDING	네.	[21]	[36]	[16]
