bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	9.27	9.965	AFFIRMATIVE	네. 그쵸.	[1]	[2]	[9]
2	AH0002	11.32	11.965	AFFIRMATIVE	그럼요. 네.	[1]	[2]	[14]
3	AH0001	13.833	14.163	CONTINUER	네.	[2]	[3]	[3]
4	AH0001	21.689	22.129	CONTINUER	음.	[2]	[4]	[8]
5	AH0001	26.584	27.339	UNDERSTANDING	아.	[2]	[4]	[15]
6	AH0001	30.349	31.029	CONTINUER	네.	[2]	[4]	[22]
7	AH0001	34.74	34.915	CONTINUER	네.	[2]	[5]	[10]
8	AH0001	41.81	42.175	CONTINUER	네.	[2]	[5]	[23]
9	AH0001	44.713	45.108	CONTINUER	어.	[2]	[6]	[6]
10	AH0001	54.61	54.96	CONTINUER	음.	[2]	[7]	[12]
11	AH0001	57.085	57.27	CONTINUER	네.	[2]	[7]	[18]
12	AH0001	62.479	62.719	CONTINUER	음.	[2]	[8]	[11]
13	AH0001	65.629	65.884	CONTINUER	네.	[2]	[8]	[19]
14	AH0001	76.877	77.372	CONTINUER	네.	[4]	[10]	[1]
15	AH0001	80.999	81.479	CONTINUER	네.	[4]	[10]	[11]
16	AH0001	83.34	83.77	AFFIRMATIVE	그쵸.	[4]	[11]	[6]
17	AH0001	91.635	92.0	CONTINUER	음.	[4]	[11]	[22]
18	AH0001	97.019	97.629	CONTINUER	네.	[4]	[12]	[6]
19	AH0002	100.51	100.89	CONTINUER	네.	[5]	[13]	[5]
20	AH0002	105.971	106.506	CONTINUER	네.	[5]	[13]	[19]
21	AH0001	113.309	113.629	CONTINUER	네.	[6]	[15]	[2]
22	AH0001	115.074	115.434	CONTINUER	음.	[6]	[15]	[6]
23	AH0001	120.094	120.429	CONTINUER	네.	[6]	[15]	[14]
24	AH0001	124.259	124.604	CONTINUER	네.	[6]	[15]	[20]
25	AH0001	128.258	128.508	CONTINUER	네.	[6]	[16]	[5]
26	AH0001	134.455	134.83	ASSESSMENT	와.	[8]	[18]	[1]
27	AH0001	140.415	140.785	CONTINUER	음.	[8]	[18]	[11]
28	AH0001	142.125	142.33	CONTINUER	네.	[8]	[18]	[15]
29	AH0001	143.124	144.014	AFFIRMATIVE	아. 그쵸.	[8]	[19]	[1]
30	AH0001	145.589	146.345	CONTINUER	아. 네.	[8]	[19]	[5]
31	AH0001	155.187	155.657	CONTINUER	네.	[8]	[20]	[4]
32	AH0001	157.092	157.702	ASSESSMENT	크.	[8]	[20]	[9]
33	AH0002	161.807	162.462	CONTINUER	네.	[9]	[21]	[9]
34	AH0001	165.461	165.871	CONTINUER	네.	[10]	[22]	[5]
35	AH0001	170.466	171.731	UNDERSTANDING	아우.	[10]	[22]	[18]
36	AH0002	183.625	184.065	UNDERSTANDING	아.	[11]	[24]	[16]
37	AH0001	187.744	188.424	ASSESSMENT	아. 그래요?	[14]	[28]	[5]
38	AH0001	192.026	192.501	CONTINUER	네.	[16]	[31]	[1]
39	AH0001	196.356	196.801	CONTINUER	네.	[16]	[31]	[11]
40	AH0001	198.331	198.936	ASSESSMENT	아우.	[16]	[31]	[14]
41	AH0002	209.845	211.315	UNDERSTANDING	네네. 네	[19]	[35]	[6]
42	AH0001	224.081	224.361	CONTINUER	네.	[20]	[37]	[2]
43	AH0002	241.885	242.205	CONTINUER	네.	[23]	[42]	[1]
44	AH0002	245.57	246.03	CONTINUER	네.	[23]	[42]	[10]
45	AH0001	250.689	250.899	CONTINUER	네.	[24]	[43]	[4]
46	AH0001	254.591	256.371	ASSESSMENT	어. 어.	[24]	[44]	[1]
47	AH0001	257.811	259.656	AFFIRMATIVE	어. 맞아요.	[24]	[44]	[10]
48	AH0001	266.447	266.607	CONTINUER	네.	[26]	[46]	[5]
49	AH0001	274.453	274.948	ASSESSMENT	아.	[26]	[47]	[7]
50	AH0002	278.981	279.556	CONTINUER	네.	[29]	[50]	[4]
51	AH0001	302.677	302.867	CONTINUER	네.	[30]	[56]	[2]
52	AH0001	308.365	308.75	ASSESSMENT	크.	[32]	[58]	[4]
53	AH0001	370.758	371.118	CONTINUER	네.	[40]	[76]	[1]
54	AH0001	374.338	375.028	ASSESSMENT	크.	[40]	[76]	[7]
55	AH0001	376.063	376.653	CONTINUER	네.	[40]	[76]	[10]
56	AH0001	381.38	381.675	ASSESSMENT	아.	[40]	[77]	[11]
57	AH0001	381.679	382.069	CONTINUER	네.	[40]	[78]	[1]
58	AH0001	386.303	386.668	CONTINUER	네.	[40]	[78]	[12]
59	AH0001	397.018	397.448	CONTINUER	음.	[42]	[81]	[8]
60	AH0001	399.753	400.048	CONTINUER	네.	[42]	[81]	[13]
61	AH0001	415.355	415.66	CONTINUER	네.	[44]	[84]	[7]
62	AH0001	419.679	420.419	CONTINUER	음.	[44]	[85]	[5]
63	AH0001	421.124	421.389	CONTINUER	네.	[44]	[85]	[8]
64	AH0001	425.264	425.944	CONTINUER	네.	[44]	[85]	[18]
65	AH0001	430.155	430.95	AFFIRMATIVE	그렇죠. 네.	[44]	[86]	[10]
66	AH0001	434.344	434.774	UNDERSTANDING	음.	[44]	[87]	[3]
67	AH0001	441.412	441.637	CONTINUER	네.	[44]	[88]	[14]
68	AH0001	445.552	446.73	AFFIRMATIVE	음. 네.	[44]	[88]	[23]
69	AH0001	451.886	452.386	CONTINUER	네.	[44]	[89]	[10]
70	AH0001	455.541	456.316	ASSESSMENT	음.	[44]	[89]	[20]
71	AH0001	458.348	458.693	CONTINUER	네.	[44]	[89]	[25]
72	AH0002	465.802	466.117	CONTINUER	네.	[45]	[91]	[3]
73	AH0002	468.492	468.972	CONTINUER	네.	[45]	[91]	[7]
74	AH0002	470.597	471.472	AFFIRMATIVE	맞습니다.	[45]	[91]	[12]
75	AH0001	478.184	478.854	CONTINUER	네.	[46]	[93]	[8]
76	AH0001	480.947	481.493	REQUEST_CONFIRMATION	어. 정말요?	[46]	[94]	[6]
77	AH0001	493.966	494.411	CONTINUER	네.	[48]	[97]	[3]
78	AH0001	499.899	500.694	CONTINUER	네.	[50]	[99]	[2]
79	AH0001	508.689	509.124	CONTINUER	네.	[50]	[99]	[15]
80	AH0002	513.688	514.213	CONTINUER	네.	[51]	[100]	[4]
81	AH0001	517.323	517.693	UNDERSTANDING	어.	[52]	[101]	[5]
82	AH0001	520.453	520.738	CONTINUER	음.	[52]	[101]	[12]
83	AH0001	524.29	524.82	CONTINUER	네.	[52]	[102]	[1]
84	AH0001	529.764	530.134	ASSESSMENT	크.	[52]	[102]	[9]
85	AH0001	530.91	531.645	CONTINUER	네.	[52]	[102]	[11]
86	AH0001	533.811	534.286	CONTINUER	음.	[52]	[103]	[7]
87	AH0001	544.335	544.684	CONTINUER	네.	[56]	[107]	[2]
88	AH0001	546.57	546.91	CONTINUER	음.	[56]	[107]	[5]
89	AH0001	550.745	551.525	ASSESSMENT	아.	[56]	[107]	[12]
90	AH0001	552.37	553.04	CONTINUER	네.	[56]	[107]	[15]
91	AH0001	557.244	557.594	ASSESSMENT	크.	[56]	[108]	[8]
92	AH0001	561.593	561.878	CONTINUER	네.	[56]	[109]	[5]
93	AH0001	568.285	568.86	CONTINUER	네.	[58]	[111]	[10]
94	AH0001	573.063	573.483	ASSESSMENT	아.	[58]	[112]	[4]
95	AH0001	576.088	576.813	CONTINUER	음. 네.	[58]	[112]	[6]
96	AH0002	598.781	599.241	CONTINUER	네네.	[63]	[117]	[8]
97	AH0002	600.691	601.191	UNDERSTANDING	아.	[63]	[117]	[15]
98	AH0001	604.655	605.175	CONTINUER	네.	[64]	[118]	[6]
99	AH0001	608.53	609.195	ASSESSMENT	아 커피.	[64]	[118]	[18]
100	AH0001	614.487	614.717	CONTINUER	네.	[66]	[121]	[5]
101	AH0002	650.04	650.405	CONTINUER	음.	[73]	[131]	[5]
102	AH0002	664.489	664.794	CONTINUER	네.	[75]	[133]	[11]
103	AH0002	667.384	668.624	CONTINUER	어.	[75]	[133]	[20]
104	AH0002	671.325	671.905	CONTINUER	네.	[75]	[134]	[11]
105	AH0001	677.196	677.386	CONTINUER	네.	[76]	[135]	[3]
106	AH0001	678.541	678.796	CONTINUER	네.	[76]	[135]	[4]
107	AH0001	689.875	690.31	CONTINUER	네.	[80]	[139]	[6]
108	AH0002	700.053	700.738	CONTINUER	네.	[83]	[142]	[13]
109	AH0001	713.615	713.985	CONTINUER	네.	[84]	[144]	[4]
110	AH0002	717.573	718.033	CONTINUER	네.	[85]	[145]	[4]
111	AH0001	723.227	723.532	CONTINUER	네.	[86]	[146]	[6]
112	AH0001	727.161	727.466	CONTINUER	음.	[86]	[146]	[16]
113	AH0001	733.301	733.686	CONTINUER	음.	[86]	[147]	[9]
114	AH0001	735.716	735.991	CONTINUER	네.	[86]	[147]	[14]
