bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0002	16.291	16.951	CONTINUER	네.	[3]	[4]	[1]
2	SL0002	18.962	19.952	AFFIRMATIVE	맞아요.	[3]	[5]	[7]
3	SL0002	21.402	22.342	UNDERSTANDING	네.	[3]	[5]	[12]
4	SL0002	31.093	31.783	CONTINUER	네.	[5]	[7]	[3]
5	SL0002	39.952	40.247	CONTINUER	네.	[7]	[9]	[3]
6	SL0002	42.527	43.103	CONTINUER	네.	[7]	[9]	[8]
7	SL0002	46.823	47.213	CONTINUER	음.	[7]	[10]	[11]
8	SL0001	49.647	49.767	CONTINUER	음.	[8]	[11]	[3]
9	SL0001	52.452	52.737	CONTINUER	음.	[8]	[11]	[9]
10	SL0002	55.553	55.978	AFFIRMATIVE	그쵸.	[9]	[12]	[2]
11	SL0001	59.487	59.992	UNDERSTANDING	음.	[10]	[14]	[6]
12	SL0001	62.727	63.212	CONTINUER	네.	[10]	[14]	[12]
13	SL0001	70.973	71.383	CONTINUER	음.	[12]	[16]	[6]
14	SL0001	91.257	93.132	UNDERSTANDING	음. 음.	[16]	[21]	[4]
15	SL0001	97.942	98.327	CONTINUER	음.	[16]	[21]	[14]
16	SL0001	109.913	110.508	CONTINUER	음.	[20]	[25]	[2]
17	SL0001	111.943	112.138	CONTINUER	네.	[20]	[25]	[6]
18	SL0001	118.589	119.279	CONTINUER	음.	[20]	[26]	[2]
19	SL0001	121.179	121.603	CONTINUER	네.	[20]	[26]	[8]
20	SL0001	124.133	125.073	UNDERSTANDING	아.	[20]	[27]	[7]
21	SL0001	137.198	137.538	ASSESSMENT	으음?	[22]	[30]	[1]
22	SL0001	140.168	141.288	UNDERSTANDING	음.	[22]	[30]	[7]
23	SL0001	144.958	145.713	UNDERSTANDING	아.	[22]	[30]	[14]
24	SL0001	152.278	152.558	CONTINUER	음.	[24]	[32]	[1]
25	SL0001	153.983	154.423	CONTINUER	네.	[24]	[32]	[3]
26	SL0001	160.673	161.623	CONTINUER	음.	[24]	[32]	[13]
27	SL0001	183.634	184.514	CONTINUER	네. 네.	[26]	[35]	[15]
28	SL0001	188.429	188.979	CONTINUER	음.	[26]	[35]	[23]
29	SL0001	194.069	195.734	CONTINUER	어 네. 네.	[26]	[36]	[10]
30	SL0001	199.945	200.49	CONTINUER	음.	[26]	[37]	[2]
31	SL0002	202.036	204.951	AFFIRMATIVE	음. 맞아요. 네.	[27]	[38]	[1]
32	SL0002	206.14	206.72	CONTINUER	음.	[27]	[38]	[8]
33	SL0002	208.015	208.205	CONTINUER	네.	[27]	[38]	[12]
34	SL0002	215.151	215.481	CONTINUER	네.	[29]	[40]	[4]
35	SL0002	232.48	232.615	CONTINUER	네.	[31]	[44]	[4]
36	SL0001	234.339	234.744	CONTINUER	음.	[32]	[45]	[1]
37	SL0001	235.934	236.239	CONTINUER	음.	[32]	[46]	[5]
38	SL0001	238.484	238.944	ASSESSMENT	음.	[32]	[46]	[11]
39	SL0001	244.164	244.434	CONTINUER	음.	[32]	[47]	[1]
40	SL0001	251.089	251.384	CONTINUER	네.	[32]	[47]	[16]
41	SL0001	255.227	255.682	CONTINUER	음. 네.	[32]	[48]	[5]
42	SL0001	266.318	266.883	CONTINUER	음.	[32]	[49]	[8]
43	SL0001	273.735	275.205	CONTINUER	네. 네.	[32]	[50]	[9]
44	SL0002	285.255	285.51	CONTINUER	네.	[33]	[52]	[1]
45	SL0002	289.63	289.815	CONTINUER	네.	[33]	[52]	[7]
46	SL0002	291.35	292.335	UNDERSTANDING	아.	[33]	[52]	[10]
47	SL0002	293.378	293.723	CONTINUER	네.	[33]	[52]	[14]
48	SL0001	301.389	301.909	CONTINUER	음.	[34]	[54]	[11]
49	SL0001	316.136	316.446	CONTINUER	음.	[36]	[57]	[3]
50	SL0001	318.166	318.786	CONTINUER	으 네.	[36]	[57]	[8]
51	SL0001	322.596	322.916	CONTINUER	네.	[36]	[57]	[16]
52	SL0002	328.949	330.164	AFFIRMATIVE	맞아요. 맞아요.	[37]	[59]	[3]
53	SL0001	335.541	335.696	CONTINUER	음.	[38]	[60]	[6]
54	SL0001	338.196	338.551	ASSESSMENT	어.	[38]	[60]	[12]
55	SL0001	339.541	339.931	CONTINUER	음.	[38]	[61]	[1]
56	SL0001	353.846	354.066	CONTINUER	음.	[38]	[62]	[8]
57	SL0002	362.252	362.457	CONTINUER	네.	[39]	[63]	[1]
58	SL0002	367.614	368.371	CONTINUER	네.	[39]	[64]	[5]
59	SL0002	372.796	372.941	CONTINUER	네.	[41]	[67]	[1]
60	SL0002	373.751	374.311	ASSESSMENT	어. 아.	[41]	[67]	[3]
61	SL0001	375.692	376.527	ASSESSMENT	음.	[42]	[68]	[1]
62	SL0001	386.346	386.741	ASSESSMENT	아유.	[44]	[70]	[11]
63	SL0002	393.52	394.655	AFFIRMATIVE	맞습니다.	[45]	[71]	[10]
64	SL0001	404.43	405.765	UNDERSTANDING	음.	[46]	[72]	[13]
65	SL0001	410.093	410.833	CONTINUER	음.	[46]	[73]	[10]
66	SL0001	412.578	413.013	CONTINUER	네.	[46]	[73]	[15]
67	SL0002	431.602	432.377	UNDERSTANDING	아. 아.	[49]	[78]	[3]
68	SL0001	436.086	436.606	CONTINUER	네.	[50]	[79]	[9]
69	SL0001	450.717	451.592	AFFIRMATIVE	맞아요.	[50]	[80]	[18]
70	SL0002	460.586	461.486	UNDERSTANDING	음.	[53]	[84]	[7]
71	SL0002	463.466	464.121	CONTINUER	네.	[53]	[84]	[12]
72	SL0001	465.587	466.117	UNDERSTANDING	음.	[54]	[85]	[1]
73	SL0001	478.751	479.451	AFFIRMATIVE	그렇죠.	[54]	[86]	[8]
74	SL0002	489.162	489.602	CONTINUER	네.	[55]	[87]	[5]
75	SL0002	509.932	510.617	UNDERSTANDING	음.	[59]	[91]	[4]
76	SL0002	515.982	516.362	UNDERSTANDING	음.	[61]	[93]	[6]
77	SL0002	517.656	518.031	CONTINUER	네.	[61]	[93]	[9]
78	SL0001	525.022	525.462	CONTINUER	음.	[62]	[95]	[15]
79	SL0001	531.182	531.757	CONTINUER	음.	[62]	[96]	[6]
80	SL0001	538.777	539.417	CONTINUER	음.	[62]	[97]	[3]
81	SL0001	558.227	558.712	CONTINUER	음.	[66]	[101]	[9]
82	SL0001	569.253	569.853	CONTINUER	네.	[66]	[102]	[15]
83	SL0002	578.003	578.493	CONTINUER	네.	[67]	[104]	[6]
84	SL0002	581.658	582.213	CONTINUER	네.	[67]	[104]	[15]
85	SL0001	603.127	603.382	CONTINUER	네.	[70]	[108]	[6]
86	SL0001	607.822	608.582	UNDERSTANDING	아.	[70]	[108]	[18]
87	SL0001	614.86	616.005	CONTINUER	으흠.	[70]	[109]	[4]
88	SL0001	617.46	617.945	CONTINUER	네.	[70]	[109]	[10]
89	SL0002	623.284	623.674	CONTINUER	네.	[71]	[110]	[2]
90	SL0002	625.731	626.021	CONTINUER	네.	[71]	[110]	[7]
91	SL0002	628.833	629.078	AFFIRMATIVE	맞아요.	[71]	[111]	[5]
92	SL0002	631.008	631.533	CONTINUER	음.	[71]	[112]	[5]
93	SL0002	633.089	633.279	CONTINUER	네.	[71]	[113]	[5]
94	SL0002	635.094	636.149	UNDERSTANDING	아.	[71]	[113]	[11]
95	SL0002	637.564	638.144	CONTINUER	네.	[71]	[113]	[19]
96	SL0001	645.663	646.458	UNDERSTANDING	음.	[72]	[115]	[8]
97	SL0001	654.458	655.368	UNDERSTANDING	음.	[72]	[116]	[5]
98	SL0002	673.328	673.932	CONTINUER	네.	[77]	[121]	[11]
99	SL0002	679.168	680.453	UNDERSTANDING	음. 네.	[79]	[124]	[2]
100	SL0002	682.143	682.283	CONTINUER	어.	[79]	[124]	[11]
101	SL0001	684.013	684.433	CONTINUER	음.	[80]	[125]	[2]
102	SL0001	688.638	689.158	CONTINUER	네.	[80]	[125]	[13]
103	SL0001	701.648	702.148	ASSESSMENT	오.	[86]	[131]	[5]
