bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	21.085	21.605	CONTINUER	네.	[3]	[4]	[9]
2	DG0001	32.774	33.249	CONTINUER	음. 네.	[3]	[5]	[18]
3	DG0001	60.08	60.35	CONTINUER	네.	[3]	[9]	[1]
4	DG0001	75.899	76.294	AFFIRMATIVE	그렇군요.	[3]	[10]	[11]
5	DG0001	88.207	88.75	CONTINUER	네.	[5]	[12]	[9]
6	DG0001	102.875	103.245	CONTINUER	예.	[5]	[14]	[8]
7	DG0002	106.593	106.818	CONTINUER	네.	[6]	[15]	[8]
8	DG0002	110.93	111.295	CONTINUER	네.	[6]	[16]	[1]
9	DG0001	116.385	116.625	CONTINUER	네.	[7]	[17]	[7]
10	DG0001	141.923	142.273	CONTINUER	네.	[7]	[20]	[16]
11	DG0001	173.951	174.286	CONTINUER	네.	[7]	[25]	[8]
12	DG0001	213.975	214.276	CONTINUER	네.	[7]	[30]	[8]
13	DG0001	237.013	237.338	CONTINUER	네.	[7]	[33]	[16]
14	DG0001	259.059	259.374	CONTINUER	네.	[7]	[35]	[12]
15	DG0001	270.809	271.164	CONTINUER	네.	[7]	[37]	[6]
16	DG0001	278.714	279.034	CONTINUER	네.	[7]	[37]	[22]
17	DG0001	283.671	284.226	AFFIRMATIVE	그렇군요.	[7]	[38]	[7]
18	DG0001	295.234	295.704	CONTINUER	네.	[7]	[40]	[4]
19	DG0001	325.395	325.795	CONTINUER	네.	[7]	[43]	[6]
20	DG0001	357.396	357.776	CONTINUER	네.	[7]	[46]	[13]
21	DG0001	375.926	376.331	CONTINUER	네.	[7]	[49]	[12]
22	DG0001	379.777	380.452	AFFIRMATIVE	그렇군요. 예.	[7]	[50]	[1]
23	DG0001	391.051	391.696	CONTINUER	네.	[7]	[51]	[8]
24	DG0001	399.11	399.3	CONTINUER	네.	[7]	[53]	[1]
25	DG0001	414.681	414.956	CONTINUER	네.	[7]	[55]	[12]
26	DG0001	438.302	438.612	CONTINUER	네.	[7]	[58]	[12]
27	DG0001	475.758	476.128	CONTINUER	네.	[7]	[63]	[4]
28	DG0001	484.971	485.231	CONTINUER	예.	[7]	[64]	[12]
29	DG0001	502.196	502.528	CONTINUER	네.	[7]	[66]	[14]
30	DG0001	514.845	515.325	CONTINUER	네.	[7]	[68]	[12]
31	DG0001	519.24	519.685	CONTINUER	네.	[7]	[68]	[21]
32	DG0001	533.74	534.025	CONTINUER	예.	[9]	[70]	[14]
33	DG0001	556.02	556.55	CONTINUER	예.	[9]	[73]	[12]
34	DG0002	612.316	612.556	CONTINUER	네.	[10]	[80]	[8]
35	DG0001	648.238	648.583	CONTINUER	네.	[11]	[85]	[14]
36	DG0001	657.932	658.127	CONTINUER	네.	[11]	[87]	[9]
37	DG0002	671.34	671.775	CONTINUER	네.	[12]	[89]	[10]
38	DG0001	680.358	680.743	CONTINUER	네.	[13]	[90]	[13]
39	DG0001	686.812	687.087	CONTINUER	네.	[13]	[91]	[12]
40	DG0001	694.264	694.644	CONTINUER	예.	[13]	[93]	[1]
41	DG0001	704.744	704.999	CONTINUER	네.	[13]	[94]	[13]
42	DG0001	735.888	736.253	CONTINUER	네.	[13]	[97]	[19]
43	DG0001	745.116	745.566	CONTINUER	네.	[13]	[98]	[14]
44	DG0001	766.543	766.923	AFFIRMATIVE	그렇군요.	[13]	[100]	[14]
45	DG0002	780.035	780.28	CONTINUER	네.	[14]	[102]	[12]
46	DG0001	821.69	822.12	CONTINUER	네.	[15]	[109]	[1]
47	DG0001	824.922	825.278	CONTINUER	예.	[15]	[109]	[5]
48	DG0001	839.767	840.162	CONTINUER	예.	[15]	[111]	[10]
49	DG0001	843.847	844.817	ASSESSMENT	아이고. 예.	[15]	[111]	[17]
50	DG0001	848.732	849.632	AFFIRMATIVE	그렇군요. 네.	[15]	[112]	[5]
51	DG0001	855.587	855.907	CONTINUER	예.	[15]	[112]	[16]
52	DG0001	883.521	883.921	CONTINUER	예.	[15]	[116]	[11]
53	DG0001	910.408	910.798	CONTINUER	네.	[17]	[120]	[10]
54	DG0001	915.996	916.306	CONTINUER	예.	[17]	[121]	[10]
55	DG0001	922.083	922.508	CONTINUER	네.	[17]	[124]	[1]
56	DG0001	926.68	927.06	CONTINUER	예.	[17]	[125]	[1]
57	DG0001	941.156	941.745	AFFIRMATIVE	그렇군요.	[17]	[127]	[6]
58	DG0001	967.843	968.229	CONTINUER	네.	[19]	[130]	[12]
59	DG0001	979.48	979.84	CONTINUER	네.	[19]	[132]	[15]
60	DG0001	1000.661	1001.218	CONTINUER	네.	[19]	[135]	[15]
61	DG0001	1027.441	1027.746	CONTINUER	네.	[19]	[140]	[1]
62	DG0001	1035.621	1035.966	CONTINUER	네.	[19]	[141]	[1]
63	DG0001	1039.973	1040.423	CONTINUER	네.	[19]	[142]	[3]
64	DG0001	1044.342	1045.162	AFFIRMATIVE	그렇군요. 예.	[19]	[143]	[11]
65	DG0001	1058.803	1059.153	CONTINUER	네.	[19]	[145]	[10]
66	DG0001	1080.046	1080.593	CONTINUER	네.	[19]	[149]	[10]
67	DG0002	1084.699	1085.064	CONTINUER	네.	[20]	[150]	[9]
68	DG0002	1090.128	1090.433	CONTINUER	네.	[20]	[151]	[7]
69	DG0001	1104.329	1104.654	CONTINUER	예.	[21]	[153]	[8]
70	DG0001	1116.126	1116.361	CONTINUER	네.	[21]	[155]	[14]
71	DG0001	1129.764	1130.109	CONTINUER	예.	[21]	[157]	[14]
72	DG0001	1142.953	1143.378	CONTINUER	네.	[21]	[159]	[4]
73	DG0001	1151.962	1152.192	CONTINUER	네.	[21]	[160]	[22]
74	DG0001	1160.315	1160.73	AFFIRMATIVE	그렇군요.	[21]	[161]	[13]
75	DG0001	1174.489	1174.832	CONTINUER	네.	[21]	[163]	[8]
76	DG0002	1181.189	1181.959	CONTINUER	네.	[22]	[165]	[9]
77	DG0001	1187.805	1188.36	CONTINUER	예.	[23]	[166]	[11]
78	DG0001	1199.373	1199.703	CONTINUER	예.	[23]	[167]	[15]
79	DG0001	1231.743	1232.159	CONTINUER	네.	[23]	[171]	[13]
80	DG0001	1264.028	1264.248	CONTINUER	네.	[25]	[176]	[14]
81	DG0001	1278.216	1278.516	CONTINUER	네.	[25]	[178]	[5]
82	DG0001	1284.081	1284.486	CONTINUER	네.	[25]	[178]	[18]
83	DG0002	1320.105	1320.205	CONTINUER	네.	[26]	[184]	[11]
84	DG0002	1321.75	1322.055	CONTINUER	네.	[26]	[184]	[16]
85	DG0002	1329.629	1330.424	CONTINUER	네. 네.	[26]	[185]	[17]
86	DG0001	1349.536	1349.816	CONTINUER	네.	[27]	[189]	[1]
87	DG0001	1359.641	1360.036	CONTINUER	예.	[27]	[189]	[13]
