bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	15.496	15.911	CONTINUER	네.	[2]	[3]	[10]
2	AH0001	25.56	26.245	ASSESSMENT	아.	[2]	[4]	[16]
3	AH0002	31.696	31.966	CONTINUER	네.	[3]	[6]	[1]
4	AH0002	33.676	34.011	CONTINUER	네.	[3]	[6]	[6]
5	AH0002	35.05	35.69	AFFIRMATIVE	네. 맞아요.	[3]	[7]	[1]
6	AH0002	38.955	39.245	CONTINUER	네.	[3]	[7]	[11]
7	AH0001	45.352	45.997	UNDERSTANDING	음.	[4]	[9]	[2]
8	AH0001	48.517	48.767	CONTINUER	네.	[4]	[9]	[10]
9	AH0001	66.405	66.65	CONTINUER	네.	[6]	[12]	[9]
10	AH0001	74.023	74.298	CONTINUER	네.	[6]	[13]	[15]
11	AH0002	89.985	90.21	CONTINUER	네.	[7]	[15]	[8]
12	AH0002	93.936	94.196	CONTINUER	네.	[7]	[16]	[7]
13	AH0002	97.351	97.486	CONTINUER	네.	[7]	[16]	[13]
14	AH0002	97.503	97.871	AFFIRMATIVE	맞아요.	[7]	[16]	[13]
15	AH0002	99.086	99.351	CONTINUER	네네.	[7]	[17]	[3]
16	AH0001	100.57	101.08	CONTINUER	네.	[8]	[18]	[3]
17	AH0001	112.756	113.046	CONTINUER	예.	[10]	[20]	[17]
18	AH0001	119.802	120.137	CONTINUER	네.	[10]	[21]	[18]
19	AH0001	122.561	122.786	CONTINUER	예.	[10]	[22]	[6]
20	AH0001	127.361	127.691	CONTINUER	네.	[10]	[22]	[15]
21	AH0001	138.039	138.459	UNDERSTANDING	음.	[10]	[23]	[23]
22	AH0001	150.898	151.593	AFFIRMATIVE	맞습니다.	[10]	[25]	[15]
23	AH0001	159.543	159.868	CONTINUER	음.	[10]	[26]	[18]
24	AH0001	169.69	170.32	UNDERSTANDING	음.	[10]	[27]	[16]
25	AH0001	179.18	179.9	UNDERSTANDING	아. 아.	[10]	[29]	[7]
26	AH0002	188.039	188.379	CONTINUER	네네.	[11]	[30]	[11]
27	AH0001	198.674	199.434	UNDERSTANDING	예.	[12]	[32]	[10]
28	AH0001	203.221	203.611	CONTINUER	음.	[12]	[33]	[10]
29	AH0001	207.026	207.731	CONTINUER	네.	[12]	[33]	[15]
30	AH0001	223.268	223.723	CONTINUER	네.	[12]	[35]	[11]
31	AH0001	230.971	231.471	CONTINUER	네.	[12]	[36]	[20]
32	AH0001	239.633	239.923	CONTINUER	예.	[12]	[38]	[4]
33	AH0001	243.868	244.258	CONTINUER	예.	[12]	[39]	[9]
34	AH0001	251.618	253.108	UNDERSTANDING	아.	[12]	[40]	[8]
35	AH0001	274.157	275.232	UNDERSTANDING	음.	[12]	[43]	[7]
36	AH0002	279.67	280.08	AFFIRMATIVE	네. 맞어.	[13]	[45]	[7]
37	AH0002	281.698	283.073	AFFIRMATIVE	네. 그쵸. 네.	[15]	[47]	[1]
38	AH0001	288.092	288.702	CONTINUER	네.	[16]	[48]	[10]
39	AH0001	296.322	297.037	CONTINUER	네.	[16]	[49]	[10]
40	AH0001	300.271	301.036	CONTINUER	음.	[16]	[49]	[20]
41	AH0001	302.371	302.966	ASSESSMENT	이야.	[16]	[50]	[5]
