uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.862	요거	[]
1	1	2	AH0001	0.942	1.224	듣고	[]
1	1	3	AH0001	1.304	1.485	우리	[]
1	1	4	AH0001	1.686	1.927	요리	[]
1	1	5	AH0001	1.987	2.349	이야기	[]
1	1	6	AH0001	2.429	2.771	맛있는	[]
1	1	7	AH0001	2.791	3.213	이야기	[]
1	1	8	AH0001	3.314	4.198	이어갈께요.	[]
1	2	1	AH0001	4.198	4.685	보글보글	[]
2	3	1	AH0002	5.7	7.017	오도독오도독	[]
3	4	1	AH0001	7.443	7.604	바삭바삭	[]
4	5	1	AH0002	8.37	8.776	후루룩후루룩	[]
5	6	1	AH0001	9.628	10.55	맛있는	[]
5	6	2	AH0001	10.871	11.632	월요일	[]
5	6	3	AH0001	12.615	12.955	맛있는	[]
5	6	4	AH0001	13.036	13.497	월요일	[]
5	6	5	AH0001	13.637	13.857	신이	[]
5	6	6	AH0001	13.918	14.218	내린	[]
5	6	7	AH0001	14.338	14.599	손	[]
5	6	8	AH0001	14.639	14.719	맛	[]
5	6	9	AH0001	14.84	15.14	오늘도	[]
5	6	10	AH0001	15.24	15.681	신솊	[]
5	6	11	AH0001	16.223	16.944	@이름795	[]
5	6	12	AH0001	16.964	17.245	셰프와	[]
5	6	13	AH0001	17.285	17.906	함께합니다	[]
5	6	14	AH0001	17.926	18.127	어서	[]
5	6	15	AH0001	18.147	18.468	오세요.	[]
6	7	1	AH0002	18.648	18.769	네	[]
6	7	2	AH0002	18.809	19.512	안녕하세요	[]
6	7	3	AH0002	19.612	19.994	@이름795	[]
6	7	4	AH0002	20.014	20.395	셰프입니다	[]
6	7	5	AH0002	20.476	21.219	반갑습니다.	[]
7	8	1	AH0001	21.22	21.281	길	[]
7	8	2	AH0001	21.342	21.525	많이	[]
7	8	3	AH0001	21.566	22.238	밀렸어요?	[]
7	9	1	AH0001	22.238	23.621	나	[]
7	9	2	AH0001	23.802	23.982	혼자	[]
7	9	3	AH0001	24.042	24.283	시작할	[]
7	9	4	AH0001	24.363	24.624	뻔했어	[]
7	9	5	AH0001	24.664	25.085	그래가지고	[]
7	9	6	AH0001	25.145	25.325	내가	[]
7	9	7	AH0001	25.626	25.987	양준혁	[]
7	9	8	AH0001	26.047	26.368	오빠	[]
7	9	9	AH0001	26.388	26.869	얘기하고	[]
7	9	10	AH0001	26.989	27.35	홍성훈	[]
7	9	11	AH0001	27.43	27.651	선수	[]
7	9	12	AH0001	27.691	27.831	얘기를	[]
7	9	13	AH0001	27.911	28.132	얼마나	[]
7	9	14	AH0001	28.232	28.433	했는지	[]
7	9	15	AH0001	28.633	28.753	몰라	[]
8	10	1	AH0002	28.994	29.339	어떤	[]
8	10	2	AH0002	29.359	30.374	느낌이냐면요.	[]
8	11	1	AH0002	30.607	31.069	정말	[]
8	11	2	AH0002	31.229	31.651	땀이	[]
8	11	3	AH0002	31.892	32.374	등에서	[1]
8	11	4	AH0002	33.338	33.458	한	[]
8	11	5	AH0002	33.559	33.719	줄기가	[]
8	11	6	AH0002	33.719	34.442	쫙	[]
8	11	7	AH0002	34.442	34.864	흐를	[]
8	11	8	AH0002	34.884	34.984	정도의	[]
8	11	9	AH0002	35.205	35.647	긴장감을	[]
8	11	10	AH0002	35.707	36.129	느꼈어요.	[]
9	12	1	AH0001	34.647	34.849	내가	[]
9	12	2	AH0001	34.91	35.132	레시피	[]
9	12	3	AH0001	35.193	35.334	근데.	[]
9	13	1	AH0001	36.132	36.254	근데	[]
9	13	2	AH0001	36.274	36.639	요앞에서	[]
9	13	3	AH0001	36.7	37.409	밀려다면서요.	[]
10	14	1	AH0002	37.411	37.571	네	[]
10	14	2	AH0002	37.691	37.811	다	[]
10	14	3	AH0002	37.831	38.312	와가지구	[]
10	14	4	AH0002	38.572	39.233	네	[]
10	14	5	AH0002	39.253	39.273	이	[]
10	14	6	AH0002	39.353	39.654	반포	[]
10	14	7	AH0002	39.854	39.914	또	[]
