bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	24.139	25.109	CONTINUER	네.	[5]	[6]	[4]
2	DG0001	30.552	30.882	CONTINUER	음.	[6]	[8]	[1]
3	DG0001	37.045	37.975	UNDERSTANDING	음.	[6]	[9]	[10]
4	DG0001	47.852	48.102	CONTINUER	네.	[6]	[10]	[17]
5	DG0001	51.287	52.342	ASSESSMENT	하.	[6]	[10]	[25]
6	DG0002	54.999	56.153	CONTINUER	있죠.	[7]	[11]	[4]
7	DG0002	58.388	58.703	CONTINUER	음.	[7]	[12]	[5]
8	DG0001	69.264	70.034	UNDERSTANDING	음.	[8]	[14]	[7]
9	DG0001	75.845	76.275	CONTINUER	네.	[8]	[15]	[5]
10	DG0001	77.433	77.723	CONTINUER	어.	[8]	[15]	[8]
11	DG0001	78.558	79.288	ASSESSMENT	아. 아!	[8]	[15]	[12]
12	DG0001	80.373	81.388	UNDERSTANDING	어.	[8]	[15]	[17]
13	DG0001	82.998	83.383	CONTINUER	예.	[8]	[15]	[24]
