bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	18.58	19.17	CONTINUER	네.	[3]	[6]	[1]
2	AH0002	21.724	22.094	CONTINUER	네.	[3]	[6]	[4]
3	AH0001	28.614	28.944	CONTINUER	네.	[4]	[7]	[6]
4	AH0001	30.014	30.299	CONTINUER	네.	[4]	[7]	[7]
5	AH0001	32.889	33.249	CONTINUER	네.	[4]	[7]	[12]
6	AH0002	45.627	45.977	CONTINUER	네.	[7]	[12]	[6]
7	AH0001	75.891	76.081	CONTINUER	네.	[18]	[25]	[3]
8	AH0001	77.576	77.931	UNDERSTANDING	네.	[18]	[25]	[7]
9	AH0001	80.924	81.749	AFFIRMATIVE	그죠. 네.	[18]	[25]	[14]
10	AH0002	98.366	98.806	UNDERSTANDING	네.	[19]	[30]	[13]
11	AH0002	108.124	108.944	UNDERSTANDING	네!	[21]	[33]	[8]
12	AH0001	111.007	111.352	CONTINUER	네.	[22]	[34]	[3]
13	AH0001	113.642	114.017	UNDERSTANDING	아하!	[22]	[34]	[7]
14	AH0002	116.897	117.837	UNDERSTANDING	네! 네.	[23]	[35]	[5]
15	AH0001	124.963	125.433	CONTINUER	네네.	[24]	[37]	[10]
16	AH0001	126.613	127.158	UNDERSTANDING	아하.	[24]	[37]	[13]
17	AH0001	128.978	129.528	CONTINUER	네.	[26]	[39]	[4]
18	AH0001	139.562	139.877	CONTINUER	네.	[28]	[41]	[7]
19	AH0002	149.15	149.755	UNDERSTANDING	네.	[29]	[43]	[5]
20	AH0002	163.301	163.916	CONTINUER	네.	[33]	[48]	[5]
21	AH0001	169.783	170.128	CONTINUER	네.	[36]	[51]	[5]
22	AH0002	189.345	189.725	CONTINUER	네.	[39]	[56]	[7]
23	AH0002	191.245	191.44	CONTINUER	네.	[39]	[56]	[12]
24	AH0002	203.836	204.461	UNDERSTANDING	오.	[39]	[57]	[17]
25	AH0002	211.997	212.692	ASSESSMENT	오오!	[39]	[58]	[15]
26	AH0002	216.672	217.517	UNDERSTANDING	아하.	[39]	[58]	[25]
27	AH0002	226.895	227.73	UNDERSTANDING	아하. 네.	[41]	[61]	[9]
28	AH0002	229.004	229.249	UNDERSTANDING	네.	[41]	[62]	[3]
29	AH0002	241.266	241.686	CONTINUER	네.	[43]	[66]	[3]
30	AH0002	244.281	244.711	UNDERSTANDING	아! 네.	[43]	[66]	[7]
31	AH0001	255.723	255.928	CONTINUER	응.	[44]	[69]	[2]
32	AH0001	267.059	267.414	CONTINUER	네.	[48]	[74]	[10]
33	AH0002	271.799	272.319	UNDERSTANDING	어. 네.	[49]	[76]	[8]
34	AH0002	274.734	275.049	CONTINUER	네.	[49]	[77]	[4]
35	AH0001	279.644	279.979	CONTINUER	네.	[50]	[78]	[2]
36	AH0002	312.936	313.361	CONTINUER	네.	[55]	[87]	[4]
37	AH0002	319.196	319.61	CONTINUER	네.	[55]	[88]	[7]
38	AH0001	326.997	327.222	CONTINUER	네.	[56]	[90]	[4]
39	AH0001	328.537	328.757	CONTINUER	네.	[56]	[90]	[6]
40	AH0002	360.809	361.289	UNDERSTANDING	어. 네.	[61]	[97]	[10]
41	AH0002	369.133	370.123	UNDERSTANDING	아아.	[61]	[99]	[7]
42	AH0002	375.754	376.334	UNDERSTANDING	네.	[63]	[101]	[5]
43	AH0002	408.753	409.418	UNDERSTANDING	아하.	[71]	[112]	[18]
44	AH0002	412.268	412.723	CONTINUER	네.	[73]	[114]	[5]
45	AH0002	424.859	425.299	UNDERSTANDING	아!	[73]	[117]	[15]
46	AH0002	430.264	431.039	UNDERSTANDING	오.	[73]	[118]	[4]
47	AH0002	440.342	443.022	UNDERSTANDING	아. 아하!	[75]	[120]	[8]
48	AH0002	452.006	452.356	CONTINUER	네.	[77]	[124]	[5]
49	AH0002	453.741	454.086	CONTINUER	네.	[77]	[124]	[8]
50	AH0001	457.954	458.169	CONTINUER	네.	[78]	[125]	[4]
51	AH0001	460.254	461.449	UNDERSTANDING	음. 네. 네. 네.	[78]	[125]	[8]
52	AH0001	465.554	465.809	CONTINUER	네.	[78]	[127]	[7]
53	AH0001	472.985	473.72	UNDERSTANDING	음.	[78]	[129]	[6]
54	AH0001	483.342	483.782	CONTINUER	네.	[82]	[133]	[5]
55	AH0001	489.518	490.138	UNDERSTANDING	네. 네. 네.	[82]	[134]	[12]
56	AH0001	495.644	495.999	CONTINUER	네.	[82]	[135]	[1]
57	AH0001	497.239	497.454	CONTINUER	네.	[82]	[135]	[3]
58	AH0001	498.844	499.624	UNDERSTANDING	아하.	[82]	[135]	[4]
59	AH0002	518.089	519.909	CONTINUER	음. 네.	[83]	[137]	[4]
60	AH0002	523.359	523.819	CONTINUER	네.	[83]	[137]	[10]
61	AH0001	527.596	527.981	CONTINUER	네.	[84]	[138]	[2]
62	AH0001	536.582	536.767	CONTINUER	네.	[86]	[141]	[2]
63	AH0001	539.517	541.117	UNDERSTANDING	네. 아! 네. 네. 네.	[86]	[141]	[11]
64	AH0002	547.584	547.974	UNDERSTANDING	네.	[87]	[142]	[11]
65	AH0002	550.36	551.165	UNDERSTANDING	아하.	[87]	[143]	[4]
66	AH0002	566.111	566.476	UNDERSTANDING	네.	[91]	[148]	[8]
67	AH0002	568.236	569.126	UNDERSTANDING	아하.	[91]	[148]	[13]
68	AH0002	571.861	573.596	AFFIRMATIVE	아. 맞아요. 맞아요.	[91]	[148]	[23]
69	AH0002	574.89	575.215	CONTINUER	네.	[91]	[149]	[3]
70	AH0002	592.567	592.861	CONTINUER	네.	[95]	[154]	[8]
71	AH0002	596.589	597.339	UNDERSTANDING	음.	[95]	[155]	[8]
72	AH0002	601.281	601.756	UNDERSTANDING	예.	[95]	[157]	[1]
73	AH0001	604.916	605.186	CONTINUER	네.	[96]	[158]	[1]
74	AH0001	617.279	617.769	UNDERSTANDING	아하.	[98]	[160]	[12]
75	AH0001	624.395	624.665	CONTINUER	네.	[100]	[162]	[4]
76	AH0001	636.378	636.648	UNDERSTANDING	음.	[104]	[167]	[6]
77	AH0002	645.736	646.361	CONTINUER	으흠.	[105]	[170]	[3]
78	AH0002	655.802	656.033	UNDERSTANDING	어!	[107]	[173]	[1]
79	AH0002	659.172	659.752	AFFIRMATIVE	그죠. 그죠.	[107]	[173]	[7]
80	AH0002	674.866	675.766	CONTINUER	아. 예.	[109]	[178]	[10]
81	AH0002	680.716	681.416	UNDERSTANDING	아! 네.	[109]	[178]	[21]
82	AH0002	691.659	692.509	CONTINUER	예. 예. 예.	[109]	[180]	[12]
83	AH0002	709.588	710.293	UNDERSTANDING	와우!	[111]	[186]	[4]
84	AH0002	718.268	718.698	CONTINUER	네.	[111]	[187]	[8]
85	AH0002	720.073	720.448	CONTINUER	네.	[111]	[187]	[12]
86	AH0002	732.528	732.858	CONTINUER	네.	[115]	[191]	[9]
87	AH0002	736.168	737.263	AFFIRMATIVE	어! 맞아요. 맞아요.	[115]	[191]	[15]
88	AH0002	754.606	755.601	UNDERSTANDING	으흠!	[117]	[196]	[3]
89	AH0001	761.727	761.957	CONTINUER	네.	[118]	[198]	[7]
90	AH0001	763.017	763.547	UNDERSTANDING	음.	[118]	[198]	[8]
91	AH0001	766.902	767.427	UNDERSTANDING	아하.	[118]	[198]	[15]
92	AH0001	771.447	771.898	CONTINUER	네.	[118]	[199]	[7]
93	AH0001	775.776	776.186	CONTINUER	음.	[118]	[200]	[8]
94	AH0002	782.553	783.563	AFFIRMATIVE	예. 예. 맞아요.	[119]	[201]	[13]
95	AH0002	799.991	800.321	CONTINUER	네.	[121]	[206]	[3]
96	AH0001	831.946	832.221	CONTINUER	네.	[124]	[213]	[6]
97	AH0001	833.056	833.371	CONTINUER	음.	[124]	[213]	[8]
98	AH0001	835.371	836.281	UNDERSTANDING	아하.	[124]	[213]	[12]
99	AH0001	839.13	839.33	CONTINUER	네.	[124]	[215]	[4]
100	AH0001	841.164	841.389	CONTINUER	네.	[124]	[215]	[7]
101	AH0001	843.995	844.23	CONTINUER	응.	[124]	[216]	[6]
102	AH0001	846.53	846.72	CONTINUER	네.	[124]	[216]	[13]
103	AH0002	857.473	858.135	UNDERSTANDING	네.	[125]	[218]	[11]
104	AH0002	871.399	872.054	UNDERSTANDING	아.	[127]	[221]	[13]
105	AH0002	873.189	873.879	UNDERSTANDING	네.	[127]	[221]	[17]
106	AH0002	882.036	882.468	CONTINUER	네.	[127]	[224]	[3]
107	AH0002	889.838	890.088	CONTINUER	네.	[127]	[225]	[13]
108	AH0002	924.731	925.236	POSITIVE_SURPRISE	아유!	[131]	[232]	[19]
109	AH0001	946.494	946.759	CONTINUER	네.	[134]	[237]	[5]
110	AH0001	958.373	958.713	CONTINUER	네.	[136]	[240]	[3]
111	AH0001	962.672	963.227	CONTINUER	네네.	[136]	[241]	[5]
112	AH0001	967.72	968.2	UNDERSTANDING	음!	[136]	[242]	[1]
113	AH0002	976.296	976.648	CONTINUER	네.	[137]	[244]	[3]
114	AH0002	979.546	980.561	AFFIRMATIVE	예. 예. 그죠.	[137]	[245]	[7]
115	AH0002	989.06	989.4	CONTINUER	네.	[137]	[246]	[15]
116	AH0002	992.768	993.085	UNDERSTANDING	네.	[]	[]	[]
117	AH0002	1000.794	1001.604	UNDERSTANDING	어우.	[141]	[251]	[14]
118	AH0002	1002.76	1003.165	CONTINUER	예.	[141]	[251]	[17]
119	AH0002	1009.244	1010.094	UNDERSTANDING	어.	[141]	[252]	[12]
120	AH0002	1011.284	1012.314	UNDERSTANDING	아하. 네.	[141]	[252]	[18]
121	AH0002	1034.101	1034.726	UNDERSTANDING	아!	[145]	[259]	[5]
122	AH0002	1039.25	1039.78	UNDERSTANDING	아하.	[145]	[260]	[5]
123	AH0002	1049.888	1050.323	CONTINUER	네.	[147]	[264]	[3]
124	AH0002	1051.283	1052.783	UNDERSTANDING	음! 오.	[147]	[264]	[6]
125	AH0002	1075.942	1076.392	CONTINUER	네.	[147]	[267]	[11]
126	AH0002	1077.312	1078.097	UNDERSTANDING	아하.	[147]	[268]	[4]
127	AH0002	1082.728	1083.118	CONTINUER	네.	[147]	[269]	[6]
128	AH0001	1085.728	1085.928	CONTINUER	네.	[148]	[270]	[2]
129	AH0001	1089.768	1090.213	CONTINUER	네.	[148]	[270]	[6]
130	AH0001	1103.519	1103.843	CONTINUER	네.	[152]	[274]	[5]
131	AH0002	1113.552	1114.193	CONTINUER	네.	[155]	[278]	[4]
132	AH0002	1115.205	1115.565	CONTINUER	네.	[155]	[279]	[2]
133	AH0002	1119.803	1120.523	UNDERSTANDING	아하.	[155]	[280]	[4]
134	AH0002	1122.373	1123.268	UNDERSTANDING	아. 어.	[155]	[280]	[10]
