uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0002	0.5	1.201	샤부샤부는	[]
1	1	2	DG0002	1.261	1.581	어떤	[]
1	1	3	DG0002	1.621	2.421	음식이에요라고	[1]
1	1	4	DG0002	2.581	2.982	했더니	[]
1	1	5	DG0002	3.422	3.902	저한테	[]
1	1	6	DG0002	4.443	4.623	어	[]
1	1	7	DG0002	4.783	5.343	샤부샤부라는	[]
1	1	8	DG0002	5.363	5.704	음식은	[]
1	1	9	DG0002	6.284	7.345	샤부샤부	[]
1	1	10	DG0002	7.385	7.685	익혀서	[]
1	1	11	DG0002	7.765	8.005	먹어야	[]
1	1	12	DG0002	8.065	8.346	된다.	[2]
1	1	13	DG0002	8.486	9.346	그래서	[]
1	1	14	DG0002	9.827	10.707	살랑살랑	[]
1	1	15	DG0002	10.747	10.988	익혀	[]
1	1	16	DG0002	11.028	11.968	먹는다라고	[]
1	1	17	DG0002	12.128	13.069	하시더라고요.	[]
2	2	1	DG0001	11.774	11.896	괜찮네요.	[]
2	3	1	DG0001	13.262	13.563	그러면	[]
2	3	2	DG0001	13.843	14.264	고기넣을	[3]
2	3	3	DG0001	14.344	14.484	때도	[]
2	3	4	DG0001	14.705	15.266	샤브샤브	[]
3	4	1	DG0002	14.902	15.852	샤브샤브.	[]
3	5	1	DG0002	17.089	17.189	고맙습니다.	[]
3	5	2	DG0002	17.209	17.729	그래서	[]
3	5	3	DG0002	18.07	18.33	얇게	[]
3	5	4	DG0002	18.43	18.61	썰은	[]
3	5	5	DG0002	18.71	19.03	재료를	[]
3	5	6	DG0002	19.491	20.651	살랑살랑	[]
3	5	7	DG0002	20.672	20.912	익혀	[]
3	5	8	DG0002	20.932	21.432	먹는다라고	[]
3	5	9	DG0002	21.492	21.912	하시더라고요.	[]
3	5	10	DG0002	21.932	22.173	그래서	[]
3	5	11	DG0002	22.713	22.893	저도	[]
3	5	12	DG0002	22.953	23.113	그때	[]
3	5	13	DG0002	23.153	23.193	가서	[]
3	5	14	DG0002	23.313	23.534	처음	[]
3	5	15	DG0002	23.554	24.214	배웠습니다.	[]
4	6	1	DG0001	24.316	24.88	스키야게.	[]
4	6	2	DG0001	24.98	25.121	약간	[]
4	6	3	DG0001	25.504	25.685	하는	[]
4	6	4	DG0001	25.705	25.826	거예요?	[]
