bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	9.875	10.18	CONTINUER	네.	[1]	[2]	[1]
2	DG0001	15.663	16.198	CONTINUER	네.	[2]	[3]	[6]
3	DG0002	36.645	37.035	CONTINUER	네.	[5]	[6]	[8]
4	DG0002	46.395	46.745	CONTINUER	네.	[7]	[8]	[7]
5	DG0002	48.01	48.52	CONTINUER	네.	[7]	[8]	[11]
6	DG0001	52.372	53.827	AFFIRMATIVE	음. 네. 맞아요.	[8]	[10]	[5]
7	DG0001	58.775	59.319	CONTINUER	네.	[8]	[10]	[15]
8	DG0002	77.797	78.062	CONTINUER	네.	[9]	[12]	[16]
9	DG0001	79.881	80.556	CONTINUER	음.	[10]	[13]	[4]
10	DG0001	85.611	86.141	CONTINUER	네네.	[10]	[13]	[14]
11	DG0002	107.887	108.407	CONTINUER	네.	[15]	[19]	[9]
12	DG0002	117.963	118.253	CONTINUER	네.	[15]	[20]	[10]
13	DG0001	133.515	134.745	UNDERSTANDING	음. 음음.	[16]	[22]	[17]
14	DG0002	144.759	146.069	AFFIRMATIVE	네. 맞습니다.	[19]	[25]	[3]
15	DG0001	151.797	152.242	CONTINUER	네.	[20]	[26]	[7]
16	DG0001	153.827	154.097	CONTINUER	네.	[20]	[26]	[11]
17	DG0001	160.167	160.952	UNDERSTANDING	음.	[20]	[27]	[9]
18	DG0001	163.899	164.934	CONTINUER	음.	[20]	[27]	[17]
19	DG0002	179.857	180.772	ASSESSMENT	오!	[21]	[29]	[15]
20	DG0002	199.222	199.612	CONTINUER	네.	[23]	[32]	[13]
21	DG0002	218.543	219.113	CONTINUER	네네.	[25]	[35]	[12]
22	DG0002	229.354	229.619	CONTINUER	네.	[25]	[36]	[18]
23	DG0002	238.641	238.991	CONTINUER	예.	[25]	[37]	[7]
24	DG0001	248.898	249.418	ASSESSMENT	응!	[28]	[40]	[6]
25	DG0001	257.0	257.295	CONTINUER	네.	[30]	[42]	[9]
26	DG0002	260.636	261.166	CONTINUER	네네.	[31]	[43]	[2]
27	DG0002	265.291	265.831	CONTINUER	네네.	[31]	[43]	[9]
28	DG0001	269.331	270.126	UNDERSTANDING	음.	[32]	[44]	[2]
29	DG0002	286.086	286.606	CONTINUER	네.	[35]	[47]	[4]
30	DG0002	289.976	290.816	AFFIRMATIVE	당연하죠.	[35]	[47]	[12]
31	DG0001	315.374	315.924	CONTINUER	음.	[38]	[50]	[17]
32	DG0001	319.64	320.325	CONTINUER	음.	[38]	[51]	[2]
33	DG0001	328.452	329.042	CONTINUER	음. 네.	[40]	[53]	[4]
34	DG0001	331.322	332.052	CONTINUER	네네.	[40]	[53]	[11]
35	DG0002	340.162	340.577	CONTINUER	네네.	[41]	[54]	[9]
36	DG0002	341.92	342.363	CONTINUER	네.	[41]	[54]	[11]
37	DG0002	349.543	350.028	CONTINUER	네네.	[41]	[55]	[12]
38	DG0002	356.475	356.765	CONTINUER	네.	[43]	[58]	[2]
39	DG0001	372.198	372.478	CONTINUER	네.	[46]	[61]	[6]
40	DG0001	375.563	375.883	CONTINUER	네.	[46]	[61]	[12]
41	DG0001	377.313	377.733	CONTINUER	응.	[46]	[61]	[15]
42	DG0002	407.896	408.341	CONTINUER	네.	[49]	[65]	[6]
43	DG0002	412.126	412.611	CONTINUER	네네.	[49]	[65]	[10]
44	DG0001	423.162	424.077	CONTINUER	네네.	[52]	[68]	[3]
45	DG0001	441.467	441.897	CONTINUER	네.	[54]	[70]	[13]
46	DG0001	444.945	445.72	CONTINUER	음.	[54]	[71]	[5]
47	DG0001	446.92	448.44	UNDERSTANDING	음음음.	[54]	[71]	[8]
48	DG0002	454.29	454.465	CONTINUER	네.	[55]	[73]	[4]
49	DG0002	468.863	469.208	CONTINUER	네.	[55]	[75]	[5]
50	DG0002	471.028	471.443	CONTINUER	네.	[55]	[75]	[9]
51	DG0002	474.828	475.288	CONTINUER	네.	[55]	[75]	[15]
52	DG0001	485.51	486.125	CONTINUER	네네.	[56]	[77]	[3]
53	DG0001	490.375	491.55	CONTINUER	음.	[56]	[77]	[12]
54	DG0002	492.203	492.568	CONTINUER	네.	[57]	[78]	[1]
55	DG0002	493.143	493.523	CONTINUER	네.	[57]	[78]	[3]
56	DG0002	497.658	498.053	CONTINUER	네.	[57]	[78]	[11]
57	DG0001	527.048	527.603	CONTINUER	네.	[64]	[85]	[8]
58	DG0001	539.266	539.511	CONTINUER	네.	[64]	[87]	[2]
59	DG0001	544.586	545.131	CONTINUER	네네.	[64]	[87]	[13]
60	DG0001	546.386	547.326	AFFIRMATIVE	아, 그럼요.	[64]	[87]	[18]
61	DG0001	550.694	551.419	CONTINUER	음.	[64]	[88]	[6]
62	DG0001	555.714	556.324	CONTINUER	네.	[64]	[88]	[14]
63	DG0002	566.259	566.819	CONTINUER	네.	[65]	[90]	[2]
64	DG0002	571.154	571.599	CONTINUER	네.	[65]	[90]	[11]
65	DG0002	580.89	581.205	CONTINUER	네.	[]	[]	[]
66	DG0002	587.405	587.939	CONTINUER	네.	[67]	[93]	[12]
67	DG0002	592.294	592.709	CONTINUER	네.	[67]	[94]	[8]
68	DG0002	594.384	594.594	CONTINUER	네.	[67]	[94]	[12]
