uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.475	0.739	요즘은	[]
1	1	2	AH0001	0.78	1.024	어떤	[]
1	1	3	AH0001	1.105	1.308	로봇	[]
1	1	4	AH0001	1.369	1.755	만드세요?	[]
2	2	1	AH0002	1.935	2.157	아	[]
2	2	2	AH0002	2.298	3.105	요즘은	[]
2	2	3	AH0002	3.368	3.428	좀	[]
2	2	4	AH0002	3.549	3.792	특이한	[]
2	2	5	AH0002	3.872	3.973	거	[]
2	2	6	AH0002	4.054	4.114	지금	[]
2	2	7	AH0002	4.155	4.316	하고	[]
2	2	8	AH0002	4.458	4.619	있습니다.	[]
3	3	1	AH0001	4.62	5.004	뭐요?	[]
4	4	1	AH0002	5.078	5.321	아	[]
4	4	2	AH0002	5.443	6.355	스키로봇	[]
4	4	3	AH0002	6.396	6.477	만들고	[]
4	4	4	AH0002	6.497	6.578	있습니다.	[]
5	5	1	AH0001	6.579	7.353	스키로봇?	[]
6	6	1	AH0002	7.679	8.924	평창동계올림픽	[]
6	6	2	AH0002	8.944	8.964	때.	[1]
6	7	1	AH0002	9.608	10.358	스키로봇	[]
6	7	2	AH0002	10.459	10.682	대회가	[]
6	7	3	AH0002	10.783	10.824	열릴	[]
6	7	4	AH0002	10.966	11.31	거에요.	[]
7	8	1	AH0001	11.31	11.33	오.	[]
8	9	1	AH0002	12.076	12.437	그래서	[]
8	9	2	AH0002	12.919	12.939	그	[]
8	9	3	AH0002	12.999	13.28	종목은	[]
8	9	4	AH0002	13.4	14.584	대회전	[]
8	9	5	AH0002	14.604	14.885	알파인	[]
8	9	6	AH0002	14.905	15.607	대회전이고요.	[]
8	9	7	AH0002	15.788	15.848	그	[]
8	9	8	AH0002	15.948	16.61	슬로프에서	[]
8	9	9	AH0002	16.751	17.132	직접	[]
8	9	10	AH0002	17.533	17.814	로봇이	[]
8	9	11	AH0002	17.854	18.175	스키를	[]
8	9	12	AH0002	18.216	18.557	탈	[]
8	9	13	AH0002	18.617	18.677	겁니다.	[]
8	10	1	AH0002	18.677	19.358	우선은	[2]
8	10	2	AH0002	19.478	19.718	국내	[]
8	10	3	AH0002	19.818	19.858	팀	[]
8	10	4	AH0002	19.938	20.118	여덟	[]
8	10	5	AH0002	20.198	20.258	개	[]
8	10	6	AH0002	20.358	20.398	팀	[]
8	10	7	AH0002	20.559	20.779	선정이	[]
8	10	8	AH0002	20.839	21.8	됐고요.	[3]
8	10	9	AH0002	21.92	22.38	그리고	[]
8	10	10	AH0002	22.48	22.58	세	[]
8	10	11	AH0002	22.66	22.74	개	[]
8	10	12	AH0002	22.88	23.181	팀이	[]
8	10	13	AH0002	23.401	23.441	올	[]
8	10	14	AH0002	23.541	23.581	수	[]
8	10	15	AH0002	23.621	24.282	있으면	[]
8	10	16	AH0002	24.382	24.482	어	[]
8	10	17	AH0002	24.862	25.222	와서	[]
8	10	18	AH0002	25.322	25.402	같이	[]
8	10	19	AH0002	25.683	25.903	경합을	[]
8	10	20	AH0002	26.063	26.283	하는	[]
8	10	21	AH0002	26.303	26.483	이런	[]
8	10	22	AH0002	26.543	27.064	대회가	[]
8	10	23	AH0002	27.124	27.144	될	[]
8	10	24	AH0002	27.164	27.184	것	[]
8	10	25	AH0002	27.224	27.304	같습니다.	[4]
