uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.005	1.067	감칠맛	[]
1	1	2	DG0001	1.207	1.688	가득한	[]
1	1	3	DG0001	1.848	2.108	고전	[]
1	1	4	DG0001	2.128	2.669	이야기가	[]
1	1	5	DG0001	2.93	3.21	귀와	[]
1	1	6	DG0001	3.31	3.611	마음을	[]
1	1	7	DG0001	3.671	3.831	사로	[]
1	1	8	DG0001	3.871	4.071	잡는	[]
1	1	9	DG0001	4.152	4.472	시간	[]
1	1	10	DG0001	4.712	5.013	@이름1	[]
1	1	11	DG0001	5.093	5.374	박사의	[]
1	1	12	DG0001	5.434	5.974	은밀한	[]
1	1	13	DG0001	6.115	6.435	고전	[]
1	1	14	DG0001	6.796	6.996	고전	[]
1	1	15	DG0001	7.076	7.697	문학자이자	[]
1	1	16	DG0001	7.817	8.118	구수한	[]
1	1	17	DG0001	8.178	8.639	이야기꾼	[]
1	2	1	DG0001	8.819	9.442	연세	[]
1	2	2	DG0001	9.482	9.602	대학교	[]
1	2	3	DG0001	9.723	9.864	학부	[]
1	2	4	DG0001	9.924	10.185	대학의	[]
1	2	5	DG0001	10.245	10.486	@이름1	[]
1	2	6	DG0001	10.547	10.808	박사님	[]
1	2	7	DG0001	10.868	11.35	모셨습니다.	[]
1	3	1	DG0001	11.35	12.211	안녕하세요?	[]
2	4	1	DG0002	12.211	12.88	안녕하세요?	[]
3	5	1	DG0001	13.314	13.534	아까	[]
3	5	2	DG0001	13.635	13.855	저희가	[]
3	5	3	DG0001	13.955	14.035	심	[]
3	5	4	DG0001	14.256	14.696	춘향전	[1]
3	5	5	DG0001	15.137	15.698	했는데	[]
3	5	6	DG0001	15.818	16.76	궁금한게요.	[2]
3	5	7	DG0001	16.96	17.181	그렇게	[]
3	5	8	DG0001	17.221	17.361	이제	[]
3	5	9	DG0001	17.401	17.461	막	[]
3	5	10	DG0001	17.641	17.942	사또가	[]
3	5	11	DG0001	18.022	18.162	새로	[]
3	5	12	DG0001	18.262	18.783	부임해오고.	[]
3	6	1	DG0001	19.372	20.277	생일잔치를	[]
3	6	2	DG0001	20.358	20.539	그렇게	[]
3	6	3	DG0001	20.619	20.8	크게	[]
3	6	4	DG0001	20.861	21.364	여는게	[]
3	6	5	DG0001	21.484	21.504	뭐	[]
3	7	1	DG0001	21.967	22.429	보통	[]
3	7	2	DG0001	22.469	22.97	그랬는지	[]
