uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.74	0.88	겨울	[]
1	1	2	AH0001	0.941	1.121	동안	[]
1	1	3	AH0001	1.261	1.502	정말	[]
1	1	4	AH0001	1.562	1.763	고생	[]
1	1	5	AH0001	1.843	1.983	많이	[]
1	1	6	AH0001	2.003	2.144	하신	[]
1	1	7	AH0001	2.224	3.046	분인데요.	[]
1	2	1	AH0001	3.047	3.291	피디님	[]
1	2	2	AH0001	3.352	3.637	모셨습니다	[]
1	2	3	AH0001	3.657	4.186	안녕하세요.	[]
2	3	1	AH0002	4.186	4.691	전혀	[]
2	3	2	AH0002	4.751	5.114	아직도	[]
2	3	3	AH0002	5.135	5.437	실감을	[]
2	3	4	AH0002	5.518	5.538	못	[]
2	3	5	AH0002	5.599	5.841	하겠습니다	[]
2	3	6	AH0002	6.002	6.245	솔직히	[]
2	4	1	AH0002	6.406	6.947	왜냐면	[]
2	4	2	AH0002	7.629	7.929	저희	[]
2	4	3	AH0002	8.029	8.35	집의	[1]
2	4	4	AH0002	9.112	9.453	하수구는	[]
2	4	5	AH0002	9.493	9.713	아직도	[]
2	4	6	AH0002	9.733	10.054	얼어있기	[]
2	4	7	AH0002	10.094	10.595	때문이죠.	[]
3	5	1	AH0001	10.595	11.016	제가	[]
3	5	2	AH0001	11.036	11.056	한	[]
3	5	3	AH0001	11.076	11.336	이삼	[]
3	5	4	AH0001	11.436	11.496	주	[]
3	5	5	AH0001	11.516	11.677	전에	[]
3	5	6	AH0001	11.737	11.817	그	[]
3	5	7	AH0001	11.837	12.137	말씀을	[]
3	5	8	AH0001	12.178	12.418	들었던	[]
3	5	9	AH0001	12.458	12.518	것	[]
3	5	10	AH0001	12.558	12.919	같은데	[]
3	5	11	AH0001	13.059	13.52	아직까지도	[]
4	6	1	AH0002	13.746	13.946	아니	[]
4	6	2	AH0002	13.987	14.067	한	[]
4	6	3	AH0002	14.127	14.207	번	[]
4	6	4	AH0002	14.267	14.728	풀렸다가	[2]
4	6	5	AH0002	15.309	15.57	다시	[]
4	6	6	AH0002	15.65	16.011	얼었어요.	[]
5	7	1	AH0001	17.03	17.25	아	[]
5	7	2	AH0001	17.451	17.831	세상에	[]
5	7	3	AH0001	17.951	18.452	한파가	[]
5	7	4	AH0001	18.693	18.793	좀	[]
5	7	5	AH0001	18.973	19.474	그칠라	[]
5	7	6	AH0001	19.654	19.875	치면	[]
5	7	7	AH0001	20.055	20.295	다시	[]
5	7	8	AH0001	20.375	20.456	또	[]
5	7	9	AH0001	20.536	21.197	들이닥치고	[3]
5	8	1	AH0001	21.829	22.151	제가	[]
5	8	2	AH0001	22.854	23.155	그	[]
5	8	3	AH0001	23.236	23.457	사진을	[]
5	8	4	AH0001	23.517	24.1	봤습니다.	[]
5	9	1	AH0001	24.364	24.926	그	[]
5	9	2	AH0001	25.066	26.05	하수관의	[]
5	9	3	AH0001	26.29	27.233	구조가	[4]
5	9	4	AH0001	27.334	27.635	동파가	[]
5	9	5	AH0001	27.735	27.755	잘	[]
5	9	6	AH0001	27.916	27.976	될	[]
5	9	7	AH0001	28.056	28.116	수	[]
5	9	8	AH0001	28.136	28.317	밖에	[]
5	9	9	AH0001	28.337	28.417	없는	[]
