uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.401	매번	[]
1	1	2	AH0001	1.481	1.621	집에	[]
1	1	3	AH0001	1.641	1.661	안	[]
1	1	4	AH0001	1.901	1.981	갈	[]
1	1	5	AH0001	2.081	2.261	수도	[]
1	1	6	AH0001	2.682	3.022	명절	[]
1	1	7	AH0001	3.082	3.302	때마다	[]
1	1	8	AH0001	3.402	3.703	출장	[]
1	1	9	AH0001	3.823	4.143	핑계를	[]
1	1	10	AH0001	4.143	4.363	댈	[]
1	1	11	AH0001	4.363	4.503	수도	[]
1	1	12	AH0001	4.523	4.743	없고	[]
1	1	13	AH0001	5.304	5.764	여러분이라면	[]
1	1	14	AH0001	5.864	6.124	어떻게	[]
1	1	15	AH0001	6.144	6.885	하시겠어요?	[]
1	2	1	AH0001	6.92	8.142	카	[]
1	2	2	AH0001	8.242	8.943	아우	[]
1	2	3	AH0001	8.983	9.003	이	[]
1	2	4	AH0001	9.644	9.704	근데,	[]
1	2	5	AH0001	9.724	9.884	이런	[]
1	2	6	AH0001	9.925	10.125	얘기들	[1]
1	2	7	AH0001	10.485	10.606	많이	[]
1	2	8	AH0001	10.646	10.926	이제	[]
1	2	9	AH0001	11.066	11.928	들으시는	[]
1	2	10	AH0001	12.068	12.308	분들이,	[]
1	2	11	AH0001	12.408	12.589	저희	[]
1	2	12	AH0001	12.749	13.19	친구들입니다.	[]
1	2	13	AH0001	13.23	13.51	사실.	[]
2	3	1	AH0002	13.53	13.55	그쵸.	[]
3	4	1	AH0001	14.204	14.224	네	[]
4	5	1	AH0002	14.732	15.012	딱	[]
4	5	2	AH0002	15.213	15.754	지금	[]
4	5	3	AH0002	16.735	17.056	우리	[]
4	5	4	AH0002	17.636	17.917	삼십	[]
4	5	5	AH0002	18.017	18.077	대	[]
4	5	6	AH0002	18.177	18.618	중반의	[]
4	5	7	AH0002	18.658	19.179	나이가	[]
4	5	8	AH0002	20.22	20.32	아	[]
4	5	9	AH0002	20.34	20.461	근데	[]
4	5	10	AH0002	20.501	20.701	저는	[]
4	5	11	AH0002	20.801	21.502	듣다보니까	[]
4	5	12	AH0002	22.484	22.824	기가	[]
4	5	13	AH0002	22.824	23.465	쫙	[]
4	5	14	AH0002	23.465	23.886	빠지네요.	[]
