bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	16.629	17.344	CONTINUER	네.	[2]	[3]	[3]
2	AH0001	22.968	23.483	CONTINUER	네.	[2]	[5]	[1]
3	AH0001	28.729	29.504	CONTINUER	네.	[2]	[5]	[7]
4	AH0001	35.034	35.659	CONTINUER	네.	[4]	[7]	[3]
5	AH0001	65.695	66.146	CONTINUER	네.	[8]	[14]	[2]
6	AH0001	131.772	132.277	CONTINUER	네.	[14]	[28]	[12]
7	AH0002	135.326	135.551	CONTINUER	네.	[15]	[29]	[9]
8	AH0001	160.266	160.727	CONTINUER	네.	[16]	[34]	[14]
9	AH0001	166.714	167.895	CONTINUER	네.	[16]	[35]	[10]
10	AH0001	170.465	171.36	CONTINUER	네.	[16]	[35]	[17]
