uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.881	아하	[]
1	1	2	AH0001	0.961	1.342	그렇군요	[]
1	1	3	AH0001	1.423	1.743	오늘도	[]
1	1	4	AH0001	1.824	2.144	우리의	[]
1	1	5	AH0001	2.285	2.766	지식력	[]
1	1	6	AH0001	3.087	3.468	높여	[]
1	1	7	AH0001	3.548	3.789	보도록	[]
1	1	8	AH0001	3.889	4.892	하겠습니다.	[]
1	2	1	AH0001	4.892	5.173	알아	[]
1	2	2	AH0001	5.294	5.655	두면	[]
1	2	3	AH0001	5.836	5.997	피가	[]
1	2	4	AH0001	6.057	6.217	되고	[]
1	2	5	AH0001	6.298	6.458	살이	[]
1	2	6	AH0001	6.519	6.74	되는	[]
1	2	7	AH0001	6.9	7.643	잡학사전	[]
1	2	8	AH0001	7.945	8.326	세상의	[]
1	2	9	AH0001	8.467	8.969	모든	[]
1	2	10	AH0001	9.109	9.33	상식	[]
2	3	1	AH0002	9.752	10.036	아하	[]
3	4	1	AH0001	10.422	11.115	그렇군요.	[]
3	5	1	AH0001	11.685	12.031	소장님	[]
3	5	2	AH0001	12.072	12.275	어서	[]
3	5	3	AH0001	12.295	13.089	오세요.	[]
4	6	1	AH0002	13.089	14.002	안녕하세요.	[]
5	7	1	AH0001	14.002	14.284	자	[]
5	7	2	AH0001	14.465	14.746	오늘은	[]
5	7	3	AH0001	14.787	15.088	어떤	[]
5	7	4	AH0001	15.149	15.571	얘기를	[]
5	7	5	AH0001	15.672	15.813	나눠	[]
5	7	6	AH0001	15.873	16.859	볼까요?	[]
6	8	1	AH0002	16.857	17.277	네.에	[]
6	8	2	AH0002	17.417	17.798	우리가	[]
6	8	3	AH0002	17.858	17.918	그	[]
6	8	4	AH0002	17.998	18.358	인도를	[]
6	8	5	AH0002	18.438	18.778	걷거나	[]
6	8	6	AH0002	18.918	19.279	지하철	[]
6	8	7	AH0002	19.339	19.459	역에서	[]
6	8	8	AH0002	19.519	19.739	인제	[]
6	8	9	AH0002	19.839	20.399	지하철을	[]
6	8	10	AH0002	20.479	20.64	타러	[]
6	8	11	AH0002	20.68	20.78	갈	[]
6	8	12	AH0002	20.94	21.0	때	[1]
6	8	13	AH0002	21.22	21.52	보면.	[]
6	8	14	AH0002	21.62	21.72	그	[]
6	8	15	AH0002	21.92	22.161	보통	[]
6	8	16	AH0002	22.281	22.501	우측	[]
6	8	17	AH0002	22.581	22.821	통행을	[]
6	8	18	AH0002	23.161	23.522	많이	[2]
6	8	19	AH0002	23.602	23.722	하구	[]
6	8	20	AH0002	23.762	24.162	있죠?	[]
6	9	1	AH0002	24.162	24.383	어	[3]
6	9	2	AH0002	24.804	25.025	그런데	[]
6	9	3	AH0002	25.105	25.286	불과	[]
6	9	4	AH0002	25.366	25.466	팔	[]
6	9	5	AH0002	25.527	25.627	년	[]
6	9	6	AH0002	25.727	26.289	전인	[]
6	9	7	AH0002	26.37	26.45	그	[]
6	9	8	AH0002	26.49	26.952	이천구	[]
6	9	9	AH0002	26.992	27.433	년까지만	[]
6	9	10	AH0002	27.493	27.714	해도	[]
6	9	11	AH0002	27.935	28.758	좌측통행으로	[]
6	9	12	AH0002	28.818	29.38	우리가	[]
6	9	13	AH0002	29.4	29.741	배웠던	[]
6	9	14	AH0002	29.801	29.841	거	[]
6	9	15	AH0002	29.962	30.223	기억이	[]
6	9	16	AH0002	30.343	30.905	나시죠?	[4]
6	10	1	AH0002	30.905	31.447	네.그래서	[]
6	10	2	AH0002	31.968	32.049	어	[]
6	10	3	AH0002	32.169	32.41	좌측	[]
6	10	4	AH0002	32.49	32.871	통행으루	[]
6	10	5	AH0002	32.911	33.272	다니던	[]
6	10	6	AH0002	33.332	33.513	것을	[]
6	10	7	AH0002	33.593	33.814	우측	[]
6	10	8	AH0002	33.894	34.436	통행으루	[]
6	10	9	AH0002	34.536	34.837	바꾸다	[]
6	10	10	AH0002	34.897	35.138	보니까	[]
6	10	11	AH0002	35.198	35.499	상당히	[]
6	10	12	AH0002	35.619	35.86	인제	[]
6	10	13	AH0002	35.94	36.161	많은	[]
6	10	14	AH0002	36.562	36.803	혼란이	[]
6	10	15	AH0002	36.843	37.064	일기두	[]
6	10	16	AH0002	37.144	37.967	했었는데요.네.	[]
6	11	1	AH0002	39.208	39.408	여튼	[]
6	11	2	AH0002	39.469	39.689	그러다	[]
6	11	3	AH0002	39.749	40.23	보니까	[]
6	11	4	AH0002	40.411	40.471	그	[]
6	11	5	AH0002	40.491	41.092	당시까지는	[]
6	11	6	AH0002	41.133	41.293	이제	[]
6	11	7	AH0002	41.353	41.854	자동차는	[]
6	11	8	AH0002	41.955	42.175	우측	[]
6	11	9	AH0002	42.275	42.616	통행을	[]
6	11	10	AH0002	42.676	42.917	하구	[5]
6	11	11	AH0002	42.937	43.358	있었고.	[]
6	11	12	AH0002	43.378	43.398	어	[]
6	11	13	AH0002	44.04	44.501	보행자는	[]
6	11	14	AH0002	44.621	44.962	좌측	[]
6	11	15	AH0002	45.122	45.403	통행을	[]
6	11	16	AH0002	45.483	45.643	하는	[]
6	11	17	AH0002	45.724	45.844	등의	[]
6	11	18	AH0002	45.864	45.964	인제	[]
6	11	19	AH0002	46.024	46.405	헷갈리는	[]
6	11	20	AH0002	46.465	46.726	상황들이	[]
6	11	21	AH0002	46.806	47.027	굉장히	[]
6	11	22	AH0002	47.167	47.989	많았었습니다.	[6]
6	12	1	AH0002	48.705	49.185	그런데	[]
6	12	2	AH0002	49.446	49.666	이러한	[]
6	12	3	AH0002	49.746	50.246	문제가	[]
6	12	4	AH0002	50.266	50.286	아	[]
6	12	5	AH0002	50.947	51.167	지속이	[]
6	12	6	AH0002	51.207	51.507	되면서	[]
6	12	7	AH0002	51.527	51.627	인제	[]
6	12	8	AH0002	51.647	52.048	이천십	[]
6	12	9	AH0002	52.148	52.688	년부터는	[]
6	12	10	AH0002	53.149	53.749	자동차와	[]
6	12	11	AH0002	53.869	54.23	보행자	[]
6	12	12	AH0002	54.37	54.67	모두	[]
6	12	13	AH0002	54.97	55.291	우측	[]
6	12	14	AH0002	55.471	55.831	통행을	[]
6	12	15	AH0002	55.931	56.372	원칙으로	[]
6	12	16	AH0002	56.492	56.832	변경해서	[]
6	12	17	AH0002	56.912	57.172	인제	[]
6	12	18	AH0002	57.512	57.753	지금에	[]
6	12	19	AH0002	57.873	58.193	이르고	[]
6	12	20	AH0002	58.273	58.473	있는	[]
6	12	21	AH0002	58.533	59.314	상태입니다.	[]
7	13	1	AH0001	59.368	59.588	근데	[]
7	13	2	AH0001	59.629	60.07	이게.	[7]
7	13	3	AH0001	60.27	60.43	이게	[]
7	13	4	AH0001	60.531	60.751	사람이	[]
7	13	5	AH0001	60.831	61.112	습관이	[]
7	13	6	AH0001	61.192	61.432	무서운	[]
7	13	7	AH0001	61.533	62.154	거예요.	[]
7	14	1	AH0001	62.25	62.911	학교에서	[]
7	14	2	AH0001	63.051	63.371	복도에	[]
7	14	3	AH0001	63.431	63.491	다	[]
7	14	4	AH0001	63.631	63.951	좌측	[]
