uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.021	음	[]
1	1	2	AH0001	1.201	1.601	백제의	[]
1	1	3	AH0001	1.682	1.742	두	[]
1	1	4	AH0001	1.802	2.523	번째	[]
1	1	5	AH0001	2.663	3.284	도읍지였던	[]
1	1	6	AH0001	3.384	3.644	웅진	[]
1	1	7	AH0001	3.844	4.165	그래	[]
1	1	8	AH0001	4.225	4.545	그러니까	[]
1	1	9	AH0001	4.605	4.826	지금의	[]
1	1	10	AH0001	4.906	5.206	공주.	[]
1	2	1	AH0001	5.867	6.087	예	[]
1	2	2	AH0001	6.248	6.568	주요	[]
1	2	3	AH0001	6.668	7.129	유적지를	[]
1	2	4	AH0001	7.209	7.891	둘러봤는데요	[]
1	2	5	AH0001	8.331	8.512	조금	[]
1	2	6	AH0001	8.612	8.812	더	[]
1	2	7	AH0001	8.832	8.852	어	[]
1	2	8	AH0001	9.273	9.694	둘러볼	[]
1	2	9	AH0001	9.814	10.054	만한	[]
1	2	10	AH0001	10.215	10.455	귀한	[]
1	2	11	AH0001	10.555	10.656	곳	[]
1	2	12	AH0001	10.716	11.457	있을까요?	[]
2	3	1	AH0002	11.725	11.785	이	[]
2	3	2	AH0002	11.845	11.966	우리	[]
2	3	3	AH0002	12.046	12.507	금강변에	[]
2	3	4	AH0002	12.527	12.567	있는	[]
2	3	5	AH0002	12.708	12.908	이제	[]
2	3	6	AH0002	13.049	13.831	고마나루라고	[]
2	3	7	AH0002	13.851	14.352	있어요.	[1]
2	3	8	AH0002	14.372	14.392	이	[]
2	3	9	AH0002	14.512	15.134	고마라는	[]
2	3	10	AH0002	15.234	15.535	말은	[]
2	3	11	AH0002	15.796	16.137	곰의	[]
2	3	12	AH0002	16.237	16.678	옛말이예요.	[]
2	3	13	AH0002	16.799	16.819	곰.	[2]
2	4	1	AH0002	17.388	17.608	그래서	[]
2	4	2	AH0002	17.628	17.649	이	[]
2	4	3	AH0002	17.789	18.39	웅진이라는	[]
2	4	4	AH0002	18.47	18.651	말이	[]
2	4	5	AH0002	18.671	18.691	곰	[]
2	4	6	AH0002	18.891	19.212	웅	[]
2	4	7	AH0002	19.492	19.893	자에.	[]
2	4	8	AH0002	20.434	20.735	진이	[]
2	4	9	AH0002	20.895	22.258	나루라는	[3]
2	4	10	AH0002	22.278	22.378	뜻이거든요.	[]
3	5	1	AH0001	18.833	19.179	웅.	[]
3	5	2	AH0001	19.484	19.504	웅.	[]
4	6	1	AH0002	22.388	22.589	그래서	[]
4	6	2	AH0002	22.629	22.79	우리가	[]
4	6	3	AH0002	22.87	23.131	요거를	[]
4	6	4	AH0002	23.292	23.794	순우리말로	[]
4	6	5	AH0002	23.915	24.277	풀이하면.	[]
5	7	1	AH0001	24.372	25.187	곰나루네요.	[]
6	8	1	AH0002	25.188	25.509	곰나루	[]
6	8	2	AH0002	25.609	25.85	또는	[]
6	8	3	AH0002	26.03	26.552	고마나루	[]
6	8	4	AH0002	26.692	26.873	이렇게	[]
6	8	5	AH0002	27.394	27.996	되는	[]
6	8	6	AH0002	28.016	28.076	거죠.	[]
6	9	1	AH0002	28.076	28.481	그래서	[]
6	9	2	AH0002	28.542	28.562	이	[]
6	10	1	AH0002	29.779	30.52	고마가	[]
6	10	2	AH0002	30.66	31.0	사실은	[]
6	10	3	AH0002	31.06	31.221	이제	[]
6	10	4	AH0002	31.361	32.002	곰의	[]
6	10	5	AH0002	32.022	32.042	그	[]
6	10	6	AH0002	32.302	32.923	옛말이라고	[]
6	10	7	AH0002	33.043	33.663	지금	[4]
6	10	8	AH0002	33.804	34.504	말씀드렸잖아요.	[5]
6	11	1	AH0002	35.201	35.441	그래서	[]
6	11	2	AH0002	35.501	35.782	여기에	[]
6	11	3	AH0002	35.862	35.982	보면	[]
6	11	4	AH0002	36.122	36.202	또	[]
6	11	5	AH0002	36.242	36.302	이	[]
6	11	6	AH0002	36.702	36.963	곰에	[]
6	11	7	AH0002	37.023	37.303	관한	[]
6	11	8	AH0002	37.363	37.623	이런	[]
6	11	9	AH0002	37.824	37.924	또	[]
6	11	10	AH0002	38.144	38.564	설화들도	[]
6	11	11	AH0002	38.624	38.905	많이	[6]
6	11	12	AH0002	39.305	39.665	있어요.	[]
6	12	1	AH0002	40.366	40.752	그래서	[]
6	12	2	AH0002	40.793	40.813	이	[]
6	13	1	AH0002	41.871	43.557	연미산하고	[]
6	13	2	AH0002	43.617	43.817	이제	[]
6	13	3	AH0002	43.958	44.6	곰과	[]
