uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.0	오늘은	[]
1	1	2	AH0001	1.02	1.04	어	[]
1	1	3	AH0001	1.741	2.261	문화재청	[]
1	1	4	AH0001	2.421	3.522	근대문화재위원으로	[]
1	1	5	AH0001	3.602	4.043	활동하고	[]
1	1	6	AH0001	4.103	4.343	있는	[]
1	1	7	AH0001	4.563	5.243	@이름1	[]
1	1	8	AH0001	5.524	5.964	경기대	[]
1	1	9	AH0001	6.124	6.624	건축학과	[]
1	1	10	AH0001	6.704	6.945	교수	[]
1	1	11	AH0001	6.965	7.305	모시고	[]
1	1	12	AH0001	8.005	8.226	근대	[]
1	1	13	AH0001	8.306	8.746	문화유산	[]
1	1	14	AH0001	8.866	9.386	보존과	[]
1	1	15	AH0001	9.527	9.807	복원에	[]
1	1	16	AH0001	9.867	10.047	대한	[]
1	1	17	AH0001	10.087	10.507	이야기	[]
1	1	18	AH0001	10.687	11.588	나눠보겠습니다.	[]
1	2	1	AH0001	11.588	12.403	안녕하십니까?	[]
2	3	1	AH0002	12.607	12.789	네	[]
2	3	2	AH0002	12.83	13.356	안녕하십니까?	[]
3	4	1	AH0001	13.677	14.277	어	[]
3	4	2	AH0001	14.377	14.697	사실은	[]
3	4	3	AH0001	14.858	15.158	그	[]
3	4	4	AH0001	15.538	15.698	어	[]
3	4	5	AH0001	15.818	16.018	지난	[]
3	4	6	AH0001	16.098	16.198	이	[]
3	4	7	AH0001	16.278	16.398	월	[]
3	4	8	AH0001	16.458	17.039	이십칠	[]
3	4	9	AH0001	17.099	17.579	일에	[]
3	4	10	AH0001	17.759	17.979	저희가	[]
3	4	11	AH0001	18.059	18.299	전화	[]
3	4	12	AH0001	18.339	18.94	인터뷰로	[]
3	4	13	AH0001	19.28	19.64	잠깐	[]
3	4	14	AH0001	19.96	20.06	우리	[]
3	4	15	AH0001	20.08	20.1	안	[]
3	4	16	AH0001	20.22	20.56	교수님을	[]
3	4	17	AH0001	20.56	20.88	뵌	[]
3	4	18	AH0001	20.88	21.141	적이	[]
3	4	19	AH0001	21.401	21.921	있는데	[]
3	4	20	AH0001	22.721	23.142	이야기가	[]
3	4	21	AH0001	23.702	23.902	시간이	[]
3	4	22	AH0001	23.982	24.542	모잘라서	[]
3	4	23	AH0001	25.303	25.503	한번	[]
3	4	24	AH0001	25.563	26.243	모셨습니다.	[]
4	5	1	AH0002	26.423	26.667	네.	[]
4	5	2	AH0002	26.81	27.461	감사합니다.	[1]
5	6	1	AH0001	27.711	28.332	어	[]
5	6	2	AH0001	28.412	28.812	@이름1	[]
5	6	3	AH0001	28.872	29.132	경기대	[]
5	6	4	AH0001	29.192	29.633	건축학과	[]
5	6	5	AH0001	29.733	30.233	교수	[]
5	6	6	AH0001	30.854	31.294	문화재청	[]
5	6	7	AH0001	31.414	32.075	근대문화재	[]
5	6	8	AH0001	32.155	33.416	분과위원이시구요.	[]
5	7	1	AH0001	33.418	33.478	또	[]
5	7	2	AH0001	33.658	34.259	서울시	[]
5	7	3	AH0001	34.62	36.082	미래유산보존위원회	[]
5	7	4	AH0001	36.703	37.103	도시관리	[]
5	7	5	AH0001	37.163	37.884	분과위원장	[]
5	7	6	AH0001	37.904	37.924	또	[]
5	7	7	AH0001	38.706	39.066	맡고	[]
5	7	8	AH0001	39.226	39.727	있습니다.	[]
5	8	1	AH0001	39.727	40.489	어	[]
5	8	2	AH0001	40.67	41.232	근대	[]
5	8	3	AH0001	41.252	41.513	건축	[]
5	8	4	AH0001	41.553	41.874	역사를	[]
5	8	5	AH0001	41.954	42.736	연구하면서	[]
5	8	6	AH0001	43.278	43.88	이렇게	[]
5	8	7	AH0001	43.98	44.642	역사문화	[]
5	8	8	AH0001	44.743	45.465	보존활동에	[]
5	8	9	AH0001	45.645	45.986	함께	[]
5	8	10	AH0001	46.368	46.709	참여하고	[]
5	8	11	AH0001	46.769	46.989	계신	[]
5	8	12	AH0001	47.03	47.491	거죠?	[]
6	9	1	AH0002	47.491	47.732	네	[]
6	9	2	AH0002	47.813	48.476	그렇습니다.	[]
7	10	1	AH0001	49.495	50.076	어떻습니까	[]
7	10	2	AH0001	50.157	50.257	뭐	[]
7	10	3	AH0001	50.357	51.299	전공이기	[]
7	10	4	AH0001	51.42	51.72	때문에	[]
7	10	5	AH0001	51.801	52.081	연관이	[]
7	10	6	AH0001	52.101	52.562	있어서	[]
7	10	7	AH0001	52.763	53.044	하시게	[]
7	10	8	AH0001	53.104	53.184	된	[]
7	10	9	AH0001	53.244	53.645	건가요?	[]
8	11	1	AH0002	53.845	53.965	제가	[]
8	11	2	AH0002	54.046	54.246	또	[]
8	11	3	AH0002	54.487	55.089	기본적으로	[]
8	11	4	AH0002	55.15	55.551	인제	[]
8	11	5	AH0002	55.952	56.233	건축	[]
8	11	6	AH0002	56.274	56.675	역사가	[]
8	11	7	AH0002	56.755	57.297	전공인데	[2]
8	11	8	AH0002	57.859	58.461	시대적으로는	[]
8	11	9	AH0002	58.582	59.003	근현대	[]
8	11	10	AH0002	59.063	59.284	건축	[]
8	11	11	AH0002	59.324	59.625	역사가	[]
8	11	12	AH0002	59.726	60.368	전공은입니다.	[]
9	12	1	AH0001	60.369	60.798	근현대	[3]
10	13	1	AH0002	61.284	61.544	그러다	[]
10	13	2	AH0002	61.604	61.944	보니까	[]
10	13	3	AH0002	62.325	62.805	근현대	[]
10	13	4	AH0002	62.905	63.245	건축	[]
10	13	5	AH0002	63.305	63.925	역사가	[]
10	13	6	AH0002	64.065	64.506	담긴	[]
10	13	7	AH0002	64.666	65.366	건축물을	[]
10	13	8	AH0002	65.646	65.846	많이	[]
10	13	9	AH0002	65.926	66.186	다루게	[]
10	13	10	AH0002	66.246	66.767	되고	[4]
10	13	11	AH0002	66.987	67.087	그	[]
10	13	12	AH0002	67.207	67.527	근현대	[]
10	13	13	AH0002	67.587	67.887	건축	[]
10	13	14	AH0002	67.947	68.848	역사를	[]
10	13	15	AH0002	69.068	69.468	문화재로	[]
10	13	16	AH0002	69.528	69.648	하는	[]
10	13	17	AH0002	69.768	70.288	과정에서	[5]
10	13	18	AH0002	70.769	71.449	근대문화유산의	[]
10	13	19	AH0002	71.569	71.989	보존과	[]
10	13	20	AH0002	72.069	72.85	활용을	[]
10	13	21	AH0002	73.31	73.53	굉장히	[]
10	13	22	AH0002	73.67	74.09	중요한	[]
10	13	23	AH0002	74.21	74.25	그	[]
10	13	24	AH0002	74.27	74.611	이슈로	[]
10	13	25	AH0002	74.671	74.911	다루고	[]
10	13	26	AH0002	74.951	75.591	있습니다.	[6]
11	14	1	AH0001	76.236	76.797	지난번에	[]
11	14	2	AH0001	76.897	77.158	저희가	[]
11	14	3	AH0001	77.358	77.458	인제	[]
11	14	4	AH0001	77.538	77.779	라디오	[]
11	14	5	AH0001	77.819	78.3	인터뷰를	[]
11	14	6	AH0001	78.4	78.56	통해	[]
11	14	7	AH0001	78.641	79.322	가지고서도	[]
11	14	8	AH0001	79.622	79.883	저도	[]
11	14	9	AH0001	80.043	80.324	사실	[]
11	14	10	AH0001	80.825	81.165	정확한	[]
11	14	11	AH0001	81.225	81.546	개념을	[]
11	14	12	AH0001	81.626	81.867	그날	[]
11	14	13	AH0001	82.007	82.167	처음	[]
11	14	14	AH0001	82.227	82.428	알게	[]
11	14	15	AH0001	82.488	82.809	됐는데	[]
11	14	16	AH0001	82.929	83.75	적산가옥	[7]
11	14	17	AH0001	84.392	84.632	이라고	[]
11	14	18	AH0001	84.672	84.792	하는	[]
11	14	19	AH0001	84.872	85.033	말에	[]
11	14	20	AH0001	85.053	85.694	대해서요.	[]
11	15	1	AH0001	86.276	86.497	어	[]
11	15	2	AH0001	86.637	86.757	오늘	[]
11	15	3	AH0001	86.817	86.878	또	[]
11	15	4	AH0001	86.978	87.138	처음	[]
11	15	5	AH0001	87.178	87.459	들으신	[]
11	15	6	AH0001	87.539	87.74	분도	[]
11	15	7	AH0001	87.8	88.0	계실	[]
11	15	8	AH0001	88.081	88.121	것	[]
11	15	9	AH0001	88.161	88.642	같아서	[]
11	15	10	AH0001	89.324	89.404	그	[]
11	15	11	AH0001	89.464	89.945	개념에	[]
11	15	12	AH0001	90.026	90.326	대해서	[]
11	15	13	AH0001	90.387	90.447	한	[]
11	15	14	AH0001	90.527	90.707	번만	[]
11	15	15	AH0001	90.768	91.108	다시	[]
11	15	16	AH0001	91.57	91.67	좀	[]
11	15	17	AH0001	91.79	92.091	설명	[]
11	15	18	AH0001	92.231	92.913	부탁드릴까요?	[]
12	16	1	AH0002	92.913	93.093	네	[]
12	16	2	AH0002	93.234	93.514	보통	[]
12	16	3	AH0002	93.534	93.795	이제	[]
12	16	4	AH0002	93.915	94.856	적산가옥이라고	[]
12	16	5	AH0002	94.897	95.117	하면	[]
12	16	6	AH0002	95.257	96.179	일제강점기	[]
12	16	7	AH0002	96.499	96.9	때의	[]
12	16	8	AH0002	97.12	97.742	일본인들의	[]
12	16	9	AH0002	97.822	97.982	집을	[]
12	16	10	AH0002	98.062	98.803	적산가옥이다.	[]
12	16	11	AH0002	98.964	99.104	라고	[]
12	16	12	AH0002	99.164	99.665	생각하시는	[]
12	16	13	AH0002	99.765	100.126	분들이	[]
12	16	14	AH0002	100.386	100.887	많습니다.	[8]
12	17	1	AH0002	101.416	101.516	그런데	[]
12	17	2	AH0002	101.576	101.817	사실	[]
12	17	3	AH0002	101.997	102.218	크게	[]
12	17	4	AH0002	102.298	102.678	보면은	[]
12	17	5	AH0002	102.919	103.039	그	[]
12	17	6	AH0002	103.179	103.58	범주에	[]
12	17	7	AH0002	103.66	104.001	들어가는	[]
12	17	8	AH0002	104.041	104.241	것이	[]
12	17	9	AH0002	104.342	104.662	많긴	[]
12	17	10	AH0002	104.722	105.464	합니다만	[9]
12	17	11	AH0002	105.804	106.345	정확하게	[]
12	17	12	AH0002	106.446	107.207	적산가옥은	[]
12	17	13	AH0002	107.808	108.089	적의	[]
12	17	14	AH0002	108.169	108.63	재산이라는	[]
12	17	15	AH0002	108.69	109.251	뜻이고요.	[]
13	18	1	AH0001	109.252	109.456	적의	[]
13	18	2	AH0001	109.6	109.763	재산	[10]
14	19	1	AH0002	110.082	110.423	적의	[11]
14	19	2	AH0002	110.503	110.985	재산이라고	[]
14	19	3	AH0002	111.045	111.206	말할	[]
14	19	4	AH0002	111.306	111.366	때	[]
14	19	5	AH0002	111.447	111.667	적의	[]
14	19	6	AH0002	111.708	112.049	재산은	[]
14	19	7	AH0002	112.45	112.631	프라하	[]
14	19	8	AH0002	112.711	112.932	포트	[]
14	19	9	AH0002	113.012	113.935	어브애님이라고	[]
14	19	10	AH0002	113.995	114.256	해서	[12]
14	19	11	AH0002	114.818	115.26	영어를	[]
14	19	12	AH0002	115.38	115.782	번역한	[]
14	19	13	AH0002	115.842	116.203	말입니다.	[13]
14	20	1	AH0002	116.204	117.526	이	[]
14	20	2	AH0002	117.666	118.106	영어의	[]
14	20	3	AH0002	118.286	118.747	번역이	[]
14	20	4	AH0002	118.827	119.087	왜	[]
14	20	5	AH0002	119.308	119.668	우리한테	[]
14	20	6	AH0002	119.788	120.109	일반화	[]
14	20	7	AH0002	120.169	120.609	됐냐면	[]
14	20	8	AH0002	121.09	121.43	사실	[]
14	20	9	AH0002	121.53	121.811	우리가	[]
14	20	10	AH0002	121.871	122.651	천구백사십오	[]
14	20	11	AH0002	122.712	122.912	년에	[]
14	20	12	AH0002	123.032	123.352	해방이	[]
14	20	13	AH0002	123.432	123.753	되었을	[]
14	20	14	AH0002	123.913	124.313	때	[14]
14	20	15	AH0002	124.734	126.095	일제로부터는	[]
14	20	16	AH0002	126.256	126.516	해방	[]
14	20	17	AH0002	126.576	127.077	되었지만	[]
14	20	18	AH0002	127.557	127.757	사실	[]
14	20	19	AH0002	127.837	128.038	우리가	[]
14	20	20	AH0002	128.058	128.358	아직은	[]
14	20	21	AH0002	128.478	128.899	독립한	[]
14	20	22	AH0002	128.959	129.299	상태가	[]
14	20	23	AH0002	129.319	129.559	아니고	[15]
14	21	1	AH0002	130.001	131.104	미군이	[]
14	21	2	AH0002	131.745	132.227	일본에	[]
14	21	3	AH0002	132.327	132.567	대한	[]
14	21	4	AH0002	132.748	133.51	전승국의	[]
14	21	5	AH0002	133.59	134.292	위치에서	[]
14	21	6	AH0002	134.312	134.332	이	[]
14	21	7	AH0002	134.673	134.873	땅에	[]
14	21	8	AH0002	134.973	135.254	들어오게	[]
14	21	9	AH0002	135.294	135.595	되죠.	[]
14	22	1	AH0002	135.649	136.47	그래서	[16]
14	22	2	AH0002	136.79	137.09	미국	[]
14	22	3	AH0002	137.17	137.751	입장에서	[]
14	22	4	AH0002	138.351	139.112	일본인들이	[]
14	22	5	AH0002	139.192	139.572	남긴	[]
14	22	6	AH0002	139.712	140.273	재산을	[]
14	22	7	AH0002	140.593	141.093	관리해야	[]
14	22	8	AH0002	141.194	141.254	될	[]
14	22	9	AH0002	141.434	141.834	때	[17]
14	22	10	AH0002	142.014	142.114	그	[]
14	22	11	AH0002	142.254	142.735	관리를	[]
14	22	12	AH0002	143.556	144.396	일본인들의	[]
14	22	13	AH0002	144.496	144.977	재산을	[]
14	22	14	AH0002	145.217	145.697	자신들의	[]
14	22	15	AH0002	145.777	146.218	적이었기	[]
14	22	16	AH0002	146.338	146.518	때문에	[]
14	22	17	AH0002	146.618	146.978	일본이	[]
14	22	18	AH0002	146.998	147.639	그것을	[18]
14	22	19	AH0002	147.759	147.999	적의	[]
14	22	20	AH0002	148.059	148.48	재산이라고	[]
14	22	21	AH0002	148.52	148.6	한	[]
14	22	22	AH0002	148.66	149.0	거죠.	[19]
14	23	1	AH0002	149.001	149.321	그래서	[]
14	23	2	AH0002	149.461	150.062	엄격하게	[]
14	23	3	AH0002	150.122	150.422	말하면	[]
14	23	4	AH0002	150.522	151.282	적산가옥은	[]
14	23	5	AH0002	151.823	152.423	일본인이	[]
14	23	6	AH0002	152.543	153.344	소유했다면	[]
14	23	7	AH0002	153.984	154.444	일본식	[]
14	23	8	AH0002	154.544	154.864	건물일	[]
14	23	9	AH0002	154.985	155.085	수도	[]
14	23	10	AH0002	155.105	155.665	있고	[20]
14	23	11	AH0002	155.785	156.165	서양식	[]
14	23	12	AH0002	156.265	156.565	건물일	[]
14	23	13	AH0002	156.666	156.786	수도	[]
14	23	14	AH0002	156.806	157.106	있고	[21]
14	23	15	AH0002	157.186	157.706	심지어는	[]
14	23	16	AH0002	157.906	158.427	한옥이라고	[]
14	23	17	AH0002	158.487	158.967	하더라도	[]
14	23	18	AH0002	159.527	159.967	일본인	[]
14	23	19	AH0002	160.108	160.668	소유했으면	[]
14	23	20	AH0002	160.808	161.148	그것이	[]
14	23	21	AH0002	161.248	161.909	적산가옥이	[]
14	23	22	AH0002	161.949	162.089	되는	[]
14	23	23	AH0002	162.149	162.509	겁니다.	[]
15	24	1	AH0001	162.334	162.554	네	[]
15	24	2	AH0001	163.175	163.255	자	[]
15	24	3	AH0001	163.355	163.636	그러니까	[]
15	24	4	AH0001	163.716	163.936	거기서	[]
15	24	5	AH0001	164.176	164.937	적이라고	[]
15	24	6	AH0001	165.017	165.217	하는	[]
15	24	7	AH0001	165.338	166.018	것이	[]
15	24	8	AH0001	166.799	167.12	어	[]
15	24	9	AH0001	167.34	167.64	우리	[]
15	24	10	AH0001	168.321	168.501	우리	[]
15	24	11	AH0001	168.601	168.962	한국	[]
15	24	12	AH0001	169.202	169.723	사람이	[]
15	24	13	AH0001	169.863	170.123	일본	[]
15	24	14	AH0001	170.223	170.644	사람을	[]
15	24	15	AH0001	170.824	171.124	불러서	[]
15	24	16	AH0001	171.264	171.745	적이라고	[]
15	24	17	AH0001	171.785	171.925	하는	[]
15	24	18	AH0001	171.985	172.065	게	[]
15	24	19	AH0001	172.105	172.406	아니고	[]
16	25	1	AH0002	173.251	173.652	우리는	[]
16	25	2	AH0002	174.034	174.275	일본도	[]
16	25	3	AH0002	174.355	174.576	우리의	[]
