bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	21.737	22.312	CONTINUER	음.	[2]	[4]	[21]
2	DG0001	29.068	29.623	CONTINUER	음.	[2]	[5]	[3]
3	DG0001	35.715	36.145	CONTINUER	음.	[2]	[6]	[1]
4	DG0001	48.795	49.27	CONTINUER	네.	[2]	[7]	[2]
5	DG0001	52.465	53.395	CONTINUER	음.	[2]	[7]	[10]
6	DG0001	56.7	57.415	ASSESSMENT	크으.	[2]	[7]	[15]
7	DG0001	58.558	59.648	CONTINUER	네.	[2]	[7]	[19]
8	DG0001	72.784	73.744	CONTINUER	음.	[2]	[9]	[9]
9	DG0001	78.301	78.791	CONTINUER	음.	[2]	[10]	[1]
10	DG0002	87.163	87.598	CONTINUER	네.	[3]	[11]	[5]
11	DG0002	96.082	96.307	CONTINUER	네.	[3]	[13]	[9]
12	DG0001	107.84	108.355	CONTINUER	네.	[6]	[17]	[1]
13	DG0002	110.64	110.86	CONTINUER	네.	[7]	[18]	[7]
14	DG0001	120.613	121.258	ASSESSMENT	허어.	[8]	[20]	[1]
15	DG0002	129.011	129.136	CONTINUER	네.	[9]	[22]	[5]
16	DG0001	134.117	134.552	CONTINUER	음.	[10]	[23]	[5]
17	DG0001	137.722	138.137	CONTINUER	예.	[10]	[23]	[12]
18	DG0001	144.679	146.259	CONTINUER	으어. 음.	[12]	[25]	[1]
19	DG0001	150.264	151.089	CONTINUER	으흠. 음.	[12]	[25]	[10]
20	DG0001	155.029	155.559	CONTINUER	음.	[12]	[26]	[4]
21	DG0001	156.979	158.379	CONTINUER	음. 음.	[12]	[26]	[7]
22	DG0001	159.979	160.264	CONTINUER	네.	[12]	[26]	[13]
23	DG0001	166.729	167.704	CONTINUER	예.	[12]	[27]	[13]
