uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.825	2.51	감칠맛	[]
1	1	2	DG0001	2.63	3.131	가득한	[]
1	1	3	DG0001	3.252	3.553	고전	[]
1	1	4	DG0001	3.573	4.094	이야기가	[]
1	1	5	DG0001	4.295	4.575	귀와	[]
1	1	6	DG0001	4.676	4.936	마음을	[]
1	1	7	DG0001	4.997	5.418	사로잡는	[]
1	1	8	DG0001	5.498	5.779	시간	[]
1	1	9	DG0001	5.979	6.32	@이름1	[]
1	1	10	DG0001	6.36	6.741	박사에	[]
1	1	11	DG0001	6.822	7.343	은밀한	[]
1	1	12	DG0001	7.504	7.684	고전	[]
1	2	1	DG0001	8.545	8.765	고전	[]
1	2	2	DG0001	8.826	9.166	문학자	[]
1	2	3	DG0001	9.226	9.427	이자	[]
1	2	4	DG0001	9.547	9.828	구수한	[]
1	2	5	DG0001	9.908	10.489	이야기꾼	[]
1	2	6	DG0001	10.749	11.27	연세대학교	[]
1	2	7	DG0001	11.29	11.431	학부	[]
1	2	8	DG0001	11.491	11.751	대학에	[]
1	2	9	DG0001	11.811	12.172	@이름1	[]
1	2	10	DG0001	12.232	12.352	님	[]
1	2	11	DG0001	12.393	13.034	모셨습니다	[]
1	2	12	DG0001	13.114	13.675	안녕하세요.	[]
2	3	1	DG0002	13.749	14.157	안녕하세요.	[]
3	4	1	DG0001	14.604	15.024	예	[]
3	4	2	DG0001	15.144	15.445	연휴	[]
3	4	3	DG0001	15.545	16.385	잘	[]
3	4	4	DG0001	16.485	17.266	보내셨습니까	[]
3	4	5	DG0001	17.666	17.766	원래	[]
3	4	6	DG0001	17.786	18.066	학교	[]
3	4	7	DG0001	18.086	18.287	일이	[]
3	4	8	DG0001	18.307	18.507	요새	[]
3	4	9	DG0001	18.607	18.747	되게	[]
3	4	10	DG0001	18.807	19.447	바쁘신데	[]
3	4	11	DG0001	19.948	20.288	연휴는	[]
3	4	12	DG0001	20.368	20.468	좀	[]
3	4	13	DG0001	20.588	21.088	숨통이	[]
3	4	14	DG0001	21.109	21.589	트이셨어요?	[]
4	5	1	DG0002	22.177	22.818	사실은	[1]
4	5	2	DG0002	23.419	23.439	그	[]
4	5	3	DG0002	23.659	24.4	연휴냐	[]
4	5	4	DG0002	24.56	24.88	연휴가	[]
4	5	5	DG0002	24.92	25.401	아니냐는	[]
4	5	6	DG0002	25.501	25.621	별로	[]
4	5	7	DG0002	25.741	25.842	큰	[]
4	5	8	DG0002	25.862	26.082	의미가	[]
4	5	9	DG0002	26.122	26.502	없구요	[2]
4	5	10	DG0002	26.863	27.464	방학이냐	[]
4	5	11	DG0002	27.584	27.884	방학이	[]
4	5	12	DG0002	27.904	28.245	아니냐도	[]
4	5	13	DG0002	28.305	28.425	거의	[]
4	5	14	DG0002	28.505	28.745	큰	[]
4	5	15	DG0002	28.805	29.006	의미가	[]
4	5	16	DG0002	29.066	29.406	없습니다.	[]
