bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	6.427	6.862	CONTINUER	예.	[2]	[3]	[2]
2	AH0001	42.915	43.53	CONTINUER	네네.	[4]	[7]	[9]
3	AH0001	54.87	55.265	CONTINUER	아.	[4]	[9]	[12]
4	AH0001	102.92	104.702	ASSESSMENT	허. 오.	[6]	[16]	[12]
5	AH0001	132.153	134.148	ASSESSMENT	허. 아.	[8]	[21]	[11]
6	AH0001	183.165	183.605	CONTINUER	아.	[12]	[30]	[1]
7	AH0001	194.559	195.319	CONTINUER	예.	[12]	[31]	[11]
8	AH0001	202.867	203.326	CONTINUER	아.	[12]	[32]	[14]
9	AH0001	214.772	215.488	CONTINUER	네네.	[12]	[33]	[21]
10	AH0002	240.391	240.706	CONTINUER	네.	[13]	[37]	[17]
