bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	2.49	2.75	CONTINUER	음음.	[1]	[1]	[6]
2	AH0002	5.235	5.515	CONTINUER	예.	[1]	[1]	[14]
3	AH0002	15.164	15.374	CONTINUER	음.	[1]	[2]	[5]
4	AH0001	27.488	27.863	CONTINUER	음.	[2]	[4]	[6]
5	AH0001	37.804	38.294	UNDERSTANDING	음.	[2]	[5]	[17]
6	AH0002	56.699	56.989	CONTINUER	어.	[5]	[10]	[3]
7	AH0001	66.837	67.202	CONTINUER	네.	[6]	[12]	[4]
8	AH0001	68.558	68.768	CONTINUER	네.	[6]	[13]	[5]
9	AH0001	71.168	71.448	CONTINUER	네.	[6]	[13]	[13]
10	AH0002	90.535	90.86	AFFIRMATIVE	그쵸.	[9]	[17]	[10]
11	AH0001	93.956	94.211	CONTINUER	네.	[10]	[20]	[1]
12	AH0002	104.448	105.523	CONTINUER	음. 음. 음.	[11]	[21]	[11]
13	AH0001	115.838	116.003	CONTINUER	네.	[12]	[24]	[1]
14	AH0001	121.353	121.683	CONTINUER	네.	[12]	[24]	[16]
15	AH0001	139.216	139.546	CONTINUER	네.	[12]	[26]	[29]
16	AH0002	149.707	150.692	CONTINUER	음. 음.	[15]	[30]	[3]
17	AH0002	154.19	154.515	CONTINUER	음.	[15]	[31]	[5]
18	AH0002	159.25	159.545	CONTINUER	으음.	[15]	[31]	[13]
19	AH0002	166.296	168.341	AFFIRMATIVE	그쵸. 맞아요. 맞아요. 음.	[17]	[33]	[1]
20	AH0002	170.716	171.441	CONTINUER	음. 음.	[17]	[34]	[5]
21	AH0002	181.075	181.21	CONTINUER	음.	[17]	[35]	[22]
22	AH0002	183.04	183.43	ASSESSMENT	오.	[17]	[35]	[27]
23	AH0001	197.382	197.777	UNDERSTANDING	음.	[22]	[40]	[14]
24	AH0001	204.252	204.477	CONTINUER	음.	[22]	[41]	[19]
25	AH0001	207.268	207.823	UNDERSTANDING	음.	[22]	[42]	[6]
26	AH0001	213.373	213.713	CONTINUER	네.	[22]	[44]	[1]
27	AH0001	218.211	218.401	CONTINUER	네.	[22]	[45]	[1]
28	AH0002	226.508	226.693	CONTINUER	음.	[23]	[47]	[2]
29	AH0002	229.433	229.678	CONTINUER	음.	[23]	[47]	[10]
30	AH0002	238.442	239.537	CONTINUER	음. 음. 음.	[25]	[49]	[8]
31	AH0002	243.112	243.377	AFFIRMATIVE	그쵸.	[25]	[49]	[15]
32	AH0002	246.235	246.79	AFFIRMATIVE	그쵸그쵸.	[25]	[50]	[5]
33	AH0001	251.358	251.858	CONTINUER	네.	[26]	[51]	[10]
34	AH0002	255.007	255.262	CONTINUER	음.	[27]	[53]	[5]
35	AH0002	283.977	284.152	CONTINUER	음.	[29]	[59]	[2]
