uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.634	1.977	그	[]
1	1	2	DG0001	2.438	2.738	포털을	[]
1	1	3	DG0001	2.819	3.32	통해서	[]
1	1	4	DG0001	3.38	3.741	이렇게	[]
1	1	5	DG0001	4.262	4.602	올라오는	[]
1	1	6	DG0001	4.703	5.103	사진들	[]
1	1	7	DG0001	5.143	5.564	있잖아요.	[1]
1	1	8	DG0001	5.665	6.486	그런	[]
1	1	9	DG0001	6.546	6.907	것들은	[]
1	1	10	DG0001	7.208	7.388	매우	[]
1	1	11	DG0001	7.589	8.35	씨크하고	[2]
1	1	12	DG0001	9.052	9.192	그리고	[]
1	1	13	DG0001	9.292	9.733	뭔가	[]
1	1	14	DG0001	10.054	10.074	좀	[]
1	2	1	DG0001	11.241	12.063	쎄련되고	[3]
1	2	2	DG0001	12.384	12.584	그래서	[]
1	2	3	DG0001	12.685	13.106	다가가기	[]
1	2	4	DG0001	13.166	13.487	힘든	[]
1	2	5	DG0001	13.567	14.91	느낌이었어거든요.	[]
1	2	6	DG0001	14.93	15.091	근데	[]
1	2	7	DG0001	15.131	15.973	만나자마자	[]
1	2	8	DG0001	16.495	16.695	벽이	[]
1	2	9	DG0001	16.795	16.855	딱	[]
1	2	10	DG0001	16.916	17.678	허물어지면서	[]
1	2	11	DG0001	17.818	18.199	친근하게	[]
1	2	12	DG0001	18.239	18.52	다가갈	[]
1	2	13	DG0001	18.58	18.62	수	[]
1	2	14	DG0001	18.64	18.8	있을	[]
1	2	15	DG0001	18.861	18.921	거	[]
1	2	16	DG0001	18.941	19.402	같아요.	[]
2	3	1	DG0002	19.573	19.859	아유	[]
2	3	2	DG0002	19.879	20.574	감사합니다	[]
2	3	3	DG0002	20.615	20.635	네.	[]
3	4	1	DG0001	20.635	20.819	전	[]
3	4	2	DG0001	20.86	21.637	어떤가요?	[]
4	5	1	DG0002	21.637	22.038	아유	[]
4	5	2	DG0002	22.058	22.7	좋으세요	[]
4	5	3	DG0002	22.84	23.061	예	[]
4	5	4	DG0002	23.221	23.442	너무	[]
4	5	5	DG0002	23.542	23.762	인상이	[]
4	5	6	DG0002	23.802	24.404	좋으시구요.	[]
5	6	1	DG0001	24.402	24.542	그죠?	[]
5	6	2	DG0001	24.743	24.923	제가	[]
5	6	3	DG0001	24.983	25.083	지금	[]
5	6	4	DG0001	25.123	25.203	한	[]
5	6	5	DG0001	25.263	25.344	삼	[]
5	6	6	DG0001	25.424	25.584	분의	[]
5	6	7	DG0001	25.624	25.764	일을	[]
5	6	8	DG0001	25.824	26.165	마스크로	[4]
5	6	9	DG0001	26.225	26.385	가리고	[]
5	6	10	DG0001	26.425	26.626	있어가지고	[]
5	6	11	DG0001	26.946	30.011	좋으시죠	[]
5	6	12	DG0001	30.192	30.252	다예요	[]
5	6	13	DG0001	30.272	30.292	끝?	[]
6	7	1	DG0002	30.503	32.086	아예	[]
6	7	2	DG0002	32.347	32.728	예	[]
6	7	3	DG0002	32.788	33.069	마스크를	[]
6	7	4	DG0002	33.149	33.329	쓰신	[]
6	7	5	DG0002	33.389	33.75	상태라	[]
6	7	6	DG0002	33.83	34.011	제가	[]
6	7	7	DG0002	34.111	34.291	지금	[]
6	7	8	DG0002	34.412	34.933	예	[5]
6	7	9	DG0002	35.173	35.654	뭐든	[]
6	7	10	DG0002	35.835	36.356	좋으십니다.	[]
6	7	11	DG0002	36.616	36.837	느낌이	[]
6	7	12	DG0002	36.897	36.957	참	[]
6	7	13	DG0002	37.037	37.338	좋네요.	[]
7	8	1	DG0001	37.47	38.311	감사합니다.	[]
7	8	2	DG0001	38.772	38.953	이렇게	[]
7	8	3	DG0001	39.013	39.253	그냥	[]
7	8	4	DG0001	39.333	39.453	막	[]
7	8	5	DG0001	39.774	40.195	마구잡이로	[]
7	8	6	DG0001	40.275	40.495	들이대	[]
7	8	7	DG0001	40.555	41.076	보았어요.	[]
7	8	8	DG0001	41.176	41.337	예	[]
7	8	9	DG0001	41.938	42.078	이제	[]
7	8	10	DG0001	42.098	42.739	이야기를	[]
7	8	11	DG0001	42.759	43.16	차차	[]
7	8	12	DG0001	43.2	43.881	나누면서	[]
7	8	13	DG0001	44.061	44.202	또	[]
7	8	14	DG0001	44.442	44.602	끝날	[]
7	8	15	DG0001	44.702	45.404	때쯤이면	[]
7	8	16	DG0001	45.985	46.325	가시기	[]
7	8	17	DG0001	46.345	46.946	아쉽도록	[6]
7	8	18	DG0001	47.207	47.307	예	[]
7	8	19	DG0001	47.427	47.587	제가	[]
7	8	20	DG0001	47.688	47.828	잘	[]
7	8	21	DG0001	47.908	48.349	모셔보도록	[]
7	8	22	DG0001	48.409	49.09	하겠습니다.	[]
7	9	1	DG0001	49.734	50.335	이천이십일	[]
7	9	2	DG0001	50.395	50.495	년	[]
7	9	3	DG0001	50.555	50.796	새해가	[]
7	9	4	DG0001	50.856	51.497	밝았습니다	[]
7	9	5	DG0001	51.838	51.938	예	[]
