uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.549	여러분	[]
1	1	2	AH0001	0.569	1.098	안녕하십니까.	[]
1	2	1	AH0001	1.423	1.646	이비에스	[]
1	2	2	AH0001	1.706	2.03	초대석의	[]
1	3	1	AH0001	3.022	4.386	지구촌의	[]
1	3	2	AH0001	4.547	4.747	크고	[]
1	3	3	AH0001	4.828	5.068	작은	[]
1	3	4	AH0001	5.108	5.229	일이	[]
1	3	5	AH0001	5.269	5.429	있을	[]
1	3	6	AH0001	5.49	5.77	때마다	[]
1	3	7	AH0001	5.871	6.152	우리는	[]
1	3	8	AH0001	6.252	6.673	유엔에	[]
1	3	9	AH0001	6.834	7.135	주목을	[]
1	3	10	AH0001	7.155	7.315	하게	[]
1	3	11	AH0001	7.396	7.877	됩니다.	[]
1	4	1	AH0001	7.878	8.479	지금도	[]
1	4	2	AH0001	8.919	9.279	일본의	[]
1	4	3	AH0001	9.359	9.74	재해나	[]
1	4	4	AH0001	9.88	10.48	북아프리카의	[]
1	4	5	AH0001	10.58	10.841	사태	[]
1	4	6	AH0001	10.921	11.381	등에서	[]
1	4	7	AH0001	11.862	12.222	@이름1	[]
1	4	8	AH0001	12.282	12.702	총장께서	[]
1	4	9	AH0001	12.762	13.283	동분서주하고	[]
1	4	10	AH0001	13.323	13.863	계십니다만	[]
1	4	11	AH0001	14.744	14.844	이	[]
1	4	12	AH0001	14.904	15.185	아시아	[]
1	4	13	AH0001	15.245	15.705	태평양	[]
1	4	14	AH0001	15.805	16.306	지역의	[]
1	4	15	AH0001	16.546	17.387	정보통신	[]
1	4	16	AH0001	17.407	17.787	격차	[]
1	4	17	AH0001	17.807	18.087	해소를	[]
1	4	18	AH0001	18.167	19.468	위해서	[]
1	4	19	AH0001	19.488	19.709	유엔을	[]
1	4	20	AH0001	19.769	20.009	대표해서	[]
1	4	21	AH0001	20.129	20.309	뛰는	[]
1	4	22	AH0001	20.389	20.529	분이	[]
1	4	23	AH0001	20.589	21.25	계십니다.	[]
1	5	1	AH0001	21.25	21.956	오늘	[]
1	5	2	AH0001	22.279	22.622	함께해	[]
1	5	3	AH0001	22.662	23.853	만나보겠습니다.	[]
1	6	1	AH0001	23.853	24.494	아시아	[]
1	6	2	AH0001	24.594	25.174	태평양	[]
1	6	3	AH0001	25.394	26.736	정보통신교육원에	[]
1	6	4	AH0001	27.056	27.476	@이름2	[]
1	6	5	AH0001	27.637	28.297	원장님을	[]
1	6	6	AH0001	28.417	29.118	초대했습니다.	[]
1	7	1	AH0001	29.119	29.966	어서오세요.	[]
2	8	1	AH0002	29.966	30.129	예	[]
2	8	2	AH0002	30.211	30.824	안녕하세요.	[]
3	9	1	AH0001	30.822	31.68	고맙습니다.	[]
3	10	1	AH0001	31.68	32.101	근데	[]
3	10	2	AH0001	32.122	32.262	유엔	[]
3	10	3	AH0001	32.443	32.965	사무처	[]
3	10	4	AH0001	33.085	33.386	기구가	[]
3	10	5	AH0001	33.466	33.928	우리나라에	[]
3	10	6	AH0001	33.988	34.791	있습니까.	[]
4	11	1	AH0002	35.116	35.537	예	[]
4	11	2	AH0002	35.558	35.578	어	[]
4	11	3	AH0002	36.079	36.4	저희	[]
4	11	4	AH0002	36.581	36.762	유엔	[]
4	11	5	AH0002	36.862	38.427	아태정보통신교육원은	[]
4	11	6	AH0002	38.447	38.809	유엔	[1]
4	11	7	AH0002	39.451	40.153	사무국	[]
4	11	8	AH0002	40.434	41.518	산하입니다.	[2]
4	12	1	AH0002	41.518	41.698	좀	[]
4	12	2	AH0002	41.919	42.019	더	[]
4	12	3	AH0002	42.119	42.52	정확하게	[]
4	12	4	AH0002	42.58	43.382	말씀드리면은	[]
4	12	5	AH0002	43.402	43.442	이제	[]
4	12	6	AH0002	44.344	44.544	유엔	[]
4	12	7	AH0002	44.685	45.046	사무국	[]
4	12	8	AH0002	45.206	45.687	산하에	[]
4	12	9	AH0002	45.867	46.368	대륙마다	[]
4	12	10	AH0002	46.428	46.569	데리고	[]
4	12	11	AH0002	46.689	47.01	본부가	[]
4	12	12	AH0002	47.05	47.631	있습니다.	[3]
4	13	1	AH0002	48.167	48.327	그래서	[]
4	13	2	AH0002	48.408	49.491	아시아태평양	[]
4	13	3	AH0002	49.591	49.731	대륙	[]
4	13	4	AH0002	49.852	50.333	본부는	[]
4	13	5	AH0002	50.874	51.616	에스캅이라고	[]
4	13	6	AH0002	51.777	52.158	유엔	[]
4	13	7	AH0002	52.338	52.88	아태	[]
4	13	8	AH0002	53.461	53.682	어	[]
4	13	9	AH0002	53.802	54.905	경제사회위원회라고	[]
4	13	10	AH0002	54.945	56.028	있습니다.	[4]
4	14	1	AH0002	56.029	56.25	그게	[]
4	14	2	AH0002	56.31	56.592	이제	[]
4	14	3	AH0002	56.732	56.973	저희	[]
4	14	4	AH0002	57.215	57.777	교육기관이	[]
4	14	5	AH0002	57.898	58.099	소속	[]
4	14	6	AH0002	58.179	58.48	기관으로	[]
4	14	7	AH0002	58.541	58.641	되어	[]
4	14	8	AH0002	58.681	59.465	있습니다.	[]
5	15	1	AH0001	59.466	59.931	기구	[]
