uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	1.081	네	[]
1	1	2	DG0001	1.643	1.963	서울시가	[]
1	1	3	DG0001	2.003	2.765	연말까지	[]
1	1	4	DG0001	3.026	3.627	대대적인	[]
1	1	5	DG0001	3.767	4.108	온라인	[]
1	1	6	DG0001	4.188	4.349	소비	[]
1	1	7	DG0001	4.429	4.81	캠페인을	[]
1	1	8	DG0001	4.91	5.451	펼쳐서	[]
1	1	9	DG0001	5.471	5.491	어	[]
1	1	10	DG0001	6.193	6.414	코로나	[]
1	1	11	DG0001	6.474	6.694	때문에	[]
1	1	12	DG0001	6.734	7.035	위축된	[]
1	1	13	DG0001	7.115	7.436	경제에	[]
1	1	14	DG0001	7.556	7.717	새	[]
1	1	15	DG0001	7.737	8.097	활력을	[]
1	1	16	DG0001	8.198	8.819	불어넣겠다고	[]
1	1	17	DG0001	8.879	9.1	발표를	[]
1	1	18	DG0001	9.12	9.661	했는데요.	[]
1	2	1	DG0001	9.661	10.103	구체적인	[]
1	2	2	DG0001	10.163	10.303	내용	[]
1	2	3	DG0001	10.363	10.424	좀	[]
1	2	4	DG0001	10.464	11.367	알아보겠습니다	[]
1	2	5	DG0001	11.547	12.129	@이름4	[]
1	2	6	DG0001	12.29	12.631	서울시	[]
1	2	7	DG0001	12.691	13.013	경제	[]
1	2	8	DG0001	13.073	13.294	정책	[]
1	2	9	DG0001	13.374	13.755	팀장	[]
1	2	10	DG0001	13.795	14.297	연결합니다	[]
1	2	11	DG0001	14.337	14.839	안녕하세요.	[]
2	3	1	DG0002	15.181	15.863	네	[]
2	3	2	DG0002	15.884	16.566	안녕하세요.	[]
3	4	1	DG0001	16.566	16.927	예	[]
3	4	2	DG0001	17.107	17.427	서울시가	[]
3	4	3	DG0001	17.467	17.888	대대적인	[]
3	4	4	DG0001	17.988	18.429	온라인	[]
3	4	5	DG0001	18.529	18.75	소비	[]
3	4	6	DG0001	18.77	19.25	캠페인에	[]
3	4	7	DG0001	19.29	19.731	나섰다고	[]
3	4	8	DG0001	19.771	20.352	하는데	[]
3	4	9	DG0001	20.452	20.733	어떤	[]
3	4	10	DG0001	20.813	21.334	내용인지	[]
3	4	11	DG0001	21.414	21.514	좀	[]
3	4	12	DG0001	21.554	21.835	설명해	[]
3	4	13	DG0001	21.895	22.736	주세요.	[]
4	5	1	DG0002	22.736	23.277	예	[]
4	5	2	DG0002	23.778	23.878	잘	[]
4	5	3	DG0002	23.918	24.439	아시겠지만	[]
4	5	4	DG0002	24.459	24.639	이제	[]
4	5	5	DG0002	24.819	25.2	코로나가	[]
4	5	6	DG0002	25.28	26.201	발생하고	[]
4	5	7	DG0002	26.362	26.602	요즘	[]
4	5	8	DG0002	26.682	27.003	뭐	[]
4	5	9	DG0002	27.023	27.604	재확산과	[]
4	5	10	DG0002	27.684	27.884	다시	[]
4	5	11	DG0002	28.004	28.265	진정	[]
4	5	12	DG0002	28.345	28.605	기미를	[]
4	5	13	DG0002	28.725	28.986	보이고	[]
4	5	14	DG0002	29.046	29.407	있는데	[]
4	6	1	DG0002	29.687	30.171	이게	[]
4	6	2	DG0002	30.252	30.474	계속	[]
4	6	3	DG0002	30.554	31.099	장기화되고	[]
4	6	4	DG0002	31.139	31.32	있지	[]
4	6	5	DG0002	31.341	31.784	않습니까?	[1]
4	7	1	DG0002	32.646	32.867	사실	[]
4	7	2	DG0002	32.887	33.068	그래서	[]
4	7	3	DG0002	33.148	33.329	인제	[]
4	7	4	DG0002	33.449	34.132	소비가	[]
4	7	5	DG0002	34.252	34.493	많이	[]
4	7	6	DG0002	34.553	35.115	위축되고	[]
4	7	7	DG0002	35.537	35.678	되고	[]
4	7	8	DG0002	35.718	35.838	있는	[]
4	7	9	DG0002	35.959	36.521	상황에서	[]
4	7	10	DG0002	36.641	36.922	저희가	[]
4	7	11	DG0002	36.983	37.264	이번에	[]
4	7	12	DG0002	37.324	37.404	백	[]
4	7	13	DG0002	37.465	37.565	일	[]
4	7	14	DG0002	37.645	37.665	간	[]
4	8	1	DG0002	38.369	39.251	온라인	[]
4	8	2	DG0002	39.392	39.592	소비	[]
4	8	3	DG0002	39.673	40.074	캠페인	[]
4	8	4	DG0002	40.254	40.375	온	[]
4	8	5	DG0002	40.455	40.635	서울	[]
4	8	6	DG0002	40.695	40.896	마켓	[]
4	8	7	DG0002	40.956	41.117	이란	[]
4	8	8	DG0002	41.157	41.237	걸	[]
4	8	9	DG0002	41.317	41.758	시작하게	[2]
4	8	10	DG0002	42.18	42.36	되었습니다.	[]
4	9	1	DG0002	43.111	44.033	주목적은	[]
4	9	2	DG0002	44.193	44.474	저희가	[]
