uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	1.142	지금	[]
1	1	2	AH0001	1.343	1.523	그	[]
1	1	3	AH0001	1.663	2.425	국립암센터가	[]
1	1	4	AH0001	2.525	2.785	열심히	[]
1	1	5	AH0001	2.905	3.346	노력하고	[]
1	1	6	AH0001	3.426	3.727	계시고	[]
1	1	7	AH0001	3.807	3.867	또	[]
1	1	8	AH0001	3.967	4.228	많은	[]
1	1	9	AH0001	4.569	4.629	그	[]
1	1	10	AH0001	4.669	5.29	의료인들도	[]
1	1	11	AH0001	5.47	5.611	애를	[]
1	1	12	AH0001	5.731	6.813	써주시십니다만은	[]
1	1	13	AH0001	6.973	7.153	암은	[]
1	1	14	AH0001	7.274	7.554	자꾸	[]
1	1	15	AH0001	7.614	8.336	왜늘어나는지	[]
1	1	16	AH0001	8.396	8.897	모르겠어요	[]
1	1	17	AH0001	8.917	9.177	지금	[]
1	1	18	AH0001	9.197	9.478	추세가	[]
1	1	19	AH0001	9.498	9.859	어떻습니까?	[]
2	2	1	AH0002	10.185	10.466	암은	[]
2	2	2	AH0002	10.526	10.767	계속	[]
2	2	3	AH0002	10.847	11.268	늘어날	[]
2	2	4	AH0002	11.288	11.67	겁니다	[]
2	2	5	AH0002	12.512	12.532	예	[]
2	2	6	AH0002	12.673	13.034	늘어나게	[]
2	2	7	AH0002	13.475	14.278	되는데	[]
2	3	1	AH0002	14.298	15.103	암이	[]
2	3	2	AH0002	15.163	15.364	걸릴	[]
2	3	3	AH0002	15.485	15.807	때까지	[]
2	3	4	AH0002	15.867	16.209	산다는	[]
2	3	5	AH0002	16.229	17.094	겁니다.	[1]
2	4	1	AH0002	18.034	18.094	제	[]
2	4	2	AH0002	18.194	18.956	나이도	[]
2	4	3	AH0002	18.976	19.176	인제	[]
2	4	4	AH0002	19.216	19.497	작년에	[]
2	4	5	AH0002	19.557	19.757	육십	[]
2	4	6	AH0002	19.878	21.1	세였습니다만	[2]
2	4	7	AH0002	21.3	21.621	옛날엔	[]
2	4	8	AH0002	21.721	22.002	육십	[]
2	4	9	AH0002	22.122	22.262	세에	[]
2	4	10	AH0002	22.342	23.204	잔치하면은	[]
2	4	11	AH0002	23.304	23.485	오래	[]
2	4	12	AH0002	23.565	23.945	살았다고	[]
2	4	13	AH0002	24.046	24.286	동네에서	[]
2	4	14	AH0002	24.506	24.827	잔치	[]
2	4	15	AH0002	24.847	24.987	해주고	[]
2	5	1	AH0002	25.764	26.264	본인도	[]
2	5	2	AH0002	26.445	26.685	이제는	[]
2	5	3	AH0002	26.785	26.925	살	[]
2	5	4	AH0002	27.005	27.165	만큼	[]
2	5	5	AH0002	27.225	27.605	살았다고	[]
2	5	6	AH0002	27.685	28.306	생각했는데	[]
2	5	7	AH0002	28.386	28.766	이제는	[3]
2	5	8	AH0002	28.846	29.046	평균	[]
2	5	9	AH0002	29.147	30.147	수명이	[]
2	5	10	AH0002	30.347	30.648	우리나라	[]
2	5	11	AH0002	30.728	30.788	지금	[]
2	5	12	AH0002	30.888	31.088	팔십	[]
2	5	13	AH0002	31.228	31.688	세까지	[]
2	5	14	AH0002	31.708	31.889	도달하지	[]
2	5	15	AH0002	31.949	32.469	않았습니까.	[4]
2	6	1	AH0002	33.33	33.611	그래서	[]
2	6	2	AH0002	33.651	34.053	이제는	[]
2	6	3	AH0002	34.675	34.916	옛날	[]
2	6	4	AH0002	34.996	35.638	같으면은	[]
2	6	5	AH0002	35.819	36.02	암	[]
2	6	6	AH0002	36.1	36.582	걸리기	[]
2	6	7	AH0002	36.642	36.903	전에	[]
2	6	8	AH0002	37.023	37.164	다른	[]
2	6	9	AH0002	37.284	37.525	병으로	[]
2	6	10	AH0002	37.605	38.528	돌아가셨으니까	[]
2	6	11	AH0002	38.549	38.89	괜찮은데	[]
2	7	1	AH0002	39.582	39.682	다른	[]
2	7	2	AH0002	39.802	40.003	병을	[]
2	7	3	AH0002	40.083	40.163	안	[]
2	7	4	AH0002	40.243	40.724	걸리면은	[]
2	7	5	AH0002	40.824	41.225	돌아가실	[5]
2	7	6	AH0002	41.365	41.526	병은	[]
2	7	7	AH0002	41.626	42.267	암하고	[]
2	7	8	AH0002	42.507	42.808	뭐	[]
2	7	9	AH0002	43.008	43.449	중풍이나	[]
2	7	10	AH0002	43.569	44.15	심장병	[6]
2	7	11	AH0002	44.571	44.691	이것이	[]
2	7	12	AH0002	44.711	45.232	가장	[]
2	7	13	AH0002	45.553	45.653	큰	[]
2	7	14	AH0002	45.793	46.014	사망	[]
2	7	15	AH0002	46.094	46.434	원인중의	[]
2	7	16	AH0002	46.535	46.775	하나기	[]
2	7	17	AH0002	46.875	47.036	때문에	[]
2	7	18	AH0002	47.176	47.817	그렇습니다.	[]
3	8	1	AH0001	47.85	48.496	아	[]
3	8	2	AH0001	48.516	48.617	이게	[]
3	8	3	AH0001	48.839	48.88	저	[]
3	8	4	AH0001	49.001	49.284	수명이	[]
3	8	5	AH0001	49.324	49.667	길어지는	[]
3	8	6	AH0001	49.728	49.788	거	[]
3	8	7	AH0001	49.808	49.93	하고	[]
3	8	8	AH0001	49.97	50.293	관련이	[]
4	9	1	AH0002	50.43	50.53	예.	[]
4	9	2	AH0002	50.59	50.851	그렇죠.	[]
4	9	3	AH0002	51.271	51.552	옛날에는	[]
4	9	4	AH0002	51.592	51.692	뭐	[]
4	9	5	AH0002	51.772	51.992	담배	[]
4	9	6	AH0002	52.092	52.433	피워도	[]
4	9	7	AH0002	53.094	53.274	다른	[]
4	9	8	AH0002	53.354	53.574	병으로	[]
4	9	9	AH0002	53.634	54.375	돌아가시믄	[]
4	9	10	AH0002	54.395	54.776	암으로	[]
4	9	11	AH0002	54.816	55.197	돌아가시지	[]
4	9	12	AH0002	55.237	55.617	않았다고	[]
4	9	13	AH0002	55.697	55.837	그러는데	[7]
4	9	14	AH0002	56.258	56.659	이제는	[]
4	9	15	AH0002	56.719	56.919	다른	[]
4	9	16	AH0002	56.939	57.079	병으로	[]
4	9	17	AH0002	57.099	57.119	안	[]
4	9	18	AH0002	57.34	58.061	돌아가시니까	[]
4	10	1	AH0002	58.798	59.298	우리나라에서도	[]
4	10	2	AH0002	59.419	59.819	보면은	[]
4	10	3	AH0002	59.859	60.399	폐암이	[]
4	10	4	AH0002	60.44	60.74	계속	[]
4	10	5	AH0002	60.8	61.2	늘어나고	[]
4	10	6	AH0002	61.22	61.661	있었고	[]
4	10	7	AH0002	62.401	62.461	또	[]
4	10	8	AH0002	62.622	62.682	두	[]
4	10	9	AH0002	62.762	63.082	번째	[]
4	10	10	AH0002	63.182	63.843	요인은	[]
4	10	11	AH0002	63.883	63.923	이제	[]
4	10	12	AH0002	64.463	64.984	식생활	[]
4	10	13	AH0002	65.284	65.584	변화에	[]
4	10	14	AH0002	65.704	66.145	따라서	[]
4	10	15	AH0002	66.165	66.725	이제는	[8]
4	10	16	AH0002	66.885	67.246	이제	[]
4	10	17	AH0002	67.346	67.746	대장암이	[]
4	10	18	AH0002	67.866	67.926	굉장히	[]
4	10	19	AH0002	68.006	68.307	많이	[]
4	10	20	AH0002	68.407	68.787	늘어나고	[]
4	10	21	AH0002	68.827	69.047	있고	[9]
4	11	1	AH0002	69.987	70.528	최근에는	[]
4	11	2	AH0002	70.649	70.909	이제	[]
4	11	3	AH0002	71.01	71.27	여성	[]
4	11	4	AH0002	71.351	71.611	분들이	[]
4	11	5	AH0002	71.711	71.892	주로	[]
4	11	6	AH0002	71.972	72.413	걱정하는	[]
4	11	7	AH0002	72.473	72.734	것이	[]
4	11	8	AH0002	72.774	73.035	이제	[]
4	11	9	AH0002	73.175	73.937	유방암하고	[]
4	11	10	AH0002	74.017	74.86	갑상선암인데	[10]
4	12	1	AH0002	75.531	76.133	그것은	[]
4	12	2	AH0002	76.293	76.494	다른	[]
4	12	3	AH0002	76.554	77.437	이유라기보다도	[]
4	12	4	AH0002	78.119	78.64	검사를	[]
4	12	5	AH0002	78.741	79.022	통해서	[]
4	12	6	AH0002	79.122	79.523	검진을	[]
4	12	7	AH0002	79.644	80.125	통해서	[]
4	12	8	AH0002	80.265	80.466	많이	[]
4	12	9	AH0002	80.586	81.268	발견된다는	[]
4	12	10	AH0002	81.329	82.111	겁니다.	[11]
4	13	1	AH0002	82.655	82.835	많이	[]
4	13	2	AH0002	82.955	83.717	발견되니까	[]
4	13	3	AH0002	84.358	84.678	특별히	[]
4	13	4	AH0002	84.778	85.039	초기에	[]
4	13	5	AH0002	85.099	85.86	발견되니까	[]
4	13	6	AH0002	86.401	86.601	치료	[]
4	13	7	AH0002	86.661	86.921	성적은	[]
4	13	8	AH0002	86.981	87.242	굉장히	[]
4	13	9	AH0002	87.302	88.524	좋아요.	[12]
4	13	10	AH0002	88.584	88.704	그래서	[]
4	13	11	AH0002	88.844	88.984	뒤에	[]
4	13	12	AH0002	89.045	89.145	이제	[]
4	13	13	AH0002	89.205	90.366	말씀드리겠습니다만	[]
4	13	14	AH0002	90.487	91.148	갑상선암	[]
4	13	15	AH0002	91.188	91.368	같은	[]
4	13	16	AH0002	91.428	91.729	경우는	[]
4	14	1	AH0002	92.527	92.587	오	[]
4	14	2	AH0002	92.707	92.807	년	[]
4	14	3	AH0002	92.908	93.368	생존율이	[]
4	14	4	AH0002	93.449	93.749	특별히	[]
4	14	5	AH0002	93.809	94.51	여자에서는	[13]
4	14	6	AH0002	95.051	95.292	구십구	[]
4	14	7	AH0002	95.412	95.492	쩜	[]
4	14	8	AH0002	95.512	95.532	오	[]
4	14	9	AH0002	95.712	97.014	퍼센트	[14]
4	14	10	AH0002	97.255	97.515	또	[]
4	14	11	AH0002	97.716	98.216	유방암	[]
4	14	12	AH0002	98.337	98.577	같은	[]
4	14	13	AH0002	98.677	98.817	거는	[]
4	14	14	AH0002	98.858	99.038	거의	[]
4	14	15	AH0002	99.058	99.258	구십	[]
4	14	16	AH0002	99.278	99.639	퍼센트	[]
5	15	1	AH0001	99.777	101.522	아	[]
5	15	2	AH0001	101.582	102.886	그렇습니까	[]
5	15	3	AH0001	102.926	102.946	예	[]
5	16	1	AH0001	103.277	103.317	바로	[]
5	16	2	AH0001	103.337	103.457	이제	[]
5	16	3	AH0001	103.477	103.497	그	[]
5	16	4	AH0001	103.597	104.198	점입니다마는	[15]
5	16	5	AH0001	104.358	104.498	좀	[]
5	16	6	AH0001	104.598	104.798	전에는	[]
