uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.064	@이름545이	[]
1	1	2	AH0001	1.124	1.446	부릅니다	[]
1	1	3	AH0001	2.03	2.412	개구쟁이.	[]
1	2	1	AH0001	2.694	3.575	알아야	[]
1	2	2	AH0001	3.676	4.217	안전하다	[]
1	2	3	AH0001	4.657	4.998	들어야	[]
1	2	4	AH0001	5.238	5.559	두렵지	[]
1	2	5	AH0001	5.599	6.26	않다.	[]
2	3	1	AH0002	6.26	7.408	@이름1의	[]
2	3	2	AH0002	7.71	8.234	슬기로운	[]
2	3	3	AH0002	8.496	8.778	젠더	[]
2	3	4	AH0002	8.838	9.02	생활	[]
3	4	1	AH0001	9.201	9.702	슬기로운	[]
3	4	2	AH0001	9.803	10.104	젠더	[]
3	4	3	AH0001	10.204	10.485	생활	[]
3	4	4	AH0001	10.906	11.227	@이름1	[]
3	4	5	AH0001	11.307	11.668	변호사님	[]
3	4	6	AH0001	11.728	12.31	나오셨습니다	[]
3	4	7	AH0001	12.49	12.53	어서	[]
3	4	8	AH0001	12.591	13.112	오세요.	[]
4	5	1	AH0002	13.112	13.293	네	[]
4	5	2	AH0002	13.333	14.699	안녕하세요.	[]
5	6	1	AH0001	14.699	14.981	아까	[]
5	6	2	AH0001	15.041	15.262	근황을	[]
5	6	3	AH0001	15.302	15.906	여쭤보니까	[]
5	6	4	AH0001	16.348	16.751	주말에	[]
5	6	5	AH0001	17.173	17.475	농사를	[]
5	6	6	AH0001	17.535	18.44	지으셨다고요.	[]
6	7	1	AH0002	18.44	18.581	아	[]
6	7	2	AH0002	18.681	18.882	내가	[]
6	7	3	AH0002	19.123	19.385	제가	[]
6	7	4	AH0002	19.465	20.108	작년부터	[]
6	7	5	AH0002	20.188	20.249	좀	[]
6	7	6	AH0002	20.41	21.133	주말농장을	[]
6	7	7	AH0002	21.213	21.816	소소하게	[]
6	7	8	AH0002	21.937	22.118	하고	[]
6	7	9	AH0002	22.138	22.982	있습니다.	[]
7	8	1	AH0001	22.982	23.405	한	[]
7	8	2	AH0001	23.426	23.627	이십만	[]
7	8	3	AH0001	23.667	23.688	평	[]
8	9	1	AH0002	24.232	24.474	아	[]
8	9	2	AH0002	24.514	24.575	그	[]
8	9	3	AH0002	24.615	24.796	정도는	[]
