uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	1.041	희망이	[]
1	1	2	DG0001	1.161	1.462	하늘로	[]
1	1	3	DG0001	1.562	1.662	간	[]
1	1	4	DG0001	1.702	2.043	아이들의	[]
1	1	5	DG0001	2.123	2.524	웃음을	[]
1	1	6	DG0001	2.584	2.825	찾아	[]
1	1	7	DG0001	2.885	2.945	줄	[]
1	1	8	DG0001	3.025	3.085	수	[]
1	1	9	DG0001	3.105	3.526	있었으면	[]
1	1	10	DG0001	3.606	4.688	좋겠어요라고	[]
1	1	11	DG0001	4.748	5.71	전해주셨어요	[]
1	1	12	DG0001	6.532	7.113	어	[]
1	1	13	DG0001	7.393	7.694	우리	[]
1	1	14	DG0001	7.854	8.055	오늘	[]
1	1	15	DG0001	8.135	8.275	@이름1	[]
1	1	16	DG0001	8.375	8.856	시인께서	[]
1	1	17	DG0001	9.017	9.578	거짓말	[]
1	1	18	DG0001	9.718	10.239	거짓말	[]
1	1	19	DG0001	10.319	10.68	거짓말	[]
1	2	1	DG0001	10.76	11.04	그리고	[]
1	2	2	DG0001	11.141	11.621	무엇보다도	[]
1	2	3	DG0001	11.762	12.683	약속에	[1]
1	2	4	DG0001	12.803	13.184	방점을	[]
1	2	5	DG0001	13.264	13.444	찍어	[]
1	2	6	DG0001	13.505	13.705	주신	[]
1	2	7	DG0001	13.785	14.106	주제를	[]
1	2	8	DG0001	14.166	15.268	전해주셨는데	[]
1	2	9	DG0001	15.768	16.75	어떠셨어요?	[]
2	3	1	DG0002	16.829	16.909	아	[]
2	3	2	DG0002	17.33	17.55	그리고	[]
2	3	3	DG0002	17.63	18.031	청취자	[]
2	3	4	DG0002	18.091	18.231	가슴에	[]
2	3	5	DG0002	18.311	18.491	시인이	[]
2	3	6	DG0002	18.572	18.732	산다	[]
2	3	7	DG0002	18.772	19.633	청가시까지	[2]
2	3	8	DG0002	19.753	20.034	저희가	[]
2	3	9	DG0002	20.114	20.394	오늘	[]
2	3	10	DG0002	20.454	20.615	이제	[]
2	3	11	DG0002	20.635	20.675	오늘	[]
2	3	12	DG0002	20.695	21.736	청취자분들의	[3]
2	3	13	DG0002	21.917	21.977	그	[]
2	3	14	DG0002	22.037	22.858	육성을	[]
2	3	15	DG0002	22.918	23.178	전달해	[]
2	3	16	DG0002	23.239	24.26	드렸잖아요.	[4]
2	3	17	DG0002	24.48	24.801	뭔가	[]
2	3	18	DG0002	25.622	26.223	추모를	[]
2	3	19	DG0002	27.545	27.765	하기	[]
2	3	20	DG0002	27.865	28.086	좋은	[]
2	3	21	DG0002	28.166	28.426	날인	[]
2	3	22	DG0002	28.486	28.546	것	[]
2	3	23	DG0002	28.606	29.628	같구요.	[5]
2	4	1	DG0002	29.629	30.029	각자의	[]
2	4	2	DG0002	30.109	30.81	자리에서	[]
2	4	3	DG0002	31.45	31.87	우리가	[]
2	4	4	DG0002	32.431	32.871	그날	[]
2	4	5	DG0002	33.311	33.612	유명을	[]
2	4	6	DG0002	33.652	33.932	달리한	[]
