bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	33.304	33.774	CONTINUER	예.	[3]	[4]	[8]
2	AH0002	41.136	41.816	CONTINUER	으음.	[3]	[5]	[9]
3	AH0002	45.026	45.52	CONTINUER	예.	[3]	[5]	[16]
4	AH0002	58.578	58.953	CONTINUER	네.	[3]	[6]	[19]
5	AH0002	83.811	84.456	CONTINUER	예.	[7]	[13]	[6]
6	AH0002	91.291	91.606	CONTINUER	음.	[7]	[14]	[7]
7	AH0002	97.825	98.177	CONTINUER	네.	[7]	[15]	[6]
8	AH0002	133.218	133.708	CONTINUER	예.	[11]	[21]	[17]
9	AH0002	140.779	141.304	CONTINUER	예.	[11]	[22]	[10]
10	AH0002	149.456	149.986	CONTINUER	음.	[11]	[24]	[1]
11	AH0002	155.421	155.811	CONTINUER	네.	[11]	[24]	[11]
12	AH0002	169.825	170.005	CONTINUER	네.	[11]	[26]	[13]
13	AH0002	172.32	172.96	CONTINUER	어.	[11]	[26]	[18]
14	AH0002	182.16	182.526	CONTINUER	예.	[13]	[29]	[6]
