uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.009	0.99	바싹	[]
1	1	2	DG0001	1.09	1.35	마른	[]
1	1	3	DG0001	1.59	2.131	감성에	[]
1	1	4	DG0001	3.072	3.492	시와	[]
1	1	5	DG0001	3.692	4.233	음악으로	[]
1	1	6	DG0001	4.994	5.234	수분	[]
1	1	7	DG0001	5.614	6.235	공급해	[]
1	1	8	DG0001	6.475	7.015	드립니다.	[]
1	1	9	DG0001	8.297	8.557	일요일	[]
1	1	10	DG0001	8.657	9.057	오전에	[]
1	1	11	DG0001	9.137	9.518	마시는	[]
1	1	12	DG0001	9.978	10.479	풍류	[]
1	1	13	DG0001	10.859	10.959	한	[]
1	1	14	DG0001	11.119	11.299	사발	[]
1	2	1	DG0001	12.1	12.7	기분	[]
1	2	2	DG0001	12.92	13.141	좋은	[]
1	2	3	DG0001	13.901	16.422	시음회.	[]
1	2	4	DG0001	18.543	18.823	라이브	[]
1	2	5	DG0001	18.884	19.164	연주가	[]
1	2	6	DG0001	19.184	19.424	흐르는	[]
1	2	7	DG0001	19.524	20.164	고품격	[]
1	2	8	DG0001	20.324	20.925	삼행시	[]
1	2	9	DG0001	21.005	21.725	낭송회	[]
1	2	10	DG0001	21.865	22.105	기분	[]
1	2	11	DG0001	22.225	22.405	좋은	[]
1	2	12	DG0001	22.525	23.066	시음회에	[]
1	2	13	DG0001	23.246	23.366	시	[]
1	2	14	DG0001	23.426	23.586	담당	[]
1	3	1	DG0001	23.666	23.827	@이름1	[]
1	3	2	DG0001	24.291	24.432	전	[]
1	3	3	DG0001	24.553	24.916	작가	[]
1	3	4	DG0001	24.936	25.44	함께합니다.	[]
1	3	5	DG0001	25.541	25.883	어서	[]
1	3	6	DG0001	25.903	26.125	오세요.	[]
2	4	1	DG0002	26.246	26.267	네.	[]
2	4	2	DG0002	26.492	27.026	안녕하세요.	[]
3	5	1	DG0001	27.19	27.393	아.	[]
3	5	2	DG0001	27.494	27.798	어떻게	[]
3	5	3	DG0001	27.839	28.913	보내셨어요?	[]
4	6	1	DG0002	28.913	29.113	아.	[]
4	6	2	DG0002	29.314	29.634	또	[]
4	6	3	DG0002	30.556	31.397	해를	[]
4	6	4	DG0002	31.417	31.437	막	[1]
4	6	5	DG0002	32.239	32.72	해마다	[]
4	6	6	DG0002	32.82	33.02	보러	[]
4	6	7	DG0002	33.08	33.341	가지는	[]
4	6	8	DG0002	33.381	34.042	않지만	[2]
4	6	9	DG0002	34.583	34.863	그래도	[]
4	6	10	DG0002	34.903	35.224	이제	[]
4	6	11	DG0002	35.545	35.765	집에	[]
4	6	12	DG0002	35.785	36.486	있으면서	[]
4	6	13	DG0002	37.328	37.568	해를	[]
4	6	14	DG0002	37.668	37.728	못	[]
4	6	15	DG0002	37.869	38.029	보러	[]
4	6	16	DG0002	38.069	38.57	간다는	[]
4	6	17	DG0002	38.59	38.61	그	[]
5	7	1	DG0001	39.291	39.7	아쉬움?	[]
6	8	1	DG0002	39.8	40.061	네.	[]
6	8	2	DG0002	40.202	40.885	아쉬움이	[]
6	8	3	DG0002	41.066	41.548	드니까	[3]
6	8	4	DG0002	41.728	41.969	또	[]
6	8	5	DG0002	42.13	42.211	더	[]
6	8	6	DG0002	42.331	42.512	보고	[]
6	8	7	DG0002	42.572	43.235	싶더라구요.	[]
7	9	1	DG0001	43.235	43.721	어떻게	[]
7	9	2	DG0001	43.741	44.024	하셨어요.	[]
7	9	3	DG0001	44.065	44.49	영상으로	[]
7	9	4	DG0001	44.53	44.834	보셨어요?	[]
8	10	1	DG0002	44.834	45.136	네.	[]
8	10	2	DG0002	45.156	46.244	영상으로나마	[]
8	10	3	DG0002	46.526	46.767	그렇게	[]
8	10	4	DG0002	46.788	47.291	했습니다.	[]
9	11	1	DG0001	47.292	47.515	일찍	[]
9	11	2	DG0001	47.556	48.469	일어나셨네요.	[]
10	12	1	DG0002	48.469	48.73	네.	[]
