uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.0	1.104	이천십일	[]
1	1	2	SL0001	1.164	1.625	학년도	[]
1	1	3	SL0001	1.706	2.809	대학수학능력시험이	[]
1	1	4	SL0001	3.25	3.451	이제	[]
1	1	5	SL0001	3.551	3.973	두달여	[]
1	1	6	SL0001	3.993	4.173	앞으로	[]
1	1	7	SL0001	4.234	4.956	다가왔습니다.	[]
1	2	1	SL0001	4.956	5.698	우리	[]
1	2	2	SL0001	5.779	6.381	수험생들	[]
1	2	3	SL0001	6.822	7.143	올여름	[]
1	2	4	SL0001	7.203	7.304	참	[]
1	2	5	SL0001	7.444	7.905	뜨겁게	[]
1	2	6	SL0001	8.106	8.287	그리고	[]
1	2	7	SL0001	8.447	8.768	치열하게	[]
1	2	8	SL0001	8.828	9.089	보내고	[]
1	2	9	SL0001	9.149	9.932	계시지요?	[]
1	3	1	SL0001	9.932	10.936	그동안의	[]
1	3	2	SL0001	11.016	11.337	노력이	[]
1	3	3	SL0001	11.417	11.699	유종의	[]
1	3	4	SL0001	11.719	11.819	미를	[]
1	3	5	SL0001	11.899	12.04	거둘	[]
1	3	6	SL0001	12.12	12.18	수	[]
1	3	7	SL0001	12.2	12.401	있기	[]
1	3	8	SL0001	12.461	12.903	위해서는	[]
1	3	9	SL0001	13.204	13.385	이	[]
1	3	10	SL0001	13.405	13.726	시점에	[]
1	4	1	SL0001	14.007	14.65	그동안에	[]
1	4	2	SL0001	14.79	15.092	수능의	[]
1	4	3	SL0001	15.172	15.373	출제	[]
1	4	4	SL0001	15.433	15.654	경향을	[]
1	4	5	SL0001	15.734	16.216	분석하고	[]
1	4	6	SL0001	16.638	16.698	또	[]
1	4	7	SL0001	16.779	16.879	그에	[]
1	4	8	SL0001	16.979	17.12	따른	[]
1	4	9	SL0001	17.22	17.662	전략을	[]
1	4	10	SL0001	17.883	18.184	짜야할	[]
1	4	11	SL0001	18.305	18.345	것	[]
1	4	12	SL0001	18.385	19.048	같은데요.	[]
1	5	1	SL0001	19.048	19.71	그래서	[]
1	5	2	SL0001	19.73	20.171	이비에스	[]
1	5	3	SL0001	20.251	20.371	교육	[]
1	5	4	SL0001	20.411	20.712	초대석	[]
1	5	5	SL0001	21.173	21.414	오늘은	[]
1	5	6	SL0001	21.554	23.058	한국교육과정평가원의	[]
1	5	7	SL0001	23.68	23.76	원장을	[]
1	5	8	SL0001	24.0	24.301	모시고	[]
1	5	9	SL0001	24.662	24.883	말씀	[]
1	5	10	SL0001	24.923	25.243	나눠보도록	[]
1	5	11	SL0001	25.324	25.785	하겠습니다	[]
1	5	12	SL0001	25.865	26.025	원장님	[]
1	5	13	SL0001	26.066	26.647	안녕하십니까?	[]
2	6	1	SL0002	26.647	27.489	안녕하십니까?	[]
3	7	1	SL0001	27.489	29.091	원장님은	[]
3	7	2	SL0001	29.191	29.292	참	[]
3	7	3	SL0001	29.352	29.512	웃는	[]
3	7	4	SL0001	29.572	29.812	모습이	[]
3	7	5	SL0001	29.872	30.974	좋으세요.	[]
4	8	1	SL0002	30.974	32.962	고맙습니다.	[]
5	9	1	SL0001	32.962	33.804	시험	[]
5	9	2	SL0001	33.864	34.144	문제도	[]
5	9	3	SL0001	34.205	34.485	그렇게	[]
5	9	4	SL0001	34.605	34.926	쉽게	[]
5	9	5	SL0001	35.086	35.447	출제하시면	[]
5	9	6	SL0001	35.507	35.788	얼마나	[]
5	9	7	SL0001	35.808	36.389	좋을까요.	[]
6	10	1	SL0002	36.389	37.754	공부를	[]
6	10	2	SL0002	38.176	38.376	하기	[]
6	10	3	SL0002	38.437	38.778	나름인	[]
6	10	4	SL0002	38.858	38.918	것	[]
6	10	5	SL0002	38.978	39.661	같습니다.	[]
7	11	1	SL0001	40.115	40.617	그럴까요	[1]
7	11	2	SL0001	41.46	41.701	먼저	[]
7	11	3	SL0001	41.761	42.303	이천십일	[]
7	11	4	SL0001	42.363	43.006	학년도	[]
7	11	5	SL0001	43.267	43.407	수학	[]
7	11	6	SL0001	43.688	43.969	능력	[]
7	11	7	SL0001	44.17	44.551	시험의	[]
7	11	8	SL0001	44.612	45.194	일정부터	[]
7	11	9	SL0001	45.214	45.415	여쭤보도록	[]
7	11	10	SL0001	45.475	45.856	하겠습니다	[]
7	11	11	SL0001	45.997	46.218	어떻게	[]
7	11	12	SL0001	46.258	46.539	됩니까?	[2]
8	12	1	SL0002	47.833	49.139	수학능력시험은	[]
8	12	2	SL0002	49.38	49.661	원서	[]
8	12	3	SL0002	49.741	50.645	접수에서부터	[]
8	12	4	SL0002	50.826	51.449	시작된다고	[]
8	12	5	SL0002	51.509	51.629	할	[]
8	12	6	SL0002	51.83	52.372	수가	[]
8	12	7	SL0002	52.393	52.955	있습니다.	[]
8	13	1	SL0002	52.955	54.078	원서접수가	[]
8	13	2	SL0002	54.48	54.72	팔월	[]
8	13	3	SL0002	54.78	55.202	이십오	[]
8	13	4	SL0002	55.262	55.663	일부터	[]
8	13	5	SL0002	55.784	55.984	구월	[]
8	13	6	SL0002	56.245	56.265	구	[]
8	13	7	SL0002	56.325	56.425	일	[]
8	13	8	SL0002	56.566	56.827	사이에	[]
8	13	9	SL0002	56.907	57.609	이루어지고요.	[3]
8	14	1	SL0002	58.706	59.147	그리고	[]
8	14	2	SL0002	59.408	59.729	시험은	[]
8	14	3	SL0002	60.009	60.29	십일월	[]
8	14	4	SL0002	60.39	60.631	십팔	[]
8	14	5	SL0002	60.691	60.952	일에	[]
8	14	6	SL0002	61.052	61.413	이루어지게	[]
8	14	7	SL0002	61.473	61.814	됩니다	[]
8	14	8	SL0002	62.175	62.536	예년에	[]
8	14	9	SL0002	62.616	62.917	비해서	[]
8	14	10	SL0002	62.937	62.957	한	[]
8	14	11	SL0002	63.057	63.338	일주일	[]
8	14	12	SL0002	63.418	63.659	정도	[]
8	14	13	SL0002	63.719	64.481	늦춰졌습니다.	[4]
8	15	1	SL0002	65.555	66.176	지	[]
8	15	2	SL0002	66.396	66.797	투애니	[]
8	15	3	SL0002	66.937	67.457	정상회의	[]
8	15	4	SL0002	67.578	68.018	때문에	[]
8	15	5	SL0002	68.158	68.699	그렇습니다.	[5]
