bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	21.1	21.797	REQUEST_CONFIRMATION	아. 그래요?	[2]	[3]	[11]
2	AH0001	24.677	24.817	CONTINUER	네.	[2]	[4]	[7]
3	AH0001	30.057	30.197	CONTINUER	네.	[2]	[4]	[18]
4	AH0001	31.172	31.362	CONTINUER	네.	[2]	[5]	[3]
5	AH0001	32.402	32.552	CONTINUER	네.	[2]	[5]	[8]
6	AH0001	35.452	35.672	CONTINUER	예.	[2]	[5]	[18]
7	AH0001	81.672	82.417	UNDERSTANDING	음.	[4]	[14]	[6]
8	AH0001	93.849	94.059	CONTINUER	네.	[4]	[16]	[9]
9	AH0001	102.984	103.309	CONTINUER	네.	[4]	[18]	[9]
10	AH0001	106.748	106.978	CONTINUER	음.	[4]	[19]	[12]
11	AH0001	111.593	112.033	CONTINUER	네.	[4]	[19]	[23]
12	AH0001	118.618	119.023	CONTINUER	네.	[4]	[20]	[17]
13	AH0001	123.928	124.833	UNDERSTANDING	음.	[4]	[21]	[7]
14	AH0001	130.439	131.079	AFFIRMATIVE	그러네요.	[6]	[23]	[9]
15	AH0001	134.768	134.998	CONTINUER	음.	[8]	[25]	[1]
16	AH0001	139.165	139.525	CONTINUER	네.	[]	[]	[]
17	AH0001	153.039	154.559	CONTINUER	네. 예.	[10]	[30]	[4]
18	AH0001	158.996	159.486	CONTINUER	네.	[10]	[31]	[13]
19	AH0001	164.435	164.93	CONTINUER	네.	[10]	[33]	[4]
20	AH0001	167.075	167.42	CONTINUER	네.	[10]	[34]	[7]
21	AH0001	170.97	171.945	UNDERSTANDING	음. 음.	[10]	[34]	[16]
22	AH0001	180.031	180.396	CONTINUER	네.	[10]	[36]	[12]
23	AH0001	202.757	203.117	CONTINUER	예.	[12]	[40]	[1]
24	AH0001	208.501	208.701	CONTINUER	네.	[14]	[42]	[1]
25	AH0001	209.466	209.796	CONTINUER	예.	[14]	[42]	[3]
26	AH0001	219.152	219.452	CONTINUER	네.	[14]	[44]	[9]
27	AH0001	231.427	231.772	CONTINUER	네.	[16]	[47]	[10]
28	AH0001	236.245	236.57	CONTINUER	음.	[16]	[48]	[14]
29	AH0001	241.117	242.517	UNDERSTANDING	아.	[16]	[49]	[10]
30	AH0001	245.142	245.457	CONTINUER	음.	[16]	[49]	[17]
31	AH0001	247.327	247.602	CONTINUER	네.	[16]	[49]	[21]
32	AH0001	251.728	251.833	CONTINUER	네.	[16]	[51]	[1]
33	AH0001	254.033	254.353	CONTINUER	음.	[16]	[51]	[6]
34	AH0001	258.062	258.507	CONTINUER	으흠.	[16]	[52]	[6]
35	AH0001	261.557	262.102	CONTINUER	네.	[16]	[52]	[13]
36	AH0001	263.811	264.181	CONTINUER	네.	[16]	[53]	[6]
37	AH0001	268.954	270.669	UNDERSTANDING	네. 예예.	[16]	[54]	[8]
38	AH0001	272.763	272.913	CONTINUER	음.	[16]	[54]	[19]
39	AH0001	275.598	276.743	UNDERSTANDING	음.	[16]	[55]	[2]
40	AH0001	293.92	294.215	CONTINUER	네.	[18]	[59]	[1]
41	AH0001	297.145	297.35	CONTINUER	음.	[18]	[59]	[10]
42	AH0001	301.426	301.736	CONTINUER	네.	[18]	[60]	[6]
43	AH0001	309.532	309.787	CONTINUER	네.	[18]	[61]	[7]
44	AH0001	310.592	310.812	CONTINUER	음.	[18]	[61]	[9]
