bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	32.837	33.172	CONTINUER	네.	[4]	[5]	[18]
2	DG0001	34.226	34.386	CONTINUER	네.	[4]	[5]	[19]
3	DG0001	36.736	36.966	CONTINUER	네.	[]	[]	[]
4	DG0002	47.433	48.078	CONTINUER	네.	[7]	[8]	[13]
5	DG0002	57.981	58.306	CONTINUER	네.	[7]	[9]	[16]
6	DG0001	73.275	73.935	CONTINUER	네네네.	[8]	[11]	[5]
7	DG0001	75.439	75.779	CONTINUER	네.	[8]	[11]	[10]
8	DG0001	78.268	78.783	CONTINUER	음.	[8]	[11]	[16]
9	DG0001	81.792	82.402	CONTINUER	네.	[8]	[12]	[2]
10	DG0001	85.622	86.242	CONTINUER	네네네.	[8]	[12]	[11]
11	DG0001	88.03	88.66	CONTINUER	음.	[8]	[12]	[15]
12	DG0001	91.245	91.695	CONTINUER	네.	[8]	[12]	[20]
13	DG0002	101.366	102.266	UNDERSTANDING	음.	[9]	[14]	[4]
14	DG0001	109.534	109.699	CONTINUER	네.	[10]	[15]	[2]
15	DG0001	113.449	114.019	CONTINUER	오.	[10]	[15]	[7]
16	DG0002	117.079	117.579	CONTINUER	네.	[11]	[16]	[6]
17	DG0001	123.621	124.216	CONTINUER	네.	[12]	[17]	[12]
18	DG0001	126.101	126.561	CONTINUER	네.	[12]	[17]	[16]
19	DG0001	128.982	129.457	CONTINUER	음.	[12]	[18]	[6]
20	DG0001	135.808	136.083	CONTINUER	음.	[14]	[20]	[3]
21	DG0001	138.298	140.658	UNDERSTANDING	음. 네네네.	[14]	[20]	[7]
22	DG0001	143.908	144.398	CONTINUER	음.	[14]	[20]	[17]
23	DG0001	151.199	152.419	CONTINUER	음. 네.	[16]	[22]	[13]
24	DG0001	154.469	154.989	CONTINUER	음.	[16]	[22]	[20]
25	DG0001	158.005	158.345	CONTINUER	네.	[16]	[23]	[3]
26	DG0001	160.62	161.03	CONTINUER	네.	[16]	[23]	[8]
27	DG0001	162.26	162.785	CONTINUER	음.	[16]	[23]	[11]
28	DG0001	164.425	164.805	CONTINUER	음.	[16]	[23]	[16]
29	DG0001	169.892	170.347	CONTINUER	음.	[16]	[24]	[3]
30	DG0001	172.302	172.702	CONTINUER	네.	[16]	[24]	[7]
31	DG0001	174.567	175.217	CONTINUER	아 네네.	[16]	[24]	[13]
32	DG0001	176.737	176.917	CONTINUER	네.	[16]	[24]	[20]
