uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.587	0.747	그쵸	[1]
1	1	2	SL0001	0.887	1.127	오해를	[]
1	1	3	SL0001	1.187	1.267	할	[]
1	1	4	SL0001	1.428	1.468	수도	[]
1	1	5	SL0001	1.528	1.968	있고	[2]
1	1	6	SL0001	2.588	2.648	이	[]
1	1	7	SL0001	2.688	2.848	그런	[]
1	1	8	SL0001	2.909	3.269	얘기를	[]
1	1	9	SL0001	3.369	3.689	대화로서	[]
1	1	10	SL0001	3.769	4.45	풀어나가면	[]
1	1	11	SL0001	4.51	4.73	좋긴	[]
1	1	12	SL0001	4.77	5.15	한데	[]
1	1	13	SL0001	6.371	6.531	어	[]
1	1	14	SL0001	6.891	7.231	어쩌다	[]
1	1	15	SL0001	7.291	7.672	보면은	[]
1	1	16	SL0001	8.392	8.652	크윽	[]
1	1	17	SL0001	9.313	9.573	꼴랑	[]
1	1	18	SL0001	9.633	9.793	그런	[]
1	1	19	SL0001	9.853	10.233	자존심	[]
1	1	20	SL0001	10.333	10.854	때문에	[]
1	1	21	SL0001	10.994	11.174	서로	[]
1	1	22	SL0001	11.214	11.774	연락하기도	[]
1	1	23	SL0001	11.854	11.954	좀	[]
1	1	24	SL0001	11.974	12.535	애매하구	[]
1	2	1	SL0001	13.454	13.935	그러다가	[]
1	2	2	SL0001	14.396	14.636	용기를	[]
1	2	3	SL0001	14.656	14.817	내서	[]
1	2	4	SL0001	14.877	15.438	전화하면은	[]
1	2	5	SL0001	16.4	16.761	마치	[]
1	2	6	SL0001	16.861	17.142	언제	[]
1	2	7	SL0001	17.242	17.743	그랬냐는	[]
1	2	8	SL0001	17.823	18.164	듯이	[]
1	2	9	SL0001	18.544	18.745	오해가	[]
1	2	10	SL0001	18.885	19.146	풀리기도	[]
1	2	11	SL0001	19.186	19.767	하거든요	[3]
1	3	1	SL0001	20.364	20.506	@이름2	[]
1	3	2	SL0001	20.587	20.668	씨는	[]
1	3	3	SL0001	20.749	20.972	친구	[]
1	3	4	SL0001	21.053	21.539	많으세요?	[]
2	4	1	SL0002	22.085	22.185	아니	[]
2	4	2	SL0002	22.346	22.466	친구	[]
2	4	3	SL0002	22.546	22.726	별로	[]
2	4	4	SL0002	22.786	23.308	없습니다	[]
2	4	5	SL0002	24.049	24.129	제가	[]
2	4	6	SL0002	24.25	24.49	별로	[]
2	4	7	SL0002	24.55	25.011	없는데	[]
2	4	8	SL0002	25.131	25.693	그나마도	[]
2	4	9	SL0002	25.773	25.973	있는	[]
2	4	10	SL0002	26.073	26.514	친구랑	[]
2	4	11	SL0002	26.595	27.015	멀어진	[]
2	4	12	SL0002	27.116	27.376	친구도	[]
2	4	13	SL0002	27.416	27.857	있구요	[]
2	4	14	SL0002	28.759	28.92	저는	[]
2	4	15	SL0002	29.22	29.381	부를	[]
2	4	16	SL0002	29.481	29.641	때마다	[]
2	4	17	SL0002	29.701	29.962	약간	[]
2	4	18	SL0002	30.022	30.343	마음속에	[]
2	4	19	SL0002	30.463	31.024	뜨끔뜨끔하기도	[]
2	4	20	SL0002	31.084	31.365	해요	[]
2	4	21	SL0002	31.645	31.705	그	[]
2	4	22	SL0002	31.766	31.926	친구	[]
2	4	23	SL0002	31.966	32.267	생각도	[]
2	4	24	SL0002	32.327	32.888	나구요.	[]
3	5	1	SL0001	32.888	33.89	앨범	[]
3	5	2	SL0001	33.95	34.571	녹음하면서도	[]
3	5	3	SL0001	34.651	34.791	제가	[]
3	5	4	SL0001	34.831	35.352	그랬는데	[]
3	5	5	SL0001	36.233	36.373	@이름2	[]
3	5	6	SL0001	36.514	36.654	씨는	[]
3	5	7	SL0001	36.774	36.974	가사가	[]
3	5	8	SL0001	37.034	37.115	참	[]
3	5	9	SL0001	37.195	37.355	좋은	[]
3	5	10	SL0001	37.375	37.395	거	[]
3	5	11	SL0001	37.415	37.876	같애요	[]
3	5	12	SL0001	37.936	38.116	그리고	[]
3	5	13	SL0001	38.196	38.457	삶에	[]
3	5	14	SL0001	38.477	38.617	대한	[]
3	5	15	SL0001	38.697	38.997	얘기들이	[]
3	5	16	SL0001	39.078	39.218	참	[]
3	5	17	SL0001	39.598	39.959	진솔하게	[]
3	5	18	SL0001	40.039	40.239	많은	[]
3	5	19	SL0001	40.299	40.36	것	[]
3	5	20	SL0001	40.44	40.981	같고	[]
3	5	21	SL0001	41.822	42.503	음악이	[]
3	5	22	SL0001	43.304	43.665	어렵지도	[]
3	5	23	SL0001	43.705	44.005	않아요	[]
3	5	24	SL0001	44.045	44.065	그쵸?	[4]
3	6	1	SL0001	44.814	45.114	읏	[]
3	6	2	SL0001	45.114	46.376	담백하면서	[]
3	6	3	SL0001	46.937	46.957	딱	[]
3	6	4	SL0001	47.137	47.277	귀에	[]
3	6	5	SL0001	47.337	47.778	박히는	[]
3	6	6	SL0001	47.918	48.118	그런	[]
3	6	7	SL0001	48.178	48.799	멜로디들일	[]
3	6	8	SL0001	48.819	48.839	것	[]
3	6	9	SL0001	49.079	49.2	기도	[]
3	6	10	SL0001	49.28	49.54	하고	[]
3	6	11	SL0001	49.56	49.58	읍	[]
3	6	12	SL0001	50.541	50.942	저는	[]
3	6	13	SL0001	51.603	51.783	@이름2	[]
3	6	14	SL0001	51.903	51.983	씨	[]
3	6	15	SL0001	52.043	52.303	노래	[]
3	6	16	SL0001	52.404	52.644	앨범	[]
3	6	17	SL0001	52.704	52.864	받고	[]
3	6	18	SL0001	52.924	53.145	나서	[]
3	6	19	SL0001	53.345	53.745	차에다가	[]
3	6	20	SL0001	53.845	53.946	@이름2	[]
3	6	21	SL0001	54.046	54.106	씨	[]
3	6	22	SL0001	54.146	54.426	앨범을	[]
3	6	23	SL0001	54.506	54.747	넣고	[]
3	7	1	SL0001	55.147	55.207	한	[]
3	7	2	SL0001	55.407	55.507	곡	[]
3	7	3	SL0001	55.547	55.627	내가	[]
3	7	4	SL0001	55.687	55.748	꼭	[]
3	7	5	SL0001	55.848	56.328	불러봐야	[]
3	7	6	SL0001	56.708	57.169	하겠다는	[]
3	7	7	SL0001	57.289	57.429	노래를	[]
3	7	8	SL0001	57.469	57.649	하나	[]
3	7	9	SL0001	58.17	58.29	어	[]
3	7	10	SL0001	59.231	59.411	떠난	[]
3	7	11	SL0001	59.471	59.551	주	[]
3	7	12	SL0001	59.631	59.871	제목이	[]
3	7	13	SL0001	59.931	60.171	생각이	[]
3	7	14	SL0001	60.211	60.252	안	[]
3	7	15	SL0001	60.332	60.812	나네요.	[]
4	8	1	SL0002	60.813	61.543	불러보세요.	[]
5	9	1	SL0001	61.747	62.035	집에	[]
5	9	2	SL0001	62.055	62.199	가는	[]
5	9	3	SL0001	62.302	62.548	버스	[5]
5	10	1	SL0001	63.255	63.656	그거	[]
5	10	2	SL0001	63.916	64.317	하면서	[]
5	10	3	SL0001	64.738	64.778	나	[]
5	10	4	SL0001	64.818	65.059	어디서	[]
5	10	5	SL0001	65.119	65.58	노래시키면	[]
5	10	6	SL0001	65.62	65.66	그거	[]
5	10	7	SL0001	65.74	65.881	한번	[]
5	10	8	SL0001	65.941	66.161	해봐야지	[]
5	10	9	SL0001	66.502	66.542	좀	[]
5	10	10	SL0001	66.762	67.484	연습했거든요?	[6]
5	11	1	SL0001	67.978	68.3	처음엔	[]
5	11	2	SL0001	68.925	69.307	오랜만에	[]
5	11	3	SL0001	69.368	69.488	그런	[]
5	11	4	SL0001	69.549	69.69	곡을	[]
5	11	5	SL0001	69.71	69.79	해서	[]
5	11	6	SL0001	69.811	70.012	그런지	[]
5	11	7	SL0001	70.052	70.133	잘	[]
5	11	8	SL0001	70.173	70.254	안	[]
5	11	9	SL0001	70.334	70.636	붙는데	[7]
5	12	1	SL0001	71.217	71.357	그래도	[]
5	12	2	SL0001	71.438	72.019	반복적으로	[]
5	12	3	SL0001	72.16	72.501	계속	[]
5	12	4	SL0001	73.203	73.303	어	[]
5	12	5	SL0001	73.464	73.524	그	[]
5	12	6	SL0001	73.564	73.704	곡을	[]
5	12	7	SL0001	73.905	74.085	듣고	[]
5	12	8	SL0001	74.105	74.567	다녔는데	[]
5	12	9	SL0001	74.627	74.787	어느	[]
5	12	10	SL0001	74.848	75.048	순간	[]
5	12	11	SL0001	75.349	75.409	그	[]
5	12	12	SL0001	75.469	75.59	제가	[]
5	12	13	SL0001	75.69	75.87	따라	[]
5	12	14	SL0001	75.931	76.111	부르고	[]
5	12	15	SL0001	76.131	76.412	있는	[8]
5	12	16	SL0001	76.773	77.134	@이름1를	[]
5	12	17	SL0001	77.214	77.756	발견하고선	[]
5	12	18	SL0001	77.776	77.796	아	[]
5	13	1	SL0001	79.271	79.551	노래	[]
5	13	2	SL0001	79.571	79.911	녹슬지	[]
5	13	3	SL0001	79.952	80.312	않았네	[]
5	13	4	SL0001	82.433	82.493	그	[]
5	13	5	SL0001	82.514	82.594	안에	[]
5	13	6	SL0001	82.694	82.934	집에서	[]
5	13	7	SL0001	82.994	83.234	혼자	[]
