uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.925	1.487	가능하다면	[]
1	1	2	AH0001	1.608	2.03	신청은	[]
1	1	3	AH0001	2.17	2.512	어떤	[]
1	1	4	AH0001	2.592	3.034	절차로	[]
1	1	5	AH0001	3.155	3.295	해야	[]
1	1	6	AH0001	3.356	4.38	할까요라는	[]
1	1	7	AH0001	4.762	5.465	사연입니다.	[1]
1	2	1	AH0001	6.263	6.743	차량에	[]
1	2	2	AH0001	6.864	7.064	불이	[]
1	2	3	AH0001	7.104	7.925	났다	[]
1	2	4	AH0001	7.945	7.965	아	[]
1	2	5	AH0001	8.085	8.365	그래서	[]
1	2	6	AH0001	8.485	8.725	차량	[]
1	2	7	AH0001	8.826	9.466	제조사에서	[]
1	2	8	AH0001	9.666	9.766	이	[]
1	2	9	AH0001	9.867	10.167	차량	[]
1	2	10	AH0001	10.307	10.627	가격에	[]
1	2	11	AH0001	10.647	10.868	해당하는	[]
1	2	12	AH0001	10.888	10.908	거	[]
1	2	13	AH0001	10.968	11.108	전액	[]
1	2	14	AH0001	11.188	12.129	환불받았는데	[]
1	2	15	AH0001	13.01	13.05	이제	[]
1	2	16	AH0001	13.13	13.51	소극적	[]
1	2	17	AH0001	13.59	14.251	손해배상이라는	[]
1	2	18	AH0001	14.291	14.351	건	[]
1	2	19	AH0001	14.371	14.491	이제	[]
1	2	20	AH0001	14.531	14.551	뭐	[]
1	2	21	AH0001	14.631	14.791	쉽게	[]
1	2	22	AH0001	14.811	15.092	말해서	[]
1	2	23	AH0001	15.172	15.452	그동안	[]
1	2	24	AH0001	15.532	15.632	차	[]
1	2	25	AH0001	15.712	15.752	못	[]
1	2	26	AH0001	15.832	16.073	쓰니까	[]
1	2	27	AH0001	16.113	16.133	뭐	[]
1	2	28	AH0001	16.193	16.573	렌터카	[]
1	2	29	AH0001	16.653	16.974	비용이나	[]
1	2	30	AH0001	17.034	17.054	뭐	[]
1	2	31	AH0001	17.114	17.294	이런	[]
1	2	32	AH0001	17.394	17.454	거	[]
1	2	33	AH0001	17.534	17.874	얘기하시는	[]
1	2	34	AH0001	17.934	17.974	것	[]
1	2	35	AH0001	18.015	18.495	같애요.	[2]
1	3	1	AH0001	19.52	19.56	자	[]
1	3	2	AH0001	19.66	19.881	일단	[]
1	3	3	AH0001	20.182	20.283	이	[]
1	3	4	AH0001	20.363	20.664	소극적	[]
1	3	5	AH0001	20.724	21.146	손해배상	[]
1	3	6	AH0001	21.166	21.728	아	[]
1	3	7	AH0001	22.29	22.43	이게	[]
1	3	8	AH0001	22.511	22.711	관련	[]
1	3	9	AH0001	22.751	22.932	돼서	[]
1	3	10	AH0001	22.992	23.414	설명부터	[]
1	3	11	AH0001	23.474	23.514	좀	[]
1	3	12	AH0001	23.574	23.855	간단하게	[]
1	3	13	AH0001	23.895	24.357	해주시죠.	[]
2	4	1	AH0002	24.697	24.918	우리가	[]
2	4	2	AH0002	24.979	25.562	손해배상	[]
2	4	3	AH0002	25.642	26.044	손해배상	[]
2	4	4	AH0002	26.105	26.306	많이	[]
2	4	5	AH0002	26.346	26.929	하잖아요?	[]
2	5	1	AH0002	26.929	26.989	근데	[]
2	5	2	AH0002	27.11	28.037	손해배상에는	[]
2	5	3	AH0002	28.52	28.661	세	[]
2	5	4	AH0002	28.682	29.044	가지가	[]
2	5	5	AH0002	29.085	29.427	있어요.	[3]
2	6	1	AH0002	29.621	30.101	적극적	[]
2	6	2	AH0002	30.222	30.702	손해는	[]
2	6	3	AH0002	30.842	30.962	뭐	[4]
2	6	4	AH0002	31.062	32.003	치료비라던지	[]
2	6	5	AH0002	32.163	32.564	이렇게	[]
2	6	6	AH0002	32.704	33.565	차량이	[]
2	6	7	AH0002	33.685	33.825	불이	[]
2	6	8	AH0002	33.865	34.065	나서	[]
2	6	9	AH0002	34.125	34.325	전에	[]
2	6	10	AH0002	34.385	34.926	환불받은	[]
2	6	11	AH0002	35.146	35.366	이렇게	[]
2	6	12	AH0002	35.506	35.526	예.	[]
3	7	1	AH0001	36.349	36.513	실제로	[]
3	7	2	AH0001	36.574	36.922	발생한	[]
3	7	3	AH0001	36.984	37.107	손해	[5]
4	8	1	AH0002	37.603	38.023	내가	[]
4	8	2	AH0002	38.083	38.263	돈을	[]
4	8	3	AH0002	38.344	38.784	지출한	[6]
4	8	4	AH0002	39.264	39.624	지출해야	[]
4	8	5	AH0002	39.705	39.885	되는	[]
4	8	6	AH0002	39.965	40.285	손해가	[]
4	8	7	AH0002	40.305	40.445	이제	[]
4	8	8	AH0002	40.505	40.925	적극적	[]
4	8	9	AH0002	41.025	41.486	손해고	[]
4	8	10	AH0002	41.946	42.006	그	[7]
4	8	11	AH0002	42.046	42.226	다음에	[]
4	8	12	AH0002	42.286	42.707	소극적	[]
4	8	13	AH0002	42.787	43.207	손해는	[]
4	8	14	AH0002	43.828	44.448	이런	[]
4	8	15	AH0002	44.688	45.369	가해행위를	[]
4	8	16	AH0002	45.469	45.969	통해서	[]
4	8	17	AH0002	46.069	46.329	불법	[]
4	8	18	AH0002	46.349	46.59	행위를	[]
4	8	19	AH0002	46.65	46.95	통해서	[]
4	8	20	AH0002	47.01	47.29	내가	[]
4	8	21	AH0002	47.41	47.67	얻을	[]
4	8	22	AH0002	47.79	47.89	수	[]
4	8	23	AH0002	47.911	48.211	있는	[]
4	8	24	AH0002	48.471	49.051	이익을	[]
4	8	25	AH0002	49.352	49.612	얻지	[]
4	8	26	AH0002	49.692	49.712	못	[]
4	8	27	AH0002	49.852	49.972	한	[]
4	8	28	AH0002	50.272	50.673	일시	[]
4	8	29	AH0002	50.793	51.493	손해가	[]
4	8	30	AH0002	51.693	52.174	소극적	[]
4	8	31	AH0002	52.274	52.674	손해예요.	[]
5	9	1	AH0001	52.695	52.755	그니까	[]
5	9	2	AH0001	52.775	52.815	예를	[]
5	9	3	AH0001	52.835	53.216	들어서	[]
5	9	4	AH0001	53.316	53.536	내가	[]
5	9	5	AH0001	53.997	54.277	사고가	[]
5	9	6	AH0001	54.317	54.478	나서	[]
5	9	7	AH0001	54.538	54.818	입원해	[]
5	9	8	AH0001	54.878	55.078	가지고	[]
5	9	9	AH0001	55.118	55.299	일을	[]
5	9	10	AH0001	55.399	55.559	열흘	[]
5	9	11	AH0001	55.639	55.699	못	[]
5	9	12	AH0001	55.98	56.18	했다.	[]
6	10	1	AH0002	56.255	56.636	그래서	[]
6	10	2	AH0002	56.717	56.877	일을	[]
6	10	3	AH0002	56.937	56.958	못	[]
6	10	4	AH0002	57.098	57.218	한	[]
6	10	5	AH0002	57.279	57.479	것에	[]
6	10	6	AH0002	57.58	57.861	대한	[8]
6	10	7	AH0002	58.704	59.105	비용을	[]
6	10	8	AH0002	59.306	59.707	임금을	[]
6	10	9	AH0002	59.788	59.848	못	[]
6	10	10	AH0002	59.988	60.229	받는	[9]
6	11	1	AH0002	60.944	61.365	그게	[]
6	11	2	AH0002	61.405	61.605	이제	[]
6	11	3	AH0002	61.645	61.866	일시	[]
6	11	4	AH0002	61.946	62.206	손해예요.	[]
6	11	5	AH0002	62.326	62.587	내가	[]
6	11	6	AH0002	62.687	63.047	다치지	[]
6	11	7	AH0002	63.128	63.909	않았으면	[10]
6	11	8	AH0002	64.269	64.35	그	[]
6	11	9	AH0002	64.41	64.67	돈을	[]
6	11	10	AH0002	64.87	65.091	얻을	[]
6	11	11	AH0002	65.171	65.231	수	[]
6	11	12	AH0002	65.251	65.752	있었는데	[]
6	11	13	AH0002	65.812	65.992	내가	[11]
6	11	14	AH0002	66.052	66.633	다침으로	[]
6	11	15	AH0002	66.653	66.974	인해서	[]
6	11	16	AH0002	67.074	67.154	그	[]
6	11	17	AH0002	67.214	67.455	돈을	[]
6	11	18	AH0002	67.595	67.655	못	[]
6	11	19	AH0002	67.755	68.076	받았기	[]
6	11	20	AH0002	68.176	68.557	때문에	[12]
6	11	21	AH0002	68.937	69.278	그건	[]
6	11	22	AH0002	69.438	69.618	니가	[]
6	11	23	AH0002	69.698	70.119	배상해야	[]
6	11	24	AH0002	70.219	70.279	돼	[13]
6	11	25	AH0002	70.54	70.78	이게	[]
6	11	26	AH0002	70.88	71.141	소극적	[]
6	11	27	AH0002	71.261	71.882	손해예요.	[]
7	12	1	AH0001	71.957	72.079	그니까	[]
7	12	2	AH0001	72.161	72.385	지금	[]
7	12	3	AH0001	72.487	72.833	이분이	[14]
7	13	1	AH0001	73.984	74.345	그	[]
7	13	2	AH0001	75.046	75.266	친구	[]
7	13	3	AH0001	75.326	75.667	동생의	[]
7	13	4	AH0001	75.727	76.468	전기차가	[]
7	13	5	AH0001	77.029	77.169	불이	[]
7	13	6	AH0001	77.189	77.49	났다	[]
7	13	7	AH0001	77.99	78.151	그것	[]
7	13	8	AH0001	78.231	78.411	때문에	[]
7	13	9	AH0001	78.531	78.992	다쳐서	[]
7	13	10	AH0001	79.052	79.433	입원해서	[]
7	13	11	AH0001	79.493	79.673	일을	[]
7	13	12	AH0001	79.733	79.793	못	[]
7	13	13	AH0001	79.853	80.094	했다	[]
7	13	14	AH0001	80.114	80.274	그러면	[]
7	13	15	AH0001	80.354	80.595	그건	[]
7	13	16	AH0001	80.675	80.955	소극적	[]
7	13	17	AH0001	81.035	81.256	손해	[]
7	13	18	AH0001	81.316	81.716	문제인	[]
7	13	19	AH0001	81.756	81.837	것	[]
7	13	20	AH0001	81.877	82.498	같은데	[15]
