uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.78	근데	[]
1	1	2	AH0001	0.981	1.361	워낙	[]
1	1	3	AH0001	2.203	2.764	예전에	[]
1	1	4	AH0001	2.844	3.064	그냥	[]
1	1	5	AH0001	3.465	3.665	아유	[]
1	1	6	AH0001	3.685	3.705	저	[]
1	1	7	AH0001	3.905	4.346	녀석	[]
1	1	8	AH0001	4.366	4.386	어	[]
1	1	9	AH0001	4.406	4.546	어디	[]
1	1	10	AH0001	4.586	4.727	가서	[]
1	1	11	AH0001	4.787	5.147	주먹질을	[]
1	1	12	AH0001	5.167	5.388	했다매	[]
1	1	13	AH0001	5.488	5.568	이	[]
1	1	14	AH0001	5.648	5.929	수준이	[]
1	1	15	AH0001	6.009	6.189	아닌	[]
1	2	1	AH0001	6.941	7.362	사건들이	[]
1	2	2	AH0001	7.422	7.642	자꾸	[]
1	2	3	AH0001	7.663	7.903	이렇게	[]
1	2	4	AH0001	8.464	9.226	불거지니까	[1]
1	2	5	AH0001	10.168	10.468	과연	[]
1	2	6	AH0001	10.549	10.709	뭐가	[]
1	2	7	AH0001	10.749	11.23	답일까	[]
1	2	8	AH0001	11.33	11.511	저도	[]
1	2	9	AH0001	11.631	12.072	갸우뚱하게	[]
1	2	10	AH0001	12.112	13.114	되더라구요.	[]
2	3	1	AH0002	13.489	13.911	그	[]
2	3	2	AH0002	14.132	14.434	이거는	[]
2	3	3	AH0002	14.514	14.635	물론	[]
2	3	4	AH0002	14.715	14.956	인제	[]
2	3	5	AH0002	15.097	15.137	제	[]
2	3	6	AH0002	15.318	15.881	개인적인	[]
2	3	7	AH0002	15.941	16.665	생각인데요.	[2]
2	3	8	AH0002	17.147	17.268	저는	[]
2	4	1	AH0002	18.17	18.692	우리나라에서	[]
2	4	2	AH0002	18.752	18.852	지금	[]
2	4	3	AH0002	18.952	19.374	십사	[]
2	4	4	AH0002	19.514	19.634	세	[]
2	4	5	AH0002	19.735	19.955	미만	[]
2	4	6	AH0002	20.036	20.798	촉법소년	[3]
2	4	7	AH0002	20.979	21.28	그런	[]
2	4	8	AH0002	21.42	21.761	범죄를	[]
2	4	9	AH0002	21.821	22.503	저질러도	[]
2	4	10	AH0002	23.085	23.426	형벌을	[]
2	4	11	AH0002	23.506	23.687	가할	[]
2	4	12	AH0002	23.747	23.807	수	[]
2	4	13	AH0002	23.827	24.249	없다라는	[]
2	4	14	AH0002	24.309	24.369	것	[]
2	4	15	AH0002	24.509	24.77	때문에	[]
2	5	1	AH0002	25.591	25.892	어	[]
2	5	2	AH0002	25.912	26.334	그거를	[]
2	5	3	AH0002	26.454	27.016	악용하는	[]
2	5	4	AH0002	27.097	27.759	청소년들도	[]
2	5	5	AH0002	27.86	28.161	분명히	[]
2	5	6	AH0002	28.201	28.743	있어요	[]
2	5	7	AH0002	29.044	29.446	그래서	[]
2	5	8	AH0002	29.626	30.329	청소년들한테	[]
2	6	1	AH0002	30.871	31.372	어쨌거나	[]
2	6	2	AH0002	31.452	32.134	남한테	[]
