bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	12.56	12.765	CONTINUER	음.	[1]	[1]	[19]
2	AH0002	19.839	20.234	UNDERSTANDING	음.	[3]	[3]	[11]
3	AH0001	28.699	28.899	CONTINUER	응.	[4]	[5]	[4]
4	AH0001	31.274	31.554	UNDERSTANDING	네.	[4]	[5]	[7]
5	AH0001	36.452	36.708	CONTINUER	네.	[4]	[6]	[6]
6	AH0001	38.078	38.453	CONTINUER	네.	[4]	[7]	[2]
7	AH0001	39.207	39.547	CONTINUER	네.	[4]	[8]	[3]
8	AH0001	43.879	44.989	UNDERSTANDING	어어.	[4]	[9]	[9]
9	AH0001	46.958	49.018	UNDERSTANDING	아하.	[4]	[9]	[17]
10	AH0001	50.776	51.131	UNDERSTANDING	네.	[4]	[11]	[1]
11	AH0002	69.19	69.425	CONTINUER	네.	[7]	[17]	[7]
12	AH0001	109.791	110.116	CONTINUER	네.	[12]	[28]	[9]
13	AH0001	114.323	114.858	UNDERSTANDING	음.	[12]	[29]	[12]
14	AH0001	118.515	118.785	CONTINUER	네.	[12]	[30]	[8]
15	AH0001	123.742	124.762	UNDERSTANDING	음.	[12]	[31]	[7]
16	AH0001	130.214	130.819	UNDERSTANDING	음. 네.	[12]	[31]	[20]
17	AH0002	154.159	154.764	UNDERSTANDING	음.	[15]	[37]	[3]
18	AH0002	159.663	160.198	UNDERSTANDING	아하.	[15]	[39]	[6]
19	AH0001	167.298	167.993	UNDERSTANDING	예.	[16]	[41]	[9]
20	AH0001	170.776	172.227	AFFIRMATIVE	그러니까요. 응.	[16]	[41]	[18]
21	AH0001	173.488	173.968	AFFIRMATIVE	그쵸.	[16]	[41]	[22]
22	AH0001	178.172	178.982	AFFIRMATIVE	그러니까요.	[16]	[42]	[9]
23	AH0001	184.24	184.595	CONTINUER	음.	[18]	[44]	[2]
24	AH0001	186.82	187.375	UNDERSTANDING	음.	[18]	[44]	[9]
25	AH0001	190.21	190.705	AFFIRMATIVE	맞어.	[18]	[44]	[19]
26	AH0002	194.794	195.474	AFFIRMATIVE	그러니깐요.	[19]	[45]	[6]
27	AH0001	201.919	202.659	REQUEST_CONFIRMATION	아. 진짜요?	[20]	[48]	[4]
28	AH0002	224.991	225.271	CONTINUER	네.	[23]	[54]	[4]
29	AH0002	226.761	227.216	UNDERSTANDING	어우.	[23]	[54]	[8]
30	AH0002	228.131	229.286	UNDERSTANDING	어우.	[23]	[54]	[10]
31	AH0001	242.391	242.756	UNDERSTANDING	음.	[26]	[58]	[6]
32	AH0002	254.164	254.6	UNDERSTANDING	으흠.	[27]	[60]	[15]
33	AH0001	265.317	265.717	UNDERSTANDING	네.	[28]	[63]	[12]
34	AH0001	268.444	268.783	CONTINUER	네.	[28]	[64]	[7]
35	AH0001	272.135	273.06	UNDERSTANDING	아하.	[28]	[65]	[4]
36	AH0001	280.525	280.82	CONTINUER	네.	[28]	[66]	[15]
37	AH0001	285.055	286.63	AFFIRMATIVE	그러니까요. 예.	[28]	[66]	[26]
38	AH0001	332.398	333.308	UNDERSTANDING	아하.	[42]	[82]	[11]
39	AH0002	339.043	339.198	CONTINUER	네.	[43]	[83]	[4]
40	AH0002	360.538	361.243	UNDERSTANDING	음.	[47]	[90]	[7]
41	AH0002	367.164	367.689	UNDERSTANDING	아.	[47]	[91]	[10]
42	AH0002	375.81	376.145	AFFIRMATIVE	그쵸.	[47]	[93]	[6]
43	AH0001	409.265	410.155	UNDERSTANDING	예. 예.	[52]	[101]	[11]
44	AH0001	415.193	416.373	UNDERSTANDING	예. 예.	[52]	[102]	[5]
45	AH0001	417.633	418.098	UNDERSTANDING	음.	[52]	[103]	[5]
46	AH0001	436.075	437.59	UNDERSTANDING	네네. 네.	[52]	[105]	[10]
47	AH0001	439.1	439.29	CONTINUER	어.	[52]	[105]	[16]
48	AH0001	462.903	463.658	UNDERSTANDING	예. 예.	[56]	[111]	[7]
49	AH0001	465.763	466.628	CONTINUER	음. 음.	[56]	[111]	[11]
50	AH0002	473.438	474.638	AFFIRMATIVE	어. 그쵸. 네.	[57]	[113]	[3]
51	AH0002	481.332	481.677	CONTINUER	네.	[57]	[115]	[5]
52	AH0002	489.522	489.657	CONTINUER	음.	[57]	[115]	[22]
53	AH0001	494.596	495.711	UNDERSTANDING	음. 네.	[58]	[119]	[3]
54	AH0001	498.117	498.487	CONTINUER	네.	[58]	[120]	[7]
55	AH0001	500.117	500.407	CONTINUER	네.	[58]	[120]	[12]
56	AH0001	504.245	504.68	CONTINUER	네.	[58]	[122]	[6]
57	AH0001	506.4	506.84	CONTINUER	네.	[58]	[122]	[11]
58	AH0001	509.175	509.66	CONTINUER	네.	[58]	[122]	[16]
59	AH0001	512.25	512.725	CONTINUER	네.	[58]	[122]	[27]
60	AH0001	514.088	514.468	CONTINUER	으흠.	[58]	[123]	[2]
61	AH0001	516.873	517.323	CONTINUER	네.	[58]	[123]	[12]
62	AH0001	519.084	519.474	CONTINUER	네.	[58]	[124]	[3]
63	AH0001	522.242	523.257	UNDERSTANDING	음.	[58]	[124]	[10]
64	AH0001	544.046	544.511	CONTINUER	네.	[64]	[131]	[7]
65	AH0001	551.018	551.793	UNDERSTANDING	으음.	[64]	[132]	[9]
66	AH0001	566.484	566.899	CONTINUER	예.	[68]	[137]	[10]
67	AH0001	571.085	572.351	CONTINUER	네네. 네.	[70]	[139]	[7]
68	AH0001	574.077	574.937	CONTINUER	네. 네.	[70]	[139]	[13]
69	AH0001	576.817	577.802	ASSESSMENT	허어!	[70]	[139]	[19]
70	AH0001	587.206	587.586	CONTINUER	네.	[70]	[141]	[4]
71	AH0001	589.721	590.021	CONTINUER	어.	[70]	[142]	[1]
72	AH0001	593.646	593.891	CONTINUER	네.	[70]	[142]	[11]
73	AH0001	594.817	595.687	UNDERSTANDING	허어!	[70]	[142]	[14]
74	AH0002	646.478	647.063	UNDERSTANDING	아.	[75]	[151]	[8]
75	AH0002	662.913	663.628	UNDERSTANDING	음.	[81]	[157]	[8]
76	AH0001	669.339	669.634	CONTINUER	응.	[82]	[159]	[4]
77	AH0001	672.023	672.363	CONTINUER	음.	[82]	[160]	[4]
78	AH0001	676.028	676.598	UNDERSTANDING	네.	[82]	[161]	[9]
79	AH0001	680.558	680.833	CONTINUER	응.	[82]	[163]	[5]
80	AH0001	688.724	689.074	CONTINUER	응.	[82]	[166]	[1]
81	AH0001	690.589	691.419	AFFIRMATIVE	아. 그렇죠.	[82]	[166]	[6]
82	AH0001	692.739	693.074	CONTINUER	네.	[82]	[167]	[6]
83	AH0001	699.33	699.72	CONTINUER	네.	[82]	[167]	[21]
84	AH0001	706.455	706.925	AFFIRMATIVE	맞아요.	[82]	[168]	[14]
85	AH0001	713.548	713.778	CONTINUER	응.	[84]	[170]	[11]
86	AH0001	722.388	723.308	UNDERSTANDING	음.	[86]	[172]	[10]
87	AH0001	746.316	746.716	CONTINUER	예.	[90]	[179]	[5]
88	AH0001	749.864	750.109	CONTINUER	응.	[90]	[181]	[1]
89	AH0001	755.524	756.773	CONTINUER	예. 예.	[90]	[181]	[13]
90	AH0001	773.793	774.353	AFFIRMATIVE	그러니까.	[92]	[184]	[13]
91	AH0002	791.317	792.232	UNDERSTANDING	아.	[95]	[188]	[14]
92	AH0001	796.289	797.619	AFFIRMATIVE	그르게.	[96]	[190]	[4]
93	AH0001	802.99	803.795	UNDERSTANDING	음.	[98]	[192]	[5]
94	AH0002	812.077	812.387	CONTINUER	네.	[99]	[194]	[3]
95	AH0001	817.895	818.3	CONTINUER	예.	[100]	[196]	[10]
96	AH0001	819.83	820.14	CONTINUER	응.	[100]	[196]	[14]
97	AH0001	823.01	823.335	CONTINUER	네.	[]	[]	[]
98	AH0001	825.606	825.906	CONTINUER	예.	[102]	[198]	[7]
99	AH0001	828.371	828.771	CONTINUER	네.	[102]	[198]	[12]
100	AH0001	833.225	834.095	UNDERSTANDING	어. 네네.	[102]	[199]	[12]
101	AH0001	836.817	837.352	UNDERSTANDING	어. 어.	[102]	[200]	[7]
102	AH0001	838.287	838.642	CONTINUER	네.	[102]	[200]	[9]
