uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.574	1.555	어떤	[]
1	1	2	AH0001	1.855	2.376	이유로	[1]
1	1	3	AH0001	3.116	3.316	어	[]
1	1	4	AH0001	3.417	3.677	이런	[]
1	1	5	AH0001	3.837	4.017	일을	[]
1	1	6	AH0001	4.097	4.377	꾸미게	[]
1	1	7	AH0001	4.417	4.558	되는	[]
1	1	8	AH0001	4.618	4.798	건지	[]
1	1	9	AH0001	4.938	5.298	당시	[]
1	1	10	AH0001	5.538	6.059	파리의	[]
1	1	11	AH0001	6.099	6.119	그	[]
1	2	1	AH0001	6.569	7.25	상황에	[]
1	2	2	AH0001	7.31	7.471	대한	[]
1	2	3	AH0001	7.551	7.851	이해가	[]
1	2	4	AH0001	7.911	7.971	좀	[]
1	2	5	AH0001	8.072	8.392	필요하지	[]
1	2	6	AH0001	8.432	8.673	않을까	[]
1	2	7	AH0001	8.733	8.893	싶긴	[]
1	2	8	AH0001	8.933	9.414	합니다만	[]
2	3	1	AH0002	9.583	9.884	네	[]
2	3	2	AH0002	10.465	10.705	그	[]
2	3	3	AH0002	10.925	11.426	가난한	[]
2	3	4	AH0002	11.787	12.728	귀족의	[]
2	3	5	AH0002	13.029	13.991	아들이었습니다	[]
2	3	6	AH0002	14.171	14.812	라스티냐크는	[2]
2	4	1	AH0002	15.51	15.671	근데	[]
2	4	2	AH0002	16.393	16.754	그	[]
2	4	3	AH0002	17.135	17.757	출세를	[]
2	4	4	AH0002	17.858	18.099	하기	[]
2	4	5	AH0002	18.139	18.44	위한	[]
2	4	6	AH0002	18.981	19.483	방법으로	[]
2	5	1	AH0002	20.315	21.136	이	[]
2	5	2	AH0002	22.096	22.277	고리오	[]
2	5	3	AH0002	22.337	22.657	영감이	[]
2	5	4	AH0002	22.777	22.857	두	[]
2	5	5	AH0002	23.017	23.217	딸	[]
2	5	6	AH0002	23.658	23.858	그	[]
2	5	7	AH0002	24.338	25.219	아스타나시와	[]
2	5	8	AH0002	25.239	26.54	델핀을	[]
2	5	9	AH0002	26.76	27.461	만납니다.	[3]
2	6	1	AH0002	27.586	27.867	어	[]
2	6	2	AH0002	28.208	28.729	아스타나시	[]
2	6	3	AH0002	28.83	28.91	큰	[]
2	6	4	AH0002	29.05	29.311	딸은	[]
2	6	5	AH0002	29.452	29.773	레스터	[]
2	6	6	AH0002	29.833	30.435	백작의	[]
2	6	7	AH0002	30.515	30.756	부인이	[]
