bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	8.127	8.727	CONTINUER	네.	[1]	[2]	[11]
2	AH0002	17.372	17.532	CONTINUER	네.	[1]	[2]	[30]
3	AH0001	35.175	35.55	CONTINUER	네.	[2]	[4]	[4]
4	AH0001	49.378	49.853	CONTINUER	음.	[2]	[5]	[10]
5	AH0001	51.673	52.258	CONTINUER	네.	[2]	[5]	[13]
6	AH0001	54.923	55.268	CONTINUER	음.	[2]	[5]	[20]
7	AH0001	59.104	59.764	CONTINUER	네. 네.	[2]	[6]	[7]
8	AH0001	62.043	62.793	UNDERSTANDING	네.	[2]	[6]	[11]
9	AH0001	70.718	70.943	CONTINUER	음.	[2]	[7]	[11]
10	AH0001	77.118	77.448	CONTINUER	네.	[2]	[7]	[22]
11	AH0001	80.598	80.893	CONTINUER	네.	[2]	[7]	[27]
12	AH0001	86.706	87.151	CONTINUER	네.	[2]	[8]	[10]
13	AH0002	94.708	94.843	CONTINUER	음.	[3]	[10]	[4]
14	AH0002	115.944	116.389	CONTINUER	네.	[3]	[12]	[11]
15	AH0001	121.369	121.739	CONTINUER	네.	[4]	[13]	[4]
16	AH0001	124.359	124.669	CONTINUER	음.	[4]	[13]	[8]
17	AH0001	126.509	126.874	CONTINUER	음.	[4]	[13]	[12]
18	AH0001	127.889	128.349	CONTINUER	네.	[4]	[13]	[13]
19	AH0001	130.113	130.457	CONTINUER	음.	[4]	[13]	[17]
20	AH0001	141.307	141.707	CONTINUER	음.	[4]	[14]	[15]
21	AH0001	143.464	143.994	CONTINUER	네.	[4]	[15]	[3]
22	AH0001	148.079	148.359	CONTINUER	네.	[4]	[15]	[6]
23	AH0001	150.264	150.544	CONTINUER	네.	[4]	[15]	[9]
24	AH0001	150.983	151.213	CONTINUER	어.	[4]	[16]	[2]
25	AH0001	156.598	156.948	CONTINUER	네.	[4]	[16]	[11]
26	AH0002	163.206	163.361	CONTINUER	네.	[5]	[17]	[10]
