bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	0.61	2.005	ASSESSMENT	어머.	[1]	[1]	[1]
2	AH0002	4.495	4.79	CONTINUER	예.	[2]	[2]	[1]
3	AH0001	10.39	10.875	CONTINUER	어.	[3]	[3]	[13]
4	AH0001	16.357	16.892	CONTINUER	어.	[3]	[4]	[9]
5	AH0001	19.235	19.96	CONTINUER	네. 네.	[3]	[5]	[1]
6	AH0001	20.32	21.015	CONTINUER	네. 네. 네.	[3]	[5]	[3]
7	AH0001	28.208	28.783	CONTINUER	어.	[3]	[7]	[1]
8	AH0001	29.453	29.953	CONTINUER	아.	[3]	[7]	[4]
9	AH0002	33.679	34.451	ASSESSMENT	카오.	[4]	[9]	[7]
10	AH0001	38.847	40.007	CONTINUER	어. 예.	[5]	[11]	[1]
11	AH0002	44.457	44.617	CONTINUER	응.	[8]	[14]	[5]
12	AH0002	65.036	65.241	CONTINUER	예.	[8]	[17]	[6]
13	AH0002	73.074	73.189	CONTINUER	네.	[8]	[19]	[13]
14	AH0001	118.9	119.21	CONTINUER	아.	[11]	[36]	[1]
15	AH0001	128.494	128.889	CONTINUER	예.	[11]	[37]	[1]
16	AH0001	132.679	133.124	CONTINUER	어.	[11]	[38]	[6]
17	AH0001	140.884	141.284	CONTINUER	어.	[11]	[39]	[19]
18	AH0001	143.173	143.858	ASSESSMENT	허.	[11]	[40]	[4]
19	AH0001	146.297	146.487	CONTINUER	네.	[11]	[41]	[4]
20	AH0001	155.34	156.15	CONTINUER	예.	[11]	[44]	[5]
21	AH0001	175.715	176.05	CONTINUER	예.	[13]	[50]	[6]
22	AH0001	179.074	180.589	CONTINUER	으. 응. 응.	[13]	[51]	[7]
23	AH0001	202.875	203.095	CONTINUER	어.	[17]	[59]	[1]
24	AH0001	207.818	208.013	CONTINUER	네.	[19]	[61]	[1]
25	AH0001	213.285	214.04	CONTINUER	아.아.	[19]	[62]	[2]
26	AH0001	216.62	216.845	CONTINUER	예.	[19]	[62]	[11]
27	AH0001	220.69	220.84	CONTINUER	어.	[19]	[63]	[7]
28	AH0002	225.287	225.692	AFFIRMATIVE	그렇죠.	[20]	[65]	[2]
29	AH0001	226.442	226.547	CONTINUER	예.	[21]	[66]	[1]
30	AH0001	227.742	228.322	CONTINUER	음.	[21]	[66]	[5]
31	AH0001	229.632	230.052	CONTINUER	응.	[21]	[66]	[8]
32	AH0001	238.975	239.51	CONTINUER	으.으.응.	[21]	[67]	[24]
33	AH0001	242.007	242.287	CONTINUER	응.	[21]	[69]	[1]
34	AH0001	244.212	244.312	CONTINUER	응.	[21]	[69]	[4]
35	AH0001	248.532	248.892	CONTINUER	응.	[21]	[69]	[13]
36	AH0001	267.825	268.62	CONTINUER	어.어.	[21]	[73]	[11]
37	AH0001	271.158	272.003	CONTINUER	어. 어. 어. 어.	[21]	[75]	[4]
38	AH0001	277.799	278.099	CONTINUER	네.	[23]	[78]	[8]
39	AH0001	282.328	283.078	CONTINUER	어.	[23]	[80]	[1]
40	AH0001	289.419	289.599	CONTINUER	네.	[23]	[81]	[9]
41	AH0001	291.475	291.72	CONTINUER	응.	[23]	[82]	[6]
42	AH0001	308.675	309.475	CONTINUER	어.어.	[23]	[86]	[1]
43	AH0001	315.636	316.021	CONTINUER	하.아.	[23]	[87]	[12]
44	AH0001	316.621	317.036	ASSESSMENT	히야.	[23]	[88]	[1]
45	AH0001	320.321	320.616	CONTINUER	예.	[23]	[89]	[1]
46	AH0001	325.131	325.411	CONTINUER	어.	[23]	[90]	[1]
47	AH0001	334.237	334.737	CONTINUER	어.	[23]	[92]	[1]
48	AH0001	339.997	340.157	CONTINUER	응.	[23]	[92]	[7]
49	AH0001	347.608	347.988	CONTINUER	응.	[23]	[95]	[1]
50	AH0001	350.978	351.218	CONTINUER	네.	[23]	[95]	[7]
51	AH0001	352.777	352.967	CONTINUER	네.	[23]	[96]	[4]
52	AH0001	355.897	356.567	CONTINUER	예에에.	[23]	[96]	[9]
53	AH0001	365.122	365.632	CONTINUER	네.	[23]	[97]	[8]
54	AH0001	368.376	369.396	CONTINUER	예.에에에.	[23]	[98]	[8]
55	AH0001	370.94	371.335	CONTINUER	어.	[23]	[99]	[10]
56	AH0001	379.417	379.647	CONTINUER	네.	[23]	[102]	[7]
57	AH0001	384.352	385.082	CONTINUER	네.	[23]	[103]	[2]
58	AH0001	391.027	392.482	ASSESSMENT	어어어어.	[23]	[103]	[14]
59	AH0001	392.585	393.125	CONTINUER	어.	[23]	[103]	[17]
60	AH0001	401.605	401.785	CONTINUER	응.	[23]	[105]	[1]
61	AH0001	410.313	410.728	CONTINUER	응.	[23]	[107]	[1]
62	AH0001	414.398	415.188	CONTINUER	쫘아아악.	[23]	[107]	[10]
63	AH0001	420.557	420.842	CONTINUER	응.	[23]	[108]	[11]
64	AH0001	432.373	432.998	CONTINUER	네에.	[23]	[110]	[9]
65	AH0001	446.192	446.652	CONTINUER	네.	[23]	[113]	[3]
66	AH0001	450.057	450.452	CONTINUER	응.	[23]	[114]	[6]
67	AH0002	477.204	477.661	ASSESSMENT	그렇죠.	[26]	[119]	[6]
68	AH0002	478.531	479.271	AFFIRMATIVE	그렇습니다.	[26]	[120]	[3]
69	AH0001	480.766	481.021	CONTINUER	어.	[27]	[121]	[4]
70	AH0001	481.776	482.476	AFFIRMATIVE	아. 그래요.	[27]	[121]	[8]
