bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	14.133	14.613	CONTINUER	네.	[3]	[4]	[8]
2	AH0002	17.303	17.953	CONTINUER	네.	[3]	[4]	[12]
3	AH0001	26.432	26.737	CONTINUER	음.	[4]	[5]	[11]
4	AH0001	28.492	29.042	CONTINUER	어.	[4]	[5]	[16]
5	AH0001	30.677	30.912	CONTINUER	네.	[4]	[5]	[19]
6	AH0001	35.89	36.235	CONTINUER	네.	[4]	[6]	[11]
7	AH0001	39.615	40.155	CONTINUER	어.	[4]	[6]	[18]
8	AH0001	42.235	42.905	CONTINUER	음.	[4]	[6]	[25]
9	AH0002	44.47	44.8	CONTINUER	네.	[5]	[7]	[1]
10	AH0002	47.285	47.925	CONTINUER	네.	[5]	[7]	[7]
11	AH0001	56.085	56.35	CONTINUER	음.	[6]	[9]	[6]
12	AH0001	61.2	61.545	CONTINUER	네.	[6]	[9]	[19]
13	AH0001	64.465	64.755	CONTINUER	네.	[6]	[10]	[7]
14	AH0001	66.13	66.48	CONTINUER	음.	[6]	[10]	[12]
15	AH0001	68.528	69.17	CONTINUER	네.	[6]	[10]	[15]
16	AH0001	71.835	72.285	CONTINUER	아.	[6]	[11]	[8]
17	AH0002	74.808	75.238	CONTINUER	네.	[7]	[12]	[2]
18	AH0002	77.928	78.398	CONTINUER	네.	[7]	[12]	[9]
19	AH0002	99.411	100.121	CONTINUER	네.	[15]	[21]	[6]
20	AH0001	112.041	112.902	AFFIRMATIVE	아. 그러니까요.	[18]	[25]	[6]
21	AH0001	123.232	124.557	NEGATIVE_SURPRISE	아이고.	[20]	[28]	[11]
22	AH0002	131.822	132.227	CONTINUER	네.	[21]	[29]	[10]
23	AH0001	139.045	139.34	CONTINUER	네.	[22]	[30]	[7]
24	AH0001	141.686	142.113	CONTINUER	네.	[22]	[30]	[13]
25	AH0001	144.088	144.403	CONTINUER	음.	[22]	[31]	[6]
26	AH0001	147.313	147.633	CONTINUER	예.	[22]	[31]	[11]
27	AH0001	149.558	150.223	CONTINUER	네네.	[22]	[31]	[14]
28	AH0001	153.813	155.403	AFFIRMATIVE	어. 맞아요.	[22]	[31]	[24]
29	AH0001	163.268	163.773	CONTINUER	음.	[22]	[32]	[15]
30	AH0001	180.74	181.1	CONTINUER	음.	[22]	[34]	[17]
31	AH0001	182.8	183.245	CONTINUER	음.	[22]	[35]	[8]
32	AH0001	185.179	186.014	CONTINUER	음음음.	[22]	[35]	[13]
33	AH0001	187.165	187.47	CONTINUER	네.	[22]	[35]	[17]
34	AH0001	189.315	190.59	CONTINUER	음. 음음.	[22]	[35]	[22]
35	AH0002	198.686	200.466	CONTINUER	네네. 네네.	[23]	[37]	[13]
36	AH0002	203.339	204.128	AFFIRMATIVE	그러게요.	[23]	[38]	[8]
37	AH0001	214.096	214.411	CONTINUER	음.	[24]	[40]	[13]
38	AH0001	217.434	217.66	CONTINUER	네.	[24]	[41]	[2]
39	AH0001	221.147	221.447	CONTINUER	예.	[24]	[42]	[8]
40	AH0001	230.712	232.107	CONTINUER	음. 네.	[24]	[43]	[20]
41	AH0001	236.064	236.649	CONTINUER	음.	[24]	[44]	[8]
