bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	9.944	10.274	CONTINUER	네.	[2]	[3]	[1]
2	AH0001	13.284	13.514	CONTINUER	예.	[2]	[3]	[10]
3	AH0001	29.256	29.506	CONTINUER	네.	[2]	[4]	[26]
4	AH0001	42.645	42.974	CONTINUER	네.	[2]	[6]	[3]
5	AH0002	57.024	57.804	AFFIRMATIVE	그렇습니다.	[3]	[8]	[13]
6	AH0001	62.922	63.397	CONTINUER	네.	[4]	[9]	[9]
7	AH0001	73.175	73.505	CONTINUER	네.	[4]	[10]	[18]
8	AH0001	80.125	80.42	CONTINUER	예.	[4]	[11]	[10]
9	AH0002	94.302	95.001	AFFIRMATIVE	그렇죠.	[5]	[12]	[20]
10	AH0001	102.418	102.873	CONTINUER	예.	[6]	[14]	[1]
11	AH0001	124.174	124.504	CONTINUER	네.	[8]	[17]	[13]
12	AH0001	125.714	125.959	CONTINUER	음.	[8]	[17]	[15]
13	AH0001	127.808	128.163	CONTINUER	네.	[8]	[18]	[5]
14	AH0001	147.566	147.741	CONTINUER	네.	[8]	[21]	[8]
15	AH0001	158.502	158.937	CONTINUER	예.	[8]	[22]	[9]
16	AH0001	175.669	176.169	CONTINUER	네.	[8]	[24]	[14]
17	AH0001	201.669	202.233	CONTINUER	네.	[8]	[28]	[1]
18	AH0001	203.304	203.634	CONTINUER	음흠.	[8]	[28]	[4]
19	AH0001	205.359	205.669	CONTINUER	네.	[8]	[28]	[8]
20	AH0002	219.074	219.539	AFFIRMATIVE	그렇습니다.	[9]	[31]	[19]
21	AH0002	224.933	225.413	CONTINUER	네.	[9]	[32]	[6]
22	AH0001	239.847	240.117	CONTINUER	네.	[10]	[33]	[7]
23	AH0001	245.982	246.402	CONTINUER	네.	[10]	[34]	[11]
24	AH0001	256.884	257.174	CONTINUER	네.	[10]	[35]	[21]
25	AH0001	262.602	263.192	AFFIRMATIVE	그렇죠.	[10]	[36]	[12]
26	AH0001	269.819	270.039	CONTINUER	네.	[10]	[37]	[15]
27	AH0001	278.32	278.88	CONTINUER	예.	[10]	[38]	[14]
28	AH0001	293.795	294.065	CONTINUER	네.	[10]	[40]	[4]
29	AH0001	312.035	312.395	CONTINUER	예에.	[12]	[42]	[23]
30	AH0001	338.377	338.557	CONTINUER	네.	[12]	[46]	[12]
31	AH0001	360.939	361.254	CONTINUER	네.	[14]	[48]	[14]
32	AH0001	378.201	378.681	CONTINUER	네에.	[14]	[50]	[19]
33	AH0001	381.179	381.549	CONTINUER	네.	[14]	[51]	[8]
34	AH0001	396.202	396.767	ASSESSMENT	아하.	[14]	[53]	[11]
35	AH0002	408.371	408.721	CONTINUER	네.	[15]	[55]	[5]
36	AH0001	419.655	419.875	CONTINUER	네.	[16]	[57]	[1]
37	AH0001	420.32	420.73	CONTINUER	예.	[16]	[57]	[1]
38	AH0001	422.89	423.899	AFFIRMATIVE	아이고. 그러니까요.	[16]	[57]	[9]
39	AH0002	454.679	455.249	AFFIRMATIVE	그렇죠.	[17]	[62]	[10]
40	AH0001	461.773	462.484	AFFIRMATIVE	그러게 말입니다.	[18]	[64]	[8]
41	AH0001	468.592	468.882	AFFIRMATIVE	그래요.	[18]	[65]	[11]
42	AH0001	471.852	472.067	CONTINUER	예.	[18]	[66]	[9]
43	AH0001	477.352	477.602	CONTINUER	네.	[18]	[67]	[11]
44	AH0001	481.802	482.132	CONTINUER	예.	[18]	[67]	[19]
45	AH0001	483.905	484.235	CONTINUER	음흠.	[18]	[68]	[5]
46	AH0001	488.085	488.45	CONTINUER	예.	[18]	[68]	[13]
47	AH0001	501.845	502.025	CONTINUER	네.	[18]	[70]	[12]
48	AH0001	508.711	509.091	CONTINUER	음흠.	[18]	[71]	[12]
49	AH0001	510.376	510.886	CONTINUER	네.	[18]	[71]	[16]
50	AH0001	520.532	520.912	CONTINUER	음흠.	[18]	[73]	[6]
51	AH0001	524.582	524.762	CONTINUER	네.	[18]	[73]	[16]
52	AH0001	560.291	561.031	AFFIRMATIVE	그렇습니다.	[18]	[79]	[11]
53	AH0001	566.961	567.211	CONTINUER	네.	[18]	[80]	[11]
54	AH0002	570.257	570.497	AFFIRMATIVE	예.	[19]	[81]	[6]
55	AH0002	570.942	571.507	AFFIRMATIVE	그렇습니다.	[19]	[81]	[8]
56	AH0001	575.513	575.723	CONTINUER	네.	[20]	[82]	[10]
57	AH0001	577.248	577.548	CONTINUER	음흠.	[20]	[82]	[16]
58	AH0001	579.243	579.553	CONTINUER	네.	[20]	[82]	[20]
59	AH0001	587.88	588.344	NEGATIVE_SURPRISE	아이구.	[20]	[83]	[14]
60	AH0001	588.855	589.18	CONTINUER	네.	[20]	[83]	[16]
