bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	30.121	30.361	CONTINUER	네.	[6]	[8]	[4]
2	AH0001	52.146	52.541	CONTINUER	네.	[6]	[11]	[14]
3	AH0001	80.503	81.033	CONTINUER	네.	[10]	[19]	[15]
4	AH0001	88.932	89.377	CONTINUER	네.	[10]	[21]	[1]
5	AH0001	96.725	97.13	CONTINUER	네.	[10]	[22]	[1]
6	AH0002	147.66	148.195	CONTINUER	네네.	[13]	[30]	[6]
7	AH0001	156.374	156.724	CONTINUER	네.	[14]	[31]	[10]
8	AH0001	159.078	159.588	CONTINUER	음.	[14]	[32]	[5]
9	AH0001	169.487	169.907	CONTINUER	네.	[14]	[33]	[12]
10	AH0001	179.336	179.861	CONTINUER	네.	[14]	[35]	[6]
11	AH0001	186.273	186.678	CONTINUER	네.	[14]	[36]	[10]
12	AH0001	201.831	202.176	CONTINUER	네.	[14]	[39]	[8]
13	AH0001	225.914	226.414	CONTINUER	네.	[14]	[43]	[20]
14	AH0001	231.689	232.584	CONTINUER	음.	[14]	[44]	[11]
15	AH0001	238.658	239.363	CONTINUER	네.	[14]	[45]	[10]
16	AH0001	260.71	261.085	CONTINUER	네.	[14]	[48]	[13]
17	AH0001	262.962	263.742	ASSESSMENT	아.	[14]	[49]	[6]
18	AH0001	265.727	266.437	CONTINUER	네네.	[14]	[49]	[12]
19	AH0001	295.92	296.865	CONTINUER	네.	[16]	[53]	[17]
20	AH0001	322.932	323.807	CONTINUER	네.	[18]	[57]	[15]
21	AH0001	335.41	336.155	CONTINUER	음.	[18]	[59]	[12]
22	AH0001	339.131	339.701	CONTINUER	네.	[18]	[60]	[5]
23	AH0001	373.38	373.97	CONTINUER	네.	[18]	[64]	[18]
24	AH0001	384.095	384.585	CONTINUER	음.	[18]	[66]	[9]
25	AH0002	419.714	420.229	CONTINUER	네네.	[23]	[73]	[8]
26	AH0001	434.639	435.254	CONTINUER	네.	[24]	[76]	[1]
27	AH0002	459.967	460.422	CONTINUER	네.	[25]	[81]	[1]
28	AH0001	487.946	488.426	CONTINUER	네.	[26]	[85]	[6]
29	AH0001	497.076	497.706	CONTINUER	네.	[26]	[88]	[1]
30	AH0001	501.861	502.356	CONTINUER	네.	[26]	[88]	[13]
31	AH0001	505.982	506.602	CONTINUER	음.	[26]	[89]	[6]
32	AH0001	510.937	511.342	CONTINUER	네.	[26]	[91]	[1]
33	AH0001	522.341	522.908	CONTINUER	예.	[26]	[92]	[10]
34	AH0001	530.689	531.289	CONTINUER	네.	[26]	[93]	[12]
35	AH0001	541.879	542.484	CONTINUER	네.	[26]	[95]	[1]
36	AH0001	559.567	560.262	CONTINUER	네.	[26]	[96]	[15]
37	AH0001	568.372	568.837	CONTINUER	네.	[26]	[97]	[15]
38	AH0001	575.59	576.05	CONTINUER	네.	[26]	[99]	[1]
39	AH0001	592.909	593.664	CONTINUER	음.	[26]	[101]	[17]
40	AH0001	609.173	609.873	CONTINUER	어.	[26]	[103]	[12]
41	AH0001	612.459	613.044	CONTINUER	네.	[26]	[104]	[6]
42	AH0001	615.764	616.679	CONTINUER	어.	[26]	[104]	[13]
43	AH0001	642.075	642.49	CONTINUER	네.	[30]	[109]	[9]
44	AH0001	652.087	652.587	CONTINUER	네.	[30]	[110]	[16]
45	AH0001	657.062	657.632	CONTINUER	음.	[30]	[112]	[2]
46	AH0001	665.587	666.012	CONTINUER	예.	[30]	[112]	[14]
47	AH0001	677.32	678.2	CONTINUER	음.	[30]	[114]	[15]
48	AH0001	685.642	686.132	CONTINUER	네.	[30]	[116]	[2]
49	AH0002	698.501	698.781	CONTINUER	네.	[31]	[117]	[9]
50	AH0002	699.801	700.141	CONTINUER	네네.	[31]	[117]	[11]
51	AH0002	703.603	703.898	CONTINUER	네.	[31]	[118]	[6]
52	AH0001	719.737	720.137	CONTINUER	네.	[32]	[120]	[5]
53	AH0001	731.955	732.48	CONTINUER	네.	[32]	[121]	[13]
54	AH0001	753.545	753.85	CONTINUER	네.	[34]	[124]	[16]
55	AH0001	759.394	759.809	CONTINUER	네.	[34]	[126]	[1]
56	AH0001	776.68	777.885	UNDERSTANDING	아.	[36]	[128]	[6]
57	AH0001	778.41	779.03	CONTINUER	네네.	[36]	[128]	[10]
58	AH0001	790.084	790.899	CONTINUER	음.	[36]	[129]	[20]
59	AH0001	797.767	798.262	CONTINUER	네.	[36]	[130]	[14]
60	AH0001	814.149	814.624	CONTINUER	예.	[36]	[132]	[19]
61	AH0001	817.198	817.838	CONTINUER	음.	[36]	[132]	[23]
62	AH0001	826.285	826.74	CONTINUER	예.	[36]	[133]	[15]
63	AH0001	850.282	850.827	CONTINUER	네.	[36]	[137]	[14]
64	AH0001	860.505	861.056	CONTINUER	예.	[36]	[139]	[7]
65	AH0001	893.479	893.999	CONTINUER	예.	[36]	[144]	[1]
66	AH0001	911.815	912.275	CONTINUER	예.	[36]	[145]	[20]
67	AH0001	920.114	920.694	CONTINUER	예.	[36]	[146]	[17]
68	AH0001	937.143	937.499	CONTINUER	예.	[36]	[149]	[12]
69	AH0001	950.494	950.959	CONTINUER	예.	[36]	[151]	[16]
70	AH0001	954.312	954.848	CONTINUER	네.	[36]	[152]	[9]
