uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.73	1.092	적절한	[]
1	1	2	AH0001	1.132	1.393	가격을	[]
1	1	3	AH0001	1.413	1.835	맞춰서	[]
1	1	4	AH0001	2.177	2.358	합의	[]
1	1	5	AH0001	2.378	2.619	해보시는	[]
1	1	6	AH0001	2.659	2.92	방법을	[]
1	1	7	AH0001	2.981	3.141	하고	[]
1	1	8	AH0001	3.222	3.362	그게	[]
1	1	9	AH0001	3.423	3.764	안되면	[]
1	2	1	AH0001	4.375	4.736	일단	[]
1	2	2	AH0001	4.917	5.298	건축물	[]
1	2	3	AH0001	5.398	5.639	철거	[]
1	2	4	AH0001	5.699	5.94	청구를	[]
1	2	5	AH0001	5.96	6.321	하시면	[1]
1	2	6	AH0001	6.823	7.284	반대에서	[]
1	2	7	AH0001	7.324	7.645	오히려	[]
1	2	8	AH0001	8.007	8.608	매수청구를	[]
1	2	9	AH0001	8.669	8.909	행사할	[]
1	2	10	AH0001	8.99	9.09	수도	[]
1	2	11	AH0001	9.13	9.391	있을	[]
1	2	12	AH0001	9.812	10.113	가능성이	[]
1	2	13	AH0001	10.133	10.535	높습니다.	[]
1	2	14	AH0001	10.555	10.675	그죠?	[]
2	3	1	AH0002	10.676	10.918	조금	[]
2	3	2	AH0002	10.978	11.36	설명을	[]
2	3	3	AH0002	11.461	11.864	드리면	[]
2	3	4	AH0002	11.884	12.065	이제	[]
2	3	5	AH0002	12.145	13.232	매수청구권이라고	[]
2	3	6	AH0002	13.272	13.433	하는	[]
2	3	7	AH0002	13.494	14.017	거는	[2]
2	4	1	AH0002	14.46	14.58	내가	[]
2	4	2	AH0002	14.6	14.821	이제	[]
2	4	3	AH0002	14.921	15.142	집을	[]
2	4	4	AH0002	15.262	15.543	지어서	[]
2	4	5	AH0002	15.603	15.824	살고	[]
2	4	6	AH0002	15.864	16.325	있는데	[]
2	4	7	AH0002	16.767	16.827	이	[]
2	4	8	AH0002	16.907	17.228	기간이	[]
2	4	9	AH0002	17.308	17.609	끝나서	[]
2	4	10	AH0002	17.669	18.05	갑자기	[]
2	4	11	AH0002	18.131	18.572	소유자가	[]
2	4	12	AH0002	18.632	19.174	나가라고	[]
2	4	13	AH0002	19.254	19.615	해버리고	[]
2	4	14	AH0002	19.695	20.116	갱신을	[]
2	4	15	AH0002	20.176	20.618	안해주면.	[3]
2	5	1	AH0002	21.319	21.6	집을	[]
2	5	2	AH0002	21.74	22.061	지어서	[]
2	5	3	AH0002	22.121	22.342	살고	[]
2	5	4	AH0002	22.382	22.582	있던	[]
2	5	5	AH0002	22.622	23.003	사람은	[]
2	5	6	AH0002	23.083	23.444	자기가	[]
2	5	7	AH0002	23.585	23.966	투하한	[]
2	5	8	AH0002	24.066	24.427	자본을	[]
2	5	9	AH0002	24.487	25.008	회수할	[]
2	5	10	AH0002	25.149	25.289	수가	[]
2	5	11	AH0002	25.349	25.991	없잖아요?	[]
2	5	12	AH0002	26.011	26.191	그래서	[]
2	5	13	AH0002	26.632	26.693	이	[]
2	5	14	AH0002	26.753	27.094	사람을	[]
2	5	15	AH0002	27.234	27.936	보호하기	[]
2	5	16	AH0002	28.036	28.276	위해서	[]
2	5	17	AH0002	28.337	28.698	만든	[]
2	5	18	AH0002	28.718	28.738	이	[]
2	6	1	AH0002	29.211	30.153	권리거든요.	[4]
2	6	2	AH0002	30.513	30.734	그러다	[]
2	6	3	AH0002	30.814	31.234	보니까	[]
2	6	4	AH0002	31.535	31.615	이	[]
2	6	5	AH0002	31.715	31.956	땅을	[]
2	6	6	AH0002	32.076	32.456	소유하고	[]
2	6	7	AH0002	32.476	32.577	있는	[]
2	6	8	AH0002	32.677	33.598	소유주에게는	[]
2	6	9	AH0002	33.999	34.54	주어지지	[]
2	6	10	AH0002	34.6	34.901	않는	[]
2	6	11	AH0002	35.021	35.762	권리예요.	[5]
2	7	1	AH0002	36.222	36.423	그런데	[]
2	7	2	AH0002	36.443	36.664	이제	[]
2	7	3	AH0002	36.805	36.946	둘	[]
2	7	4	AH0002	37.026	37.307	사람	[]
2	7	5	AH0002	37.388	37.75	사이에서	[]
2	7	6	AH0002	37.83	38.373	협상하는	[]
2	7	7	AH0002	38.433	38.936	과정에서	[6]
2	8	1	AH0002	39.5	39.68	아니	[]
2	8	2	AH0002	39.72	39.9	그럼	[]
2	8	3	AH0002	39.96	40.121	내가	[]
2	8	4	AH0002	40.141	40.321	그걸	[]
2	8	5	AH0002	40.461	40.981	사는면	[]
2	8	6	AH0002	41.041	41.722	어떨까요	[]
2	8	7	AH0002	41.822	42.042	라고	[]
2	8	8	AH0002	42.062	42.203	하는	[]
2	8	9	AH0002	42.243	42.303	것	[]
2	8	10	AH0002	42.343	42.943	자체는	[]
