uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.735	0.755	일	[]
1	1	2	AH0001	0.935	1.035	번	[]
1	1	3	AH0001	1.155	1.396	불안.	[]
1	1	4	AH0001	1.556	1.716	이	[]
1	1	5	AH0001	1.736	1.856	번	[]
1	1	6	AH0001	1.996	2.177	우울.	[]
1	1	7	AH0001	2.737	3.038	미래에	[]
1	1	8	AH0001	3.118	3.358	대한	[]
1	1	9	AH0001	3.518	3.859	두려움이	[]
1	1	10	AH0001	3.919	4.059	너무	[]
1	1	11	AH0001	4.179	4.399	커서	[]
1	1	12	AH0001	4.539	4.86	현재	[]
1	1	13	AH0001	4.96	5.18	삶에	[]
1	1	14	AH0001	5.24	5.54	영향을	[]
1	1	15	AH0001	5.62	5.941	미치는	[]
1	1	16	AH0001	6.001	6.241	것은?	[]
1	1	17	AH0001	6.261	6.281	일	[]
1	1	18	AH0001	6.942	7.062	번	[]
1	1	19	AH0001	7.182	7.423	불안	[]
1	1	20	AH0001	7.443	7.463	이	[]
1	1	21	AH0001	7.843	7.963	번	[]
1	1	22	AH0001	8.143	8.324	우울	[]
1	1	23	AH0001	8.444	8.644	중에	[]
1	1	24	AH0001	8.724	8.984	어떤	[]
1	1	25	AH0001	9.044	9.645	것일까요.	[]
1	2	1	AH0001	10.074	10.536	교수님께서	[]
1	2	2	AH0001	10.637	11.038	힌트	[]
1	2	3	AH0001	11.099	11.38	하나.	[]
2	3	1	AH0002	11.38	11.882	힌트는	[]
2	3	2	AH0002	11.982	12.103	이렇게	[]
2	3	3	AH0002	12.263	12.363	함	[]
2	3	4	AH0002	12.404	12.765	우리가	[]
2	3	5	AH0002	12.885	13.106	말을	[]
2	3	6	AH0002	13.146	13.407	만들어	[]
2	3	7	AH0002	13.447	13.608	보시면	[]
2	3	8	AH0002	13.668	13.829	좋을	[1]
2	3	9	AH0002	13.929	14.13	것	[]
2	3	10	AH0002	14.17	14.491	같아요.	[]
3	4	1	AH0001	12.27	12.411	주세요.	[]
4	5	1	AH0002	14.491	14.612	난	[]
4	5	2	AH0002	14.753	15.398	무엇무엇	[]
4	5	3	AH0002	15.519	16.063	할까봐	[]
4	5	4	AH0002	16.365	16.647	어때	[]
4	5	5	AH0002	16.93	17.051	라고	[]
4	5	6	AH0002	17.111	17.192	얘기	[]
4	5	7	AH0002	17.313	17.494	할까.	[]
5	6	1	AH0001	17.635	18.2	아	[]
5	6	2	AH0001	18.402	18.604	어띃게	[]
5	6	3	AH0001	18.705	18.847	어띃게	[]
5	6	4	AH0001	18.907	19.008	될	[]
5	6	5	AH0001	19.129	19.372	까봐	[]
5	6	6	AH0001	19.634	19.856	어때?	[]
6	7	1	AH0002	19.937	20.198	예.	[]
6	7	2	AH0002	20.279	20.359	할때	[]
6	7	3	AH0002	20.479	20.801	있구	[]
6	7	4	AH0002	20.821	20.841	어	[]
