bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	26.513	26.948	CONTINUER	네네.	[2]	[3]	[6]
2	DG0001	43.101	43.433	CONTINUER	네네.	[4]	[5]	[9]
3	DG0001	46.538	46.918	CONTINUER	응.	[4]	[6]	[6]
4	DG0002	51.95	52.995	CONTINUER	예. 예.	[5]	[7]	[3]
5	DG0001	54.897	55.582	CONTINUER	음.	[6]	[8]	[2]
6	DG0001	59.187	59.607	CONTINUER	네네.	[6]	[8]	[9]
7	DG0001	61.4	61.819	CONTINUER	네네.	[6]	[8]	[17]
8	DG0001	67.628	68.358	UNDERSTANDING	음.	[6]	[9]	[13]
9	DG0001	92.19	92.755	CONTINUER	네네.	[10]	[14]	[12]
10	DG0001	98.825	99.605	UNDERSTANDING	아.	[10]	[15]	[12]
11	DG0001	106.849	107.424	CONTINUER	네네네.	[10]	[16]	[22]
12	DG0001	119.069	119.644	CONTINUER	오.	[12]	[19]	[14]
13	DG0001	124.095	124.545	CONTINUER	음.	[12]	[20]	[12]
14	DG0001	127.835	128.98	NEGATIVE_SURPRISE	아이고. 그러시구나.	[12]	[21]	[8]
15	DG0001	134.484	135.584	CONTINUER	네네. 네네.	[12]	[22]	[13]
16	DG0001	137.464	137.774	CONTINUER	음.	[12]	[23]	[4]
17	DG0002	154.148	154.548	CONTINUER	예.	[13]	[26]	[9]
18	DG0002	160.228	160.513	CONTINUER	예.	[13]	[26]	[33]
19	DG0001	169.768	170.173	CONTINUER	예예.	[14]	[28]	[3]
20	DG0001	175.138	175.928	CONTINUER	음.	[14]	[28]	[11]
21	DG0001	185.559	186.042	CONTINUER	네네네.	[14]	[29]	[18]
22	DG0001	192.701	193.179	NEGATIVE_SURPRISE	어.	[14]	[30]	[17]
23	DG0001	198.794	199.079	CONTINUER	네.	[14]	[31]	[15]
24	DG0001	208.621	209.162	CONTINUER	네네.	[16]	[33]	[9]
25	DG0001	215.75	216.555	CONTINUER	어.	[16]	[34]	[18]
