uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	2.184	자기계발입니다.	[]
1	2	1	AH0001	2.184	3.428	일단	[]
1	2	2	AH0001	3.528	3.769	우리나라	[]
1	2	3	AH0001	3.829	4.089	사람들이	[]
1	2	4	AH0001	4.15	4.41	뭐	[]
1	2	5	AH0001	4.43	4.45	그	[]
1	2	6	AH0001	4.651	5.393	교육열	[]
1	2	7	AH0001	5.413	6.276	학구열	[]
1	2	8	AH0001	6.817	6.938	뭐	[]
1	2	9	AH0001	7.399	7.82	거의	[]
1	2	10	AH0001	7.84	7.86	뭐	[]
1	2	11	AH0001	8.743	9.064	세계	[]
1	2	12	AH0001	9.084	9.104	일	[]
1	2	13	AH0001	9.224	9.304	등	[]
1	2	14	AH0001	9.344	9.746	아닙니까?	[]
2	3	1	AH0002	9.906	11.491	그럼요	[]
2	3	2	AH0002	11.591	11.892	유구한	[]
2	3	3	AH0002	11.932	12.233	역사가	[]
2	3	4	AH0002	12.274	12.835	있잖습니까	[]
2	3	5	AH0002	12.916	13.237	오백년	[]
2	3	6	AH0002	13.297	13.578	전부터	[]
2	3	7	AH0002	13.598	13.738	우리는	[]
2	3	8	AH0002	13.798	14.079	선비	[]
2	3	9	AH0002	14.139	14.501	그러면	[]
2	3	10	AH0002	14.581	14.721	모든	[]
2	3	11	AH0002	14.741	14.761	걸	[]
3	4	1	AH0001	16.186	16.573	접고	[]
3	4	2	AH0001	16.634	16.94	넘기는	[]
3	4	3	AH0001	16.981	17.184	거죠	[]
3	4	4	AH0001	17.205	17.245	일단	[]
4	5	1	AH0002	17.489	17.529	이	[]
4	5	2	AH0002	17.609	18.15	자기계발이란	[]
4	5	3	AH0002	18.27	18.551	말을	[]
4	5	4	AH0002	19.011	19.092	몇	[]
4	5	5	AH0002	19.152	19.212	년	[]
4	5	6	AH0002	19.272	19.632	전까지	[]
4	5	7	AH0002	19.933	20.854	여이잖아요	[1]
4	5	8	AH0002	20.874	21.095	계발이	[]
4	5	9	AH0002	21.115	21.235	이거	[]
4	5	10	AH0002	21.295	21.516	잘못	[]
4	5	11	AH0002	21.556	21.796	오타인	[]
4	5	12	AH0002	21.836	21.876	줄	[]
4	5	13	AH0002	21.916	22.437	알았어요.	[]
4	6	1	AH0002	23.506	23.707	나를	[]
4	6	2	AH0002	23.787	24.51	개발하는.	[2]
4	6	3	AH0002	24.611	24.912	땅파서	[]
4	6	4	AH0002	24.952	25.273	개발하는	[]
4	6	5	AH0002	25.354	25.554	그런	[]
4	6	6	AH0002	25.735	25.936	건줄	[]
4	6	7	AH0002	26.036	26.117	알았는데.	[]
5	7	1	AH0001	26.197	26.993	계발입니다.	[]
6	8	1	AH0002	26.993	27.175	예.	[]
6	8	2	AH0002	27.357	27.58	계발	[]
6	8	3	AH0002	27.681	28.025	이더라구요.	[3]
6	9	1	AH0002	28.77	28.89	그런데	[]
6	9	2	AH0002	29.05	29.251	하여튼	[]
6	9	3	AH0002	29.351	29.571	이	[]
6	9	4	AH0002	29.712	30.052	단어가	[]
6	9	5	AH0002	30.193	30.473	하나의	[]
6	9	6	AH0002	30.573	30.774	성	[]
6	9	7	AH0002	31.154	31.375	성	[]
6	9	8	AH0002	31.595	31.635	그	[]
6	9	9	AH0002	31.735	32.296	금과옥조	[]
6	9	10	AH0002	32.336	33.819	같이	[4]
6	9	11	AH0002	33.839	34.2	되있는데.	[]
6	10	1	AH0002	34.853	35.234	그	[]
6	10	2	AH0002	35.254	35.796	한편으로는	[]
6	10	3	AH0002	36.197	36.539	변화	[]
6	10	4	AH0002	36.599	36.94	강박.	[5]
6	10	5	AH0002	37.482	37.863	성취	[]
6	10	6	AH0002	37.883	38.224	강박.	[]
6	10	7	AH0002	39.047	39.127	막	[]
6	10	8	AH0002	39.167	39.388	이런	[]
6	10	9	AH0002	39.468	39.528	거	[]
6	10	10	AH0002	39.568	39.789	같은	[]
6	10	11	AH0002	39.829	40.11	느낌도	[]
6	10	12	AH0002	40.19	40.652	들어요.	[]
7	11	1	AH0001	40.652	40.914	강박이	[]
7	11	2	AH0001	41.115	41.538	있죠.	[]
8	12	1	AH0002	41.576	41.696	그러니까	[]
8	12	2	AH0002	41.776	41.936	뭔가	[]
8	12	3	AH0002	42.037	42.477	변하지	[]
8	12	4	AH0002	42.517	42.858	않으면	[]
8	12	5	AH0002	43.138	43.639	도태된다.	[6]
8	12	6	AH0002	44.079	44.28	이런	[]
8	12	7	AH0002	44.34	44.68	느낌도	[]
8	12	8	AH0002	44.72	44.901	있고	[]
8	12	9	AH0002	44.961	45.201	내가	[]
8	12	10	AH0002	45.261	45.461	나를	[]
8	12	11	AH0002	45.521	46.062	강화시키고	[]
8	12	12	AH0002	46.142	46.623	좋아지게	[]
8	12	13	AH0002	47.064	47.284	하지	[]
8	12	14	AH0002	47.324	47.544	않으면	[]
8	12	15	AH0002	47.604	47.785	너는	[]
8	12	16	AH0002	47.985	48.385	경쟁력이	[]
8	12	17	AH0002	48.425	48.606	없을	[]
8	12	18	AH0002	48.666	49.907	거다라고	[]
8	12	19	AH0002	50.088	50.628	개인에게	[]
8	12	20	AH0002	50.709	50.889	모든	[]
8	12	21	AH0002	50.969	51.189	책임을	[]
8	12	22	AH0002	51.269	51.69	돌린다는	[]
8	12	23	AH0002	51.73	51.97	느낌도	[]
8	12	24	AH0002	51.99	52.471	듭니다.	[]
8	13	1	AH0002	52.513	53.015	왜냐하면	[7]
8	13	2	AH0002	53.176	53.336	그걸	[]
