bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	16.611	16.906	CONTINUER	아.	[2]	[4]	[3]
2	DG0001	31.253	31.963	CONTINUER	음.	[4]	[6]	[10]
3	DG0001	37.024	38.599	CONTINUER	네. 네.	[4]	[7]	[7]
4	DG0001	53.495	53.845	CONTINUER	네.	[4]	[9]	[9]
5	DG0001	60.789	61.364	CONTINUER	네네.	[4]	[10]	[7]
6	DG0001	73.485	74.495	CONTINUER	음. 네.	[4]	[11]	[13]
7	DG0001	77.685	78.245	CONTINUER	네.	[4]	[12]	[7]
8	DG0002	82.958	83.433	CONTINUER	예.	[5]	[13]	[11]
9	DG0002	85.918	86.543	AFFIRMATIVE	그렇죠.	[5]	[13]	[20]
10	DG0002	87.563	89.533	CONTINUER	예. 예. 예.	[5]	[13]	[24]
11	DG0001	98.554	98.889	CONTINUER	네.	[6]	[15]	[12]
12	DG0001	115.265	115.7	CONTINUER	네.	[6]	[17]	[11]
13	DG0001	136.182	136.902	AFFIRMATIVE	그렇죠.	[8]	[20]	[8]
14	DG0001	148.869	149.644	CONTINUER	음.	[8]	[22]	[6]
15	DG0001	157.748	158.203	CONTINUER	네.	[10]	[25]	[13]
16	DG0002	182.592	182.937	CONTINUER	예.	[11]	[29]	[5]
17	DG0002	186.552	187.512	AFFIRMATIVE	그렇죠. 예.	[11]	[29]	[12]
18	DG0001	192.474	193.024	CONTINUER	음.	[12]	[30]	[9]
19	DG0001	195.164	195.829	CONTINUER	네.	[12]	[30]	[13]
20	DG0001	199.487	199.712	CONTINUER	네.	[12]	[31]	[7]
21	DG0001	202.597	203.067	CONTINUER	네.	[12]	[31]	[15]
22	DG0001	216.142	216.602	CONTINUER	아.	[14]	[34]	[14]
23	DG0001	222.059	222.379	CONTINUER	음.	[14]	[35]	[11]
24	DG0002	225.893	226.173	CONTINUER	예.	[15]	[36]	[4]
25	DG0001	237.365	237.735	CONTINUER	음.	[18]	[39]	[1]
26	DG0002	264.133	264.423	CONTINUER	예.	[19]	[42]	[4]
27	DG0001	303.645	304.675	CONTINUER	음.	[22]	[47]	[5]
28	DG0002	307.506	307.856	CONTINUER	예.	[23]	[48]	[9]
29	DG0002	320.396	320.801	CONTINUER	예.	[23]	[50]	[13]
30	DG0002	328.203	328.393	CONTINUER	네.	[23]	[52]	[6]
