uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.886	@이름572가	[]
1	1	2	AH0001	1.967	2.308	부릅니다	[]
1	1	3	AH0001	2.85	3.393	버터플라이	[]
1	2	1	AH0001	3.875	4.639	알아야	[]
1	2	2	AH0001	4.799	5.362	안전하다	[]
1	2	3	AH0001	5.784	6.086	들어야	[]
1	2	4	AH0001	6.447	6.729	두렵지	[]
1	2	5	AH0001	6.769	7.211	않다.	[]
2	3	1	AH0002	7.21	8.338	@이름1의	[]
2	3	2	AH0002	8.66	9.204	슬기로운	[]
2	3	3	AH0002	9.546	9.848	젠더	[]
2	3	4	AH0002	9.909	10.09	생활	[]
3	4	1	AH0001	10.694	11.515	슬기로운	[]
3	4	2	AH0001	11.635	11.936	젠더	[]
3	4	3	AH0001	12.016	12.316	생활	[]
3	4	4	AH0001	12.636	12.977	@이름1	[]
3	4	5	AH0001	13.057	13.437	변호사님	[]
3	4	6	AH0001	13.457	14.038	나오셨습니다	[]
3	4	7	AH0001	14.178	14.299	어서	[]
3	4	8	AH0001	14.379	14.699	오세요.	[]
4	5	1	AH0002	14.699	14.9	네	[]
4	5	2	AH0002	15.061	15.705	안녕하세요.	[]
5	6	1	AH0001	16.308	16.59	이번	[]
5	6	2	AH0001	16.671	17.054	주말에도	[]
5	6	3	AH0001	17.316	17.659	농장	[]
5	6	4	AH0001	17.679	18.304	다녀오셨나요?	[]
6	7	1	AH0002	18.423	18.583	네	[]
6	7	2	AH0002	18.664	18.824	어제	[]
6	7	3	AH0002	18.884	19.927	다녀왔습니다	[]
6	7	4	AH0002	20.088	20.108	네.	[]
7	8	1	AH0001	20.579	20.659	아까	[]
7	8	2	AH0001	20.7	20.881	말씀	[]
7	8	3	AH0001	20.961	21.062	들어	[]
7	8	4	AH0001	21.122	21.444	보니까	[]
7	8	5	AH0001	21.665	21.946	소유하신	[]
7	8	6	AH0001	22.047	22.127	게	[]
7	8	7	AH0001	22.147	22.268	아니라	[]
7	8	8	AH0001	22.368	22.549	빌린	[]
8	9	1	AH0002	23.031	23.251	뭐	[]
8	9	2	AH0002	23.271	23.572	소작	[]
8	9	3	AH0002	23.752	23.973	소작	[]
8	9	4	AH0002	24.073	24.554	중이라고	[]
8	9	5	AH0002	24.614	25.095	생각하시면	[1]
8	9	6	AH0002	25.155	25.376	되구요.	[]
8	9	7	AH0002	26.778	26.878	네.	[]
8	9	8	AH0002	26.979	27.399	대여를	[]
8	9	9	AH0002	27.44	27.66	해서	[]
8	9	10	AH0002	27.7	28.261	열심히	[]
8	9	11	AH0002	28.381	28.562	하고	[]
8	9	12	AH0002	28.622	29.243	있습니다.	[]
9	10	1	AH0001	29.243	29.664	그런	[]
9	10	2	AH0001	29.744	30.144	거였군요.	[]
9	10	3	AH0001	30.164	30.345	그래서	[]
9	10	4	AH0001	30.405	30.805	법조계에	[]
9	10	5	AH0001	30.905	31.106	도는	[]
9	10	6	AH0001	31.126	31.146	그	[]
9	10	7	AH0001	31.366	31.566	@이름1	[]
9	10	8	AH0001	31.606	31.967	변호사님	[]
9	10	9	AH0001	32.327	33.008	이십만	[]
9	10	10	AH0001	33.188	33.268	평	[2]
9	10	11	AH0001	33.349	34.009	소유자라는	[]
9	10	12	AH0001	34.03	34.05	그	[]
9	10	13	AH0001	34.39	34.63	소문은	[]
9	10	14	AH0001	34.73	34.851	거짓.	[]
10	11	1	AH0002	35.241	35.362	그니까	[]
10	11	2	AH0002	35.422	35.964	이렇게	[]
10	11	3	AH0002	36.085	36.467	루머가	[]
10	11	4	AH0002	36.507	36.667	이런	[]
10	11	5	AH0002	36.728	37.351	방식으로	[]
10	11	6	AH0002	37.451	37.672	나오는	[]
10	11	7	AH0002	37.752	37.833	것	[]
10	11	8	AH0002	37.873	38.335	같아요.	[3]
10	12	1	AH0002	38.336	38.961	그래서	[]
10	12	2	AH0002	39.022	39.223	항상	[]
