bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	16.934	17.194	CONTINUER	네.	[3]	[4]	[6]
2	AH0001	37.369	38.715	CONTINUER	예. 예.	[6]	[9]	[8]
3	AH0001	42.595	42.849	CONTINUER	예.	[6]	[10]	[8]
4	AH0001	49.21	49.53	CONTINUER	네.	[6]	[10]	[22]
5	AH0002	64.631	64.791	CONTINUER	네.	[7]	[13]	[1]
6	AH0002	72.518	73.073	CONTINUER	네. 네.	[9]	[16]	[3]
7	AH0001	76.761	76.916	CONTINUER	음.	[10]	[17]	[6]
8	AH0001	80.971	81.431	CONTINUER	네네.	[10]	[17]	[18]
9	AH0001	82.821	83.116	CONTINUER	네.	[10]	[18]	[1]
10	AH0001	85.511	86.161	UNDERSTANDING	음.	[10]	[18]	[7]
11	AH0002	102.933	103.048	CONTINUER	네.	[11]	[23]	[1]
12	AH0001	109.367	109.817	CONTINUER	네.	[12]	[24]	[13]
13	AH0001	115.54	116.325	CONTINUER	에에에.	[14]	[26]	[10]
14	AH0001	123.222	123.742	CONTINUER	네에에.	[14]	[27]	[8]
15	AH0001	124.721	125.791	CONTINUER	네. 네네.	[14]	[27]	[12]
16	AH0001	131.782	132.212	CONTINUER	음.	[14]	[29]	[4]
17	AH0001	141.305	141.495	CONTINUER	네.	[14]	[30]	[1]
18	AH0001	150.635	151.305	CONTINUER	음.	[14]	[30]	[18]
19	AH0001	152.26	152.51	CONTINUER	네.	[14]	[31]	[1]
20	AH0001	159.86	160.88	UNDERSTANDING	음.	[14]	[31]	[16]
21	AH0001	161.429	161.755	CONTINUER	네.	[14]	[31]	[20]
22	AH0001	167.2	168.31	UNDERSTANDING	음.	[14]	[32]	[11]
23	AH0001	181.542	182.167	CONTINUER	네.	[14]	[34]	[12]
24	AH0001	188.047	188.342	CONTINUER	으흠.	[14]	[35]	[12]
25	AH0002	199.996	200.276	CONTINUER	네.	[15]	[37]	[9]
26	AH0001	218.243	218.868	UNDERSTANDING	네.	[16]	[39]	[11]
27	AH0001	225.673	226.283	CONTINUER	네.	[16]	[39]	[29]
28	AH0001	231.876	232.211	CONTINUER	네.	[16]	[40]	[18]
29	AH0002	237.353	237.693	CONTINUER	네.	[17]	[42]	[1]
30	AH0002	240.763	241.283	AFFIRMATIVE	그렇죠.	[17]	[42]	[8]
31	AH0001	250.014	250.774	UNDERSTANDING	음.	[18]	[44]	[6]
32	AH0001	255.26	256.03	UNDERSTANDING	네.	[20]	[46]	[9]
33	AH0001	262.915	263.445	CONTINUER	네.	[20]	[46]	[25]
34	AH0001	272.947	273.237	CONTINUER	네.	[20]	[48]	[1]
35	AH0001	274.962	275.287	CONTINUER	네.	[20]	[48]	[5]
36	AH0001	282.997	283.867	UNDERSTANDING	아.	[20]	[48]	[22]
37	AH0001	292.257	292.517	CONTINUER	네.	[20]	[49]	[16]
38	AH0002	313.686	313.871	CONTINUER	네.	[23]	[55]	[2]
39	AH0002	317.576	317.651	CONTINUER	네.	[23]	[55]	[12]
40	AH0002	320.216	320.406	CONTINUER	네.	[23]	[55]	[18]
41	AH0001	324.035	324.815	UNDERSTANDING	음.	[24]	[57]	[3]
42	AH0001	334.503	335.088	UNDERSTANDING	음.	[24]	[58]	[9]
43	AH0002	349.256	349.532	CONTINUER	네.	[25]	[60]	[16]
44	AH0001	366.79	367.07	CONTINUER	네.	[26]	[66]	[4]
45	AH0001	372.606	372.936	CONTINUER	네.	[26]	[67]	[13]
46	AH0001	377.36	378.16	UNDERSTANDING	음.	[26]	[68]	[10]
47	AH0001	383.1	383.34	CONTINUER	네.	[26]	[68]	[22]
48	AH0001	387.756	388.046	CONTINUER	으흠.	[26]	[70]	[6]
49	AH0001	388.961	389.286	CONTINUER	네.	[26]	[70]	[9]
