uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.544	자	[]
1	1	2	AH0001	1.705	1.805	금	[]
1	1	3	AH0001	1.845	2.408	이렇게	[]
1	1	4	AH0001	2.568	3.452	가상화폐를	[]
1	1	5	AH0001	3.572	3.934	소재로	[]
1	1	6	AH0001	4.034	4.175	한	[]
1	1	7	AH0001	4.817	5.058	이런	[]
1	1	8	AH0001	5.279	5.6	사기들.	[]
1	2	1	AH0001	6.303	6.724	이런	[]
1	2	2	AH0001	6.784	7.186	것들이	[]
1	2	3	AH0001	8.269	8.51	그	[]
1	2	4	AH0001	8.791	9.172	사기죄로	[]
1	2	5	AH0001	9.232	9.432	처벌을	[]
1	2	6	AH0001	9.493	9.854	받으면	[]
1	2	7	AH0001	10.115	10.616	어떻게	[]
1	2	8	AH0001	11.338	11.539	처벌을	[]
1	2	9	AH0001	11.599	11.739	받게	[]
1	2	10	AH0001	11.8	12.261	될까요.	[]
2	3	1	AH0002	12.261	13.603	요즘에	[]
2	3	2	AH0002	13.823	14.224	저희가	[]
2	3	3	AH0002	14.344	14.685	보통	[]
2	3	4	AH0002	15.366	15.927	일반적인	[]
2	3	5	AH0002	16.007	16.848	사기사건들과	[]
2	3	6	AH0002	16.928	17.329	일대일	[]
2	3	7	AH0002	17.429	18.691	사기사건들은	[]
2	3	8	AH0002	19.292	19.372	뭐	[]
2	3	9	AH0002	19.552	20.313	피해액에	[]
2	3	10	AH0002	20.413	20.894	따라서	[]
2	3	11	AH0002	21.134	21.435	피해를	[]
2	3	12	AH0002	21.515	21.795	얼마나	[]
2	3	13	AH0002	21.876	22.456	갚았는지에	[]
2	3	14	AH0002	22.577	22.977	따라서	[]
2	3	15	AH0002	23.077	23.438	결정이	[]
2	3	16	AH0002	23.498	23.859	나지만.	[]
2	4	1	AH0002	24.119	24.5	이런	[]
2	4	2	AH0002	24.52	25.1	가상화폐	[]
2	4	3	AH0002	25.461	25.801	관련한	[]
2	4	4	AH0002	25.902	26.082	사기	[]
2	4	5	AH0002	26.142	26.503	조직이	[]
