uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.7	1.425	단발머리	[]
1	1	2	AH0001	1.465	1.666	전해	[]
1	1	3	AH0001	1.726	2.069	드리고	[]
1	1	4	AH0001	2.37	2.511	우리	[]
1	1	5	AH0001	2.572	2.954	맛있는	[]
1	1	6	AH0001	3.075	3.498	월요일로	[]
1	1	7	AH0001	3.659	4.202	지나갈게요?	[]
1	2	1	AH0001	4.317	5.222	보글보글	[]
1	2	2	AH0001	5.423	6.147	바삭바삭.	[]
2	3	1	AH0002	6.599	6.921	후루룩	[]
2	3	2	AH0002	7.062	7.183	후루룩.	[]
3	4	1	AH0001	7.596	8.105	맛있는.	[]
3	5	1	AH0001	8.53	8.935	월요일.	[]
3	6	1	AH0001	9.714	9.734	뭘	[]
3	6	2	AH0001	9.754	10.055	이렇게	[]
3	6	3	AH0001	10.156	10.457	오도독을	[]
3	6	4	AH0001	10.517	10.818	그렇게	[]
3	6	5	AH0001	10.898	11.259	멀리서	[]
3	6	6	AH0001	11.299	11.6	오도독	[]
3	6	7	AH0001	11.681	12.002	오도독	[]
3	6	8	AH0001	12.062	12.283	혼자	[]
3	6	9	AH0001	12.343	12.463	맛있는	[]
3	6	10	AH0001	12.524	12.744	거	[]
3	6	11	AH0001	12.845	13.306	드시려고.	[]
4	7	1	AH0002	13.892	14.214	숨어서	[]
4	7	2	AH0002	14.254	15.201	먹었습니다.	[]
5	8	1	AH0001	15.336	16.399	오늘도	[]
5	8	2	AH0001	16.52	16.881	신솁.	[1]
5	8	3	AH0001	17.162	17.462	신이	[]
5	8	4	AH0001	17.543	17.723	내린	[]
5	8	5	AH0001	17.743	17.763	손	[]
5	8	6	AH0001	18.004	18.265	맛의	[]
5	8	7	AH0001	18.285	18.606	셰프와	[]
5	8	8	AH0001	18.626	19.288	함께합니다.	[]
5	9	1	AH0001	19.289	20.042	안녕하세요.	[]
6	10	1	AH0002	20.041	20.102	네.	[]
6	10	2	AH0002	20.122	20.989	안녕하세요.	[]
7	11	1	AH0001	21.109	21.17	잘	[]
7	11	2	AH0001	21.231	21.919	지내셨어요?	[]
8	12	1	AH0002	22.124	22.264	아	[]
8	12	2	AH0002	22.445	22.545	한	[]
8	12	3	AH0002	22.645	24.369	주가	[2]
8	12	4	AH0002	24.569	24.769	너무	[]
